#Tables for different size types:
#1 Number of proteins (members)
#2 Number of genomes

#1 Number of proteins
proteins,frequency,percentage of total groups (126082)
1,48382,38.37
2,15860,12.58
3,9129,7.24
4,6038,4.79
5,4352,3.45
6,3209,2.55
7,2706,2.15
8,2186,1.73
9,2047,1.62
10,1841,1.46
11,2358,1.87
12,4726,3.75
13,18208,14.44
14,1854,1.47
15,477,0.38
16,245,0.19
17,194,0.15
18,156,0.12
19,137,0.11
20,115,0.09
21,95,0.08
22,110,0.09
23,98,0.08
24,131,0.10
25,171,0.14
26,405,0.32
27,139,0.11
28,60,0.05
29,34,0.03
30,39,0.03
31,19,0.02
32,26,0.02
33,23,0.02
34,22,0.02
35,20,0.02
36,40,0.03
37,34,0.03
38,51,0.04
39,100,0.08
40,47,0.04
41,13,0.01
42,10,0.01
43,7,0.01
44,4,0.00
45,7,0.01
46,5,0.00
47,6,0.00
48,4,0.00
49,5,0.00
50,6,0.00
51,9,0.01
52,10,0.01
53,10,0.01
54,4,0.00
55,3,0.00
56,4,0.00
58,2,0.00
59,3,0.00
60,3,0.00
61,2,0.00
62,1,0.00
63,7,0.01
64,1,0.00
65,12,0.01
66,4,0.00
67,1,0.00
68,2,0.00
69,4,0.00
70,1,0.00
71,1,0.00
72,2,0.00
74,2,0.00
75,2,0.00
76,4,0.00
77,5,0.00
78,4,0.00
79,2,0.00
80,1,0.00
82,1,0.00
88,2,0.00
89,1,0.00
93,1,0.00
95,3,0.00
99,2,0.00
101,1,0.00
103,1,0.00
110,1,0.00
117,1,0.00
118,1,0.00
126,1,0.00
129,1,0.00
131,1,0.00
134,1,0.00
135,1,0.00
141,1,0.00
162,1,0.00
169,1,0.00
182,1,0.00
192,1,0.00


#2 Number of genomes (maximum of 13)
genomes,frequency,percentage of total groups (126082)
1,49691,39.41
2,15987,12.68
3,8921,7.08
4,5956,4.72
5,4293,3.40
6,3192,2.53
7,2712,2.15
8,2194,1.74
9,2047,1.62
10,1946,1.54
11,2539,2.01
12,5252,4.17
13,21352,16.94
