x,y,Category
8,42525,Unique
10,22804,Core
4,33943,Unique
5,25349,Core
8,41759,Unique
8,39439,Accessory
6,25500,Core
4,31991,Unique
6,24748,Core
7,42665,Unique
3,30733,Core
5,34964,Unique
6,30144,Accessory
5,25665,Core
4,18302,Accessory
7,35860,Accessory
9,42896,Accessory
8,41111,Unique
8,38357,Accessory
5,25051,Core
4,27632,Core
6,39081,Unique
6,31235,Accessory
8,41987,Unique
7,34498,Accessory
8,39812,Unique
3,27424,Core
6,37937,Unique
5,24856,Core
11,46826,Unique
6,30396,Accessory
7,38175,Unique
9,42644,Accessory
7,35589,Accessory
8,38366,Accessory
4,34574,Unique
5,38541,Unique
8,41278,Unique
8,42272,Unique
8,42044,Unique
8,22989,Core
2,33566,Core
9,22824,Core
8,39457,Accessory
7,34264,Accessory
7,24780,Core
8,23109,Core
2,27048,Unique
5,23923,Accessory
7,24956,Core
8,38880,Accessory
10,45898,Unique
8,24234,Core
6,40002,Unique
9,41366,Unique
6,36869,Unique
7,40620,Unique
5,36842,Unique
4,33641,Unique
8,42827,Unique
6,37456,Unique
9,23263,Core
6,24626,Core
4,26144,Core
5,25010,Accessory
6,25622,Core
9,23877,Core
7,38909,Unique
8,38853,Accessory
6,39032,Unique
5,36435,Unique
6,31001,Accessory
4,34000,Unique
6,24813,Core
6,30631,Accessory
3,11517,Accessory
6,37080,Unique
2,29049,Unique
8,38601,Accessory
10,45717,Accessory
5,26966,Core
5,38590,Unique
6,30126,Accessory
7,34012,Accessory
7,23655,Core
4,18590,Accessory
5,26352,Core
7,39120,Unique
5,37245,Unique
7,34273,Accessory
6,36523,Unique
6,25995,Core
5,25879,Accessory
4,28441,Core
6,37709,Unique
6,30387,Accessory
6,29130,Accessory
5,24509,Accessory
5,26474,Core
7,24220,Core
5,25280,Accessory
6,29729,Accessory
6,24385,Core
9,42626,Accessory
7,42616,Unique
6,24999,Core
7,24834,Core
8,37753,Accessory
8,39979,Unique
8,38384,Accessory
5,38134,Unique
7,38612,Unique
8,42118,Unique
7,35851,Accessory
9,44886,Unique
6,23939,Core
8,40117,Unique
5,27089,Core
7,37291,Unique
4,17950,Accessory
3,26931,Core
7,42363,Unique
7,34742,Accessory
7,39601,Unique
9,43139,Unique
4,34525,Unique
7,40078,Unique
4,19176,Accessory
7,41911,Unique
8,41155,Unique
8,24169,Core
5,24153,Accessory
5,33619,Unique
