x,y,Category
10,22804,Core
10,90866,Dispensable
7,74555,Dispensable
5,25349,Core
8,82123,Dispensable
6,68546,Dispensable
6,25500,Core
4,54134,Dispensable
6,24748,Core
6,68662,Dispensable
7,74439,Dispensable
6,66987,Dispensable
9,88967,Dispensable
3,30733,Core
7,74202,Dispensable
3,42742,Dispensable
5,25665,Core
9,88509,Dispensable
5,25051,Core
4,27632,Core
6,66518,Dispensable
9,85051,Dispensable
3,27424,Core
8,80448,Dispensable
5,24856,Core
4,48902,Dispensable
7,74544,Dispensable
6,68535,Dispensable
8,82112,Dispensable
5,59090,Dispensable
8,80222,Dispensable
7,74428,Dispensable
8,22989,Core
2,33566,Core
9,22824,Core
7,24780,Core
8,23109,Core
6,68419,Dispensable
7,24956,Core
8,24234,Core
5,60496,Dispensable
9,86713,Dispensable
3,42637,Dispensable
7,76230,Dispensable
5,61932,Dispensable
6,68888,Dispensable
8,82465,Dispensable
5,62160,Dispensable
5,62044,Dispensable
8,77378,Dispensable
10,92210,Dispensable
7,74340,Dispensable
9,23263,Core
6,24626,Core
4,26144,Core
7,72665,Dispensable
6,25622,Core
9,86619,Dispensable
5,59178,Dispensable
9,23877,Core
7,74108,Dispensable
9,86928,Dispensable
3,42411,Dispensable
6,24813,Core
5,63844,Dispensable
2,28072,Dispensable
5,62259,Dispensable
5,26966,Core
7,23655,Core
8,79362,Dispensable
5,26352,Core
8,80437,Dispensable
9,83227,Dispensable
6,25995,Core
4,28441,Core
5,26474,Core
7,24220,Core
6,24385,Core
6,68204,Dispensable
9,85360,Dispensable
6,24999,Core
7,24834,Core
4,50409,Dispensable
9,86917,Dispensable
6,68342,Dispensable
9,86724,Dispensable
5,61943,Dispensable
7,76776,Dispensable
6,23939,Core
5,27089,Core
7,76241,Dispensable
3,26931,Core
8,82476,Dispensable
5,60347,Dispensable
9,87498,Dispensable
4,52415,Dispensable
8,24169,Core
8,80255,Dispensable
4,50856,Dispensable
10,92469,Dispensable
6,68739,Dispensable
6,68000,Dispensable
9,88421,Dispensable
6,71329,Dispensable
8,25036,Core
5,25719,Core
9,86906,Dispensable
7,24712,Core
5,58757,Dispensable
6,25313,Core
5,26528,Core
7,24094,Core
5,60176,Dispensable
9,22892,Core
5,61612,Dispensable
8,82283,Dispensable
7,25327,Core
8,81917,Dispensable
4,26395,Core
8,24227,Core
6,68844,Dispensable
8,80266,Dispensable
5,24612,Core
6,66601,Dispensable
5,24921,Core
8,23055,Core
7,23468,Core
5,27154,Core
6,66689,Dispensable
10,22556,Core
5,62088,Dispensable
7,24335,Core
3,30370,Core
4,54796,Dispensable
5,25536,Core
7,23720,Core
7,76787,Dispensable
10,22118,Core
1,39498,Core
8,81702,Dispensable
7,76252,Dispensable
8,23062,Core
5,27402,Core
7,23777,Core
7,76390,Dispensable
6,68331,Dispensable
6,24942,Core
5,25044,Core
6,25306,Core
5,26837,Core
10,90800,Dispensable
3,41251,Dispensable
7,23709,Core
6,66612,Dispensable
7,23526,Core
5,25227,Core
6,25866,Core
4,27625,Core
7,24769,Core
10,23419,Core
4,52895,Dispensable
5,61634,Dispensable
5,26722,Core
8,79213,Dispensable
7,25151,Core
7,74759,Dispensable
5,60038,Dispensable
6,25248,Core
10,90811,Dispensable
5,26790,Core
7,75820,Dispensable
3,44378,Dispensable
6,25557,Core
9,22641,Core
6,66816,Dispensable
8,23303,Core
5,26481,Core
6,70125,Dispensable
7,74020,Dispensable
6,70070,Dispensable
7,24277,Core
4,50718,Dispensable
8,80117,Dispensable
7,23662,Core
9,23633,Core
5,63673,Dispensable
3,29850,Core
6,25374,Core
8,81713,Dispensable
8,80840,Dispensable
6,68855,Dispensable
7,23971,Core
8,23120,Core
6,68993,Dispensable
9,24248,Core
8,24241,Core
5,25482,Core
6,68044,Dispensable
6,26057,Core
6,68811,Dispensable
6,70583,Dispensable
4,28189,Core
10,92927,Dispensable
8,79886,Dispensable
8,24855,Core
6,24565,Core
6,69706,Dispensable
7,76081,Dispensable
11,96971,Dispensable
6,24317,Core
7,24963,Core
8,25050,Core
8,78632,Dispensable
7,75070,Dispensable
8,23680,Core
8,23310,Core
3,30061,Core
5,24849,Core
6,25564,Core
6,24392,Core
4,26324,Core
8,23364,Core
5,26973,Core
6,69717,Dispensable
7,73825,Dispensable
5,26708,Core
6,67816,Dispensable
7,76721,Dispensable
8,79533,Dispensable
7,72014,Dispensable
6,69050,Dispensable
5,25360,Core
7,74726,Dispensable
7,24206,Core
6,25737,Core
8,23605,Core
6,66921,Dispensable
6,25499,Core
6,24127,Core
7,24898,Core
7,74191,Dispensable
6,65143,Dispensable
9,85520,Dispensable
5,60965,Dispensable
5,26970,Core
9,86575,Dispensable
5,63888,Dispensable
6,66154,Dispensable
8,24414,Core
5,62342,Dispensable
7,23910,Core
5,24914,Core
8,23299,Core
6,67000,Dispensable
7,75842,Dispensable
8,80724,Dispensable
5,25601,Core
5,26657,Core
7,74737,Dispensable
4,26008,Core
4,28186,Core
4,54316,Dispensable
7,25144,Core
3,44356,Dispensable
7,23791,Core
6,24076,Core
6,67182,Dispensable
6,68193,Dispensable
7,24403,Core
10,22186,Core
7,74180,Dispensable
5,24727,Core
9,85553,Dispensable
3,27682,Core
6,25686,Core
8,79522,Dispensable
6,24935,Core
5,59101,Dispensable
8,80862,Dispensable
7,72825,Dispensable
9,24500,Core
3,29598,Core
6,25805,Core
8,23177,Core
8,78869,Dispensable
5,61452,Dispensable
5,60209,Dispensable
4,49676,Dispensable
4,52266,Dispensable
5,61347,Dispensable
6,66794,Dispensable
7,74599,Dispensable
7,72687,Dispensable
4,53928,Dispensable
10,90673,Dispensable
6,69982,Dispensable
3,29843,Core
7,73963,Dispensable
5,60838,Dispensable
6,25561,Core
7,24030,Core
4,26521,Core
5,57862,Dispensable
6,24752,Core
10,91563,Dispensable
3,29901,Core
6,68695,Dispensable
6,67568,Dispensable
7,23519,Core
7,24213,Core
9,23511,Core
9,23626,Core
9,23453,Core
6,67695,Dispensable
7,24087,Core
7,72290,Dispensable
7,74588,Dispensable
8,80360,Dispensable
10,90662,Dispensable
6,70550,Dispensable
8,78345,Dispensable
10,22502,Core
6,65656,Dispensable
4,28071,Core
5,60849,Dispensable
7,23784,Core
9,22569,Core
4,28254,Core
5,26535,Core
7,25022,Core
9,22702,Core
10,22559,Core
4,27998,Core
7,24338,Core
9,23270,Core
7,73180,Dispensable
7,24776,Core
8,80873,Dispensable
5,24676,Core
7,25205,Core
8,81768,Dispensable
6,69469,Dispensable
6,25571,Core
5,60314,Dispensable
12,21664,Core
6,68568,Dispensable
7,75853,Dispensable
8,80735,Dispensable
3,29836,Core
7,73064,Dispensable
6,68022,Dispensable
3,30424,Core
6,66270,Dispensable
8,23367,Core
8,24417,Core
10,89559,Dispensable
6,23946,Core
5,25543,Core
5,26467,Core
7,23899,Core
7,23957,Core
6,24755,Core
7,74991,Dispensable
6,66121,Dispensable
5,62375,Dispensable
7,24155,Core
3,30356,Core
8,23184,Core
4,26456,Core
6,67546,Dispensable
7,74842,Dispensable
9,23629,Core
7,24040,Core
8,80746,Dispensable
5,25485,Core
7,73053,Dispensable
8,23608,Core
7,24841,Core
6,68033,Dispensable
8,24166,Core
4,25705,Core
10,91298,Dispensable
7,74064,Dispensable
7,25582,Core
6,26380,Core
5,60463,Dispensable
6,24938,Core
4,26273,Core
5,26600,Core
8,81619,Dispensable
8,79500,Dispensable
5,61474,Dispensable
9,22637,Core
5,24734,Core
6,69458,Dispensable
5,25475,Core
7,76616,Dispensable
5,27341,Core
4,53167,Dispensable
8,81895,Dispensable
5,60325,Dispensable
8,80608,Dispensable
9,23507,Core
8,23988,Core
6,24382,Core
8,81349,Dispensable
8,81570,Dispensable
6,67761,Dispensable
8,78257,Dispensable
7,25025,Core
6,67998,Dispensable
4,26018,Core
2,26805,Dispensable
9,22756,Core
4,53476,Dispensable
7,23601,Core
8,23300,Core
10,22179,Core
4,51205,Dispensable
5,59724,Dispensable
6,67529,Dispensable
6,24083,Core
5,24683,Core
8,23357,Core
8,23001,Core
7,24216,Core
3,30244,Core
9,23582,Core
9,85801,Dispensable
3,30227,Core
6,67772,Dispensable
7,75555,Dispensable
6,67750,Dispensable
7,75577,Dispensable
7,25083,Core
6,26047,Core
5,26980,Core
6,67877,Dispensable
5,61033,Dispensable
7,75224,Dispensable
7,75202,Dispensable
5,27100,Core
8,83002,Dispensable
5,63077,Dispensable
9,23881,Core
8,78031,Dispensable
9,87702,Dispensable
4,51564,Dispensable
7,73533,Dispensable
4,51542,Dispensable
6,69651,Dispensable
9,85834,Dispensable
4,53564,Dispensable
5,61369,Dispensable
3,41758,Dispensable
5,26155,Core
6,25554,Core
7,73759,Dispensable
8,81327,Dispensable
7,25202,Core
4,51652,Dispensable
4,27499,Core
6,67783,Dispensable
6,26064,Core
7,75588,Dispensable
7,71968,Dispensable
7,24783,Core
8,81200,Dispensable
7,25517,Core
8,81448,Dispensable
4,53487,Dispensable
7,75467,Dispensable
7,75478,Dispensable
5,25492,Core
6,69767,Dispensable
7,25463,Core
6,66077,Dispensable
6,67507,Dispensable
6,26363,Core
6,67673,Dispensable
5,61165,Dispensable
8,81029,Dispensable
5,61121,Dispensable
5,59415,Dispensable
7,23828,Core
9,87614,Dispensable
8,22918,Core
10,23182,Core
4,26317,Core
8,24482,Core
8,81796,Dispensable
7,73643,Dispensable
4,27927,Core
7,23529,Core
6,69419,Dispensable
4,27700,Core
3,30431,Core
7,24274,Core
7,77335,Dispensable
10,23192,Core
7,77390,Dispensable
7,75213,Dispensable
4,53128,Dispensable
8,23737,Core
7,25008,Core
7,75136,Dispensable
6,24066,Core
10,22315,Core
4,28000,Core
4,27618,Core
8,79930,Dispensable
5,62954,Dispensable
6,69530,Dispensable
7,24708,Core
8,23727,Core
7,77280,Dispensable
5,61110,Dispensable
6,69866,Dispensable
8,82818,Dispensable
6,68088,Dispensable
4,51481,Dispensable
5,61198,Dispensable
7,24644,Core
9,22827,Core
3,41924,Dispensable
7,24345,Core
4,53393,Dispensable
6,25992,Core
5,26162,Core
9,88167,Dispensable
7,75020,Dispensable
2,33685,Core
3,41306,Dispensable
4,51873,Dispensable
7,76914,Dispensable
7,75031,Dispensable
8,82928,Dispensable
6,69756,Dispensable
6,24867,Core
4,27934,Core
4,25712,Core
10,91568,Dispensable
5,59895,Dispensable
7,25154,Core
5,27028,Core
6,69877,Dispensable
9,88035,Dispensable
6,25303,Core
5,25363,Core
7,25392,Core
9,84089,Dispensable
9,86090,Dispensable
5,62844,Dispensable
10,91469,Dispensable
5,59785,Dispensable
8,80090,Dispensable
8,83101,Dispensable
4,26463,Core
9,23874,Core
8,24536,Core
10,91447,Dispensable
5,62513,Dispensable
6,67441,Dispensable
5,25709,Core
5,26898,Core
5,63099,Dispensable
8,23235,Core
6,67855,Dispensable
4,53272,Dispensable
3,30373,Core
7,73213,Dispensable
7,24267,Core
10,22189,Core
9,23701,Core
6,67320,Dispensable
4,53989,Dispensable
9,84437,Dispensable
8,23683,Core
10,89708,Dispensable
5,25411,Core
7,24654,Core
6,69221,Dispensable
4,51895,Dispensable
7,73323,Dispensable
7,73334,Dispensable
5,60612,Dispensable
8,81283,Dispensable
5,60623,Dispensable
11,21843,Core
6,68298,Dispensable
8,78654,Dispensable
9,86459,Dispensable
7,24410,Core
6,24806,Core
6,64143,Dispensable
2,34056,Core
6,68077,Dispensable
7,23536,Core
5,26219,Core
7,73665,Dispensable
4,28308,Core
5,61259,Dispensable
6,26298,Core
7,23845,Core
7,77136,Dispensable
7,73858,Dispensable
6,67430,Dispensable
3,30179,Core
8,79996,Dispensable
7,73544,Dispensable
7,23835,Core
4,53261,Dispensable
5,26209,Core
9,86255,Dispensable
9,23640,Core
4,52608,Dispensable
9,88002,Dispensable
6,25615,Core
7,25141,Core
9,85310,Dispensable
5,60755,Dispensable
6,70114,Dispensable
6,68397,Dispensable
6,69298,Dispensable
8,24190,Core
7,76500,Dispensable
5,60645,Dispensable
7,72268,Dispensable
6,25690,Core
5,27025,Core
4,52840,Dispensable
9,85889,Dispensable
6,65595,Dispensable
7,73268,Dispensable
7,24209,Core
4,52619,Dispensable
7,24647,Core
7,23475,Core
4,26025,Core
5,25407,Core
5,60766,Dispensable
4,53741,Dispensable
8,22922,Core
7,24332,Core
9,86890,Dispensable
5,62535,Dispensable
9,86200,Dispensable
5,25061,Core
8,79985,Dispensable
9,22831,Core
4,28729,Core
2,29140,Core
4,28380,Core
8,24047,Core
7,24284,Core
7,75500,Dispensable
9,87123,Dispensable
9,86112,Dispensable
7,75969,Dispensable
4,28451,Core
6,25184,Core
7,75925,Dispensable
9,88134,Dispensable
7,76522,Dispensable
7,76511,Dispensable
7,25018,Core
7,24352,Core
7,25093,Core
8,23381,Core
8,23751,Core
