x,y,Category
10,22804,Core
10,90866,Dispensable
7,99223,Total
7,74555,Dispensable
5,25349,Core
7,100611,Total
8,82123,Dispensable
6,68546,Dispensable
6,25500,Core
4,54134,Dispensable
6,24748,Core
6,68662,Dispensable
7,74439,Dispensable
6,66987,Dispensable
9,88967,Dispensable
3,30733,Core
7,74202,Dispensable
3,42742,Dispensable
5,25665,Core
9,109939,Total
9,88509,Dispensable
5,25051,Core
9,107938,Total
4,27632,Core
6,66518,Dispensable
9,85051,Dispensable
4,80463,Total
8,105040,Total
3,27424,Core
8,105691,Total
9,111317,Total
5,87866,Total
8,80448,Dispensable
7,100227,Total
5,24856,Core
4,48902,Dispensable
7,99874,Total
7,74544,Dispensable
9,108572,Total
4,81271,Total
6,68535,Dispensable
8,82112,Dispensable
5,59090,Dispensable
8,80222,Dispensable
4,79521,Total
7,74428,Dispensable
3,71310,Total
8,22989,Core
2,33566,Core
9,22824,Core
7,24780,Core
8,23109,Core
6,68419,Dispensable
7,24956,Core
7,99595,Total
8,24234,Core
5,60496,Dispensable
5,88023,Total
8,106512,Total
9,86713,Dispensable
9,108851,Total
5,86022,Total
3,42637,Dispensable
7,76230,Dispensable
5,61932,Dispensable
6,68888,Dispensable
8,82465,Dispensable
5,62160,Dispensable
5,88885,Total
8,104511,Total
5,87320,Total
5,62044,Dispensable
8,77378,Dispensable
7,100332,Total
10,92210,Dispensable
7,74340,Dispensable
9,23263,Core
6,24626,Core
4,26144,Core
7,72665,Dispensable
6,25622,Core
9,86619,Dispensable
5,59178,Dispensable
8,104300,Total
5,86673,Total
9,23877,Core
6,93174,Total
5,88408,Total
7,74108,Dispensable
9,86928,Dispensable
3,42411,Dispensable
6,24813,Core
5,63844,Dispensable
2,28072,Dispensable
5,62259,Dispensable
7,97712,Total
5,26966,Core
9,108746,Total
5,86952,Total
7,23655,Core
5,89042,Total
8,103703,Total
8,79362,Dispensable
4,79893,Total
5,26352,Core
8,80437,Dispensable
6,92682,Total
7,97873,Total
5,88129,Total
9,83227,Dispensable
6,25995,Core
6,92819,Total
4,28441,Core
6,93664,Total
5,26474,Core
7,100121,Total
7,24220,Core
6,24385,Core
6,68204,Dispensable
9,85360,Dispensable
8,102882,Total
6,24999,Core
7,24834,Core
6,94646,Total
4,50409,Dispensable
9,86917,Dispensable
6,68342,Dispensable
8,103864,Total
8,104021,Total
9,86724,Dispensable
9,110880,Total
5,61943,Dispensable
7,76776,Dispensable
6,23939,Core
5,27089,Core
8,104288,Total
7,76241,Dispensable
3,26931,Core
8,82476,Dispensable
5,84846,Total
9,108467,Total
9,111583,Total
5,60347,Dispensable
5,87097,Total
6,94367,Total
5,87934,Total
10,114250,Total
9,87498,Dispensable
6,94435,Total
4,52415,Dispensable
8,24169,Core
8,80255,Dispensable
4,50856,Dispensable
7,99155,Total
6,92031,Total
7,98998,Total
10,92469,Dispensable
6,68739,Dispensable
6,68000,Dispensable
9,88421,Dispensable
6,71329,Dispensable
8,25036,Core
6,94714,Total
5,25719,Core
9,86906,Dispensable
4,79205,Total
3,68392,Total
7,24712,Core
5,58757,Dispensable
7,99329,Total
6,25313,Core
5,26528,Core
7,99279,Total
3,72069,Total
6,92298,Total
7,24094,Core
5,60176,Dispensable
9,109697,Total
5,87829,Total
9,22892,Core
5,61612,Dispensable
8,82283,Dispensable
5,86078,Total
7,25327,Core
8,81917,Dispensable
4,26395,Core
6,93906,Total
4,77452,Total
6,92577,Total
8,24227,Core
6,68844,Dispensable
9,110390,Total
8,80266,Dispensable
8,104077,Total
5,24612,Core
6,91731,Total
6,66601,Dispensable
4,80147,Total
5,24921,Core
8,104846,Total
8,23055,Core
7,23468,Core
5,27154,Core
6,66689,Dispensable
7,99434,Total
6,93627,Total
6,92155,Total
10,22556,Core
5,62088,Dispensable
7,24335,Core
2,62461,Total
3,30370,Core
4,54796,Dispensable
5,25536,Core
6,94156,Total
7,98731,Total
7,23720,Core
7,76787,Dispensable
5,86636,Total
10,22118,Core
7,98191,Total
1,39498,Core
8,81702,Dispensable
7,98905,Total
7,76252,Dispensable
4,79627,Total
8,23062,Core
5,27402,Core
7,23777,Core
7,76390,Dispensable
6,93453,Total
6,68331,Dispensable
6,93521,Total
6,24942,Core
5,25044,Core
6,25306,Core
5,26837,Core
9,110775,Total
10,90800,Dispensable
3,41251,Dispensable
7,23709,Core
6,66612,Dispensable
10,113913,Total
2,62690,Total
7,23526,Core
9,110335,Total
2,62077,Total
6,93119,Total
5,25227,Core
6,25866,Core
5,86568,Total
9,108343,Total
5,84951,Total
4,27625,Core
6,93788,Total
4,77731,Total
7,24769,Core
5,86301,Total
7,99713,Total
10,23419,Core
4,52895,Dispensable
5,61634,Dispensable
5,26722,Core
6,95138,Total
8,79213,Dispensable
8,104356,Total
7,25151,Core
7,74759,Dispensable
5,60038,Dispensable
6,93999,Total
4,79856,Total
6,25248,Core
9,110285,Total
10,90811,Dispensable
5,26790,Core
7,75820,Dispensable
3,44378,Dispensable
7,100822,Total
6,25557,Core
9,22641,Core
6,66816,Dispensable
8,23303,Core
8,103932,Total
5,26481,Core
6,70125,Dispensable
7,74020,Dispensable
6,70070,Dispensable
7,100649,Total
7,24277,Core
6,93069,Total
7,98681,Total
4,50718,Dispensable
8,80117,Dispensable
6,93242,Total
7,23662,Core
9,23633,Core
5,63673,Dispensable
3,29850,Core
6,25374,Core
8,81713,Dispensable
7,98241,Total
8,80840,Dispensable
5,84393,Total
6,68855,Dispensable
6,92366,Total
7,23971,Core
8,23120,Core
10,114182,Total
6,68993,Dispensable
9,24248,Core
8,24241,Core
8,104933,Total
5,25482,Core
11,118814,Total
6,68044,Dispensable
6,26057,Core
6,68811,Dispensable
6,70583,Dispensable
4,28189,Core
6,94596,Total
5,85183,Total
10,92927,Dispensable
8,104828,Total
8,79886,Dispensable
8,24855,Core
6,24565,Core
6,69706,Dispensable
6,94138,Total
7,100475,Total
7,76081,Dispensable
3,72893,Total
6,92874,Total
11,96971,Dispensable
3,73454,Total
6,24317,Core
7,24963,Core
8,25050,Core
8,78632,Dispensable
7,75070,Dispensable
7,98837,Total
7,100754,Total
6,94417,Total
8,23680,Core
8,23310,Core
3,30061,Core
5,24849,Core
6,25564,Core
9,107993,Total
6,93031,Total
6,24392,Core
4,26324,Core
8,23364,Core
4,80320,Total
5,26973,Core
9,107026,Total
6,69717,Dispensable
7,73825,Dispensable
5,26708,Core
6,67816,Dispensable
7,98558,Total
7,76721,Dispensable
8,79533,Dispensable
4,79366,Total
7,72014,Dispensable
6,69050,Dispensable
9,110757,Total
10,113095,Total
5,88271,Total
7,99856,Total
9,108064,Total
4,80990,Total
5,25360,Core
7,74726,Dispensable
7,24206,Core
6,25737,Core
4,79838,Total
6,91681,Total
8,23605,Core
6,66921,Dispensable
6,25499,Core
5,88550,Total
8,103809,Total
6,24127,Core
7,24898,Core
7,74191,Dispensable
6,65143,Dispensable
9,85520,Dispensable
5,60965,Dispensable
5,26970,Core
9,111093,Total
9,86575,Dispensable
6,93224,Total
5,63888,Dispensable
6,66154,Dispensable
9,109622,Total
8,24414,Core
5,62342,Dispensable
4,77769,Total
7,23910,Core
5,86915,Total
5,24914,Core
8,23299,Core
6,95597,Total
6,67000,Dispensable
8,105164,Total
5,86760,Total
7,75842,Dispensable
8,80724,Dispensable
5,25601,Core
5,26657,Core
7,74737,Dispensable
8,104375,Total
4,26008,Core
4,78366,Total
4,28186,Core
4,54316,Dispensable
6,91155,Total
8,103058,Total
7,25144,Core
3,44356,Dispensable
7,23791,Core
6,24076,Core
7,97030,Total
6,67182,Dispensable
6,68193,Dispensable
6,94559,Total
7,24403,Core
10,22186,Core
7,74180,Dispensable
5,24727,Core
7,100561,Total
9,106974,Total
9,85553,Dispensable
3,27682,Core
5,86481,Total
7,99998,Total
7,97904,Total
5,85722,Total
6,25686,Core
8,79522,Dispensable
6,92788,Total
6,24935,Core
5,59101,Dispensable
8,80862,Dispensable
3,72298,Total
7,72825,Dispensable
9,24500,Core
10,114721,Total
3,29598,Core
6,25805,Core
8,23177,Core
8,78869,Dispensable
5,61452,Dispensable
4,78012,Total
5,60209,Dispensable
4,80166,Total
6,93751,Total
4,49676,Dispensable
4,52266,Dispensable
9,110142,Total
5,61347,Dispensable
7,97891,Total
9,108590,Total
8,105146,Total
6,66794,Dispensable
7,74599,Dispensable
7,72687,Dispensable
2,64127,Total
4,53928,Dispensable
10,90673,Dispensable
6,69982,Dispensable
3,29843,Core
7,100140,Total
7,73963,Dispensable
5,60838,Dispensable
6,25561,Core
7,24030,Core
4,26521,Core
5,57862,Dispensable
6,24752,Core
10,91563,Dispensable
11,118696,Total
5,87705,Total
4,77433,Total
3,29901,Core
6,68695,Dispensable
4,80023,Total
8,105530,Total
6,67568,Dispensable
3,71664,Total
7,23519,Core
7,24213,Core
9,23511,Core
9,23626,Core
9,23453,Core
6,67695,Dispensable
6,93646,Total
7,24087,Core
5,85778,Total
7,72290,Dispensable
7,74588,Dispensable
8,80360,Dispensable
6,94578,Total
10,115182,Total
10,90662,Dispensable
6,70550,Dispensable
8,78345,Dispensable
10,22502,Core
6,65656,Dispensable
8,103796,Total
4,28071,Core
5,60849,Dispensable
7,23784,Core
8,102584,Total
9,22569,Core
6,94857,Total
7,99241,Total
4,28254,Core
5,26535,Core
7,25022,Core
9,22702,Core
9,110317,Total
5,88463,Total
10,22559,Core
9,110421,Total
4,27998,Core
5,88184,Total
6,93645,Total
7,24338,Core
9,23270,Core
7,73180,Dispensable
7,24776,Core
8,104672,Total
8,80873,Dispensable
5,24676,Core
7,25205,Core
8,81768,Dispensable
7,99520,Total
6,69469,Dispensable
6,25571,Core
5,60314,Dispensable
6,93819,Total
12,21664,Core
6,68568,Dispensable
7,75853,Dispensable
8,80735,Dispensable
7,98539,Total
3,70310,Total
5,85300,Total
8,104393,Total
3,29836,Core
7,73064,Dispensable
6,68022,Dispensable
3,30424,Core
6,66270,Dispensable
9,109678,Total
6,91855,Total
8,23367,Core
7,99577,Total
8,24417,Core
10,89559,Dispensable
6,23946,Core
5,25543,Core
7,100897,Total
9,108486,Total
5,26467,Core
7,23899,Core
7,23957,Core
6,24755,Core
4,81377,Total
7,74991,Dispensable
6,66121,Dispensable
5,62375,Dispensable
7,24155,Core
7,98979,Total
3,30356,Core
8,23184,Core
9,109399,Total
4,79943,Total
6,94522,Total
4,26456,Core
6,67546,Dispensable
7,74842,Dispensable
7,99961,Total
9,23629,Core
5,86376,Total
7,24040,Core
8,80746,Dispensable
5,84864,Total
5,25485,Core
7,73053,Dispensable
8,23608,Core
7,24841,Core
5,85617,Total
6,68033,Dispensable
6,92452,Total
7,101333,Total
8,102039,Total
8,24166,Core
4,25705,Core
10,91298,Dispensable
9,108045,Total
7,74064,Dispensable
6,93925,Total
7,25582,Core
6,26380,Core
5,60463,Dispensable
6,24938,Core
4,26273,Core
8,106462,Total
11,117323,Total
5,26600,Core
8,81619,Dispensable
5,86934,Total
8,79500,Dispensable
5,61474,Dispensable
9,22637,Core
4,79502,Total
6,93050,Total
5,24734,Core
6,69458,Dispensable
8,105425,Total
5,25475,Core
5,87971,Total
7,76616,Dispensable
8,104549,Total
5,27341,Core
7,97730,Total
5,85021,Total
4,53167,Dispensable
8,81895,Dispensable
5,60325,Dispensable
8,80608,Dispensable
6,95156,Total
9,23507,Core
8,23988,Core
7,98329,Total
6,24382,Core
2,59116,Total
8,81349,Dispensable
8,81570,Dispensable
5,87060,Total
8,104269,Total
6,67761,Dispensable
8,78257,Dispensable
7,25025,Core
5,88799,Total
6,67998,Dispensable
9,106831,Total
5,88829,Total
4,26018,Core
2,26805,Dispensable
9,22756,Core
4,53476,Dispensable
5,87129,Total
7,23601,Core
8,23300,Core
10,22179,Core
4,51205,Dispensable
5,59724,Dispensable
6,67529,Dispensable
3,72801,Total
6,24083,Core
5,24683,Core
8,23357,Core
8,23001,Core
7,24216,Core
3,30244,Core
9,23582,Core
9,85801,Dispensable
8,105567,Total
3,30227,Core
5,89409,Total
5,87847,Total
5,85233,Total
6,67772,Dispensable
7,75555,Dispensable
8,105128,Total
6,67750,Dispensable
7,75577,Dispensable
7,25083,Core
6,26047,Core
7,101121,Total
7,98383,Total
5,26980,Core
6,67877,Dispensable
5,61033,Dispensable
7,75224,Dispensable
7,75202,Dispensable
5,27100,Core
8,83002,Dispensable
5,63077,Dispensable
9,23881,Core
8,78031,Dispensable
7,97680,Total
9,87702,Dispensable
4,51564,Dispensable
7,73533,Dispensable
4,51542,Dispensable
9,109028,Total
6,69651,Dispensable
9,85834,Dispensable
4,53564,Dispensable
5,61369,Dispensable
3,41758,Dispensable
8,103511,Total
5,86041,Total
5,26155,Core
6,25554,Core
7,73759,Dispensable
8,81327,Dispensable
7,25202,Core
9,107708,Total
4,51652,Dispensable
