x,y,Category,Metric
4,-3823.97,Core,Average
4,11447.41,Accessory,Average
4,2587.52,Unique,Average
5,-1976.30,Core,Average
5,7491.01,Accessory,Average
5,2863.35,Unique,Average
6,-1303.74,Core,Average
6,6000.07,Accessory,Average
6,2509.48,Unique,Average
7,-980.53,Core,Average
7,5126.46,Accessory,Average
7,2234.54,Unique,Average
8,-790.01,Core,Average
8,4537.51,Accessory,Average
8,2012.42,Unique,Average
9,-678.21,Core,Average
9,4092.19,Accessory,Average
9,1842.02,Unique,Average
10,-585.57,Core,Average
10,3745.88,Accessory,Average
10,1700.76,Unique,Average
11,-525.76,Core,Average
11,3466.51,Accessory,Average
11,1606.50,Unique,Average
12,-476.04,Core,Average
12,3233.67,Accessory,Average
12,1503.39,Unique,Average
13,-436.24,Core,Average
13,3033.59,Accessory,Average
13,1429.23,Unique,Average
14,-402.43,Core,Average
14,2864.71,Accessory,Average
14,1354.90,Unique,Average
