x,y,Category,Metric
4,-3823.97,Core,Average
4,14034.92,Accessory,Average
5,-1976.30,Core,Average
5,10354.36,Accessory,Average
6,-1303.74,Core,Average
6,8509.55,Accessory,Average
7,-980.53,Core,Average
7,7361.00,Accessory,Average
8,-790.01,Core,Average
8,6549.94,Accessory,Average
9,-678.21,Core,Average
9,5934.20,Accessory,Average
10,-585.57,Core,Average
10,5446.64,Accessory,Average
11,-525.76,Core,Average
11,5073.01,Accessory,Average
12,-476.04,Core,Average
12,4737.06,Accessory,Average
13,-436.24,Core,Average
13,4462.82,Accessory,Average
14,-402.43,Core,Average
14,4219.61,Accessory,Average
