x,y,Category,Metric
4,-3801.00,Core,Median
4,11467.00,Accessory,Median
4,2524.00,Unique,Median
5,-1896.00,Core,Median
5,7538.00,Accessory,Median
5,2768.00,Unique,Median
6,-1215.00,Core,Median
6,6073.00,Accessory,Median
6,2420.50,Unique,Median
7,-883.00,Core,Median
7,5201.00,Accessory,Median
7,2120.00,Unique,Median
8,-673.00,Core,Median
8,4599.00,Accessory,Median
8,1887.00,Unique,Median
9,-543.00,Core,Median
9,4150.00,Accessory,Median
9,1694.00,Unique,Median
10,-460.00,Core,Median
10,3797.00,Accessory,Median
10,1532.00,Unique,Median
11,-403.00,Core,Median
11,3515.00,Accessory,Median
11,1447.00,Unique,Median
12,-356.00,Core,Median
12,3277.00,Accessory,Median
12,1357.00,Unique,Median
13,-325.00,Core,Median
13,3073.00,Accessory,Median
13,1289.00,Unique,Median
14,-294.00,Core,Median
14,2894.00,Accessory,Median
14,1234.00,Unique,Median
