x,y,Category,Metric
4,-3801.00,Core,Median
4,14042.00,Accessory,Median
5,-1896.00,Core,Median
5,10405.00,Accessory,Median
6,-1215.00,Core,Median
6,8549.00,Accessory,Median
7,-883.00,Core,Median
7,7366.00,Accessory,Median
8,-673.00,Core,Median
8,6549.00,Accessory,Median
9,-543.00,Core,Median
9,5919.00,Accessory,Median
10,-460.00,Core,Median
10,5427.00,Accessory,Median
11,-403.00,Core,Median
11,5041.00,Accessory,Median
12,-356.00,Core,Median
12,4700.00,Accessory,Median
13,-325.00,Core,Median
13,4411.00,Accessory,Median
14,-294.00,Core,Median
14,4177.00,Accessory,Median
