#Tables for different size types:
#1 Number of proteins (members)
#2 Number of genomes

#1 Number of proteins
proteins,frequency,percentage of total groups (74559)
1,24240,32.51
2,9556,12.82
3,8513,11.42
4,29470,39.53
5,1122,1.50
6,477,0.64
7,345,0.46
8,337,0.45
9,96,0.13
10,73,0.10
11,64,0.09
12,114,0.15
13,25,0.03
14,10,0.01
15,21,0.03
16,20,0.03
17,10,0.01
18,3,0.00
19,6,0.01
20,15,0.02
22,5,0.01
23,5,0.01
24,4,0.01
25,5,0.01
26,1,0.00
27,5,0.01
28,1,0.00
29,1,0.00
30,3,0.00
31,1,0.00
33,1,0.00
34,1,0.00
35,1,0.00
36,1,0.00
39,1,0.00
41,1,0.00
44,1,0.00
51,1,0.00
52,2,0.00
216,1,0.00


#2 Number of genomes (maximum of 4)
genomes,frequency,percentage of total groups (74559)
1,25782,34.58
2,9513,12.76
3,8381,11.24
4,30883,41.42
