#13 matrices: 7 with percentages and 6 with gene counts

#Three different gene counts:
# DISTINCT  : always count a maximum 1
# SEMI      : Counts gene copies of genome A up to number of copies in genome B.
# EVERYTHING: Count all genes of genome A as long as the other genome has a copy.

#Percentages of genes shared between two genomes. Gene counts are divided either by the sum of one or both genomes
#1 Percentage SEMI gene counts. Derived from #11 & #12
#2 Percentage SEMI gene counts, genome left column. Derived from #11 & #11 diagonal
#3 Percentage DISTINCT gene counts. Derived from #7 & #8
#4 Percentage DISTINCT based on genome in left column. Derived from #7 & #7 diagonal
#5 Percentage informative DISTINCT based on both genomes. Derived from #9 & #10
#6 Percentage EVERYTHING gene counts based on genome in left column. Derived from #13 & #13 diagonal

#Gene counts between two genomes
#7 shared DISTINCT genes
#8 unshared DISTINCT genes
#9 shared informative DISTINCT genes
#10 unshared informative DISTINCT genes
#11 SEMI shared genes
#12 SEMI unshared genes
#13 EVERYTHING shared genes


#1 Percentage based on SEMI gene counts of both genomes (#11 & #12)
Genomes,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
1,0,49.03,48.98,46.51,49.56,42.36,48.91,46.64,49.58,48.43,49.02,50.33,50.91,50.06,48.76
10,49.03,0,55.11,51.06,53.09,41.80,51.79,43.67,55.37,53.36,53.35,54.96,53.72,52.88,54.02
11,48.98,55.11,0,51.15,53.16,41.14,51.48,43.49,54.80,52.95,53.15,54.02,53.23,52.45,53.90
12,46.51,51.06,51.15,0,51.57,39.16,49.97,41.60,51.43,51.31,51.89,51.30,51.20,51.18,51.35
13,49.56,53.09,53.16,51.57,0,40.62,57.29,44.13,54.32,53.16,53.86,53.75,55.90,53.55,53.55
14,42.36,41.80,41.14,39.16,40.62,0,40.30,39.22,42.51,40.60,40.46,42.51,41.70,40.26,40.97
15,48.91,51.79,51.48,49.97,57.29,40.30,0,43.93,52.54,51.83,52.57,53.74,56.17,51.83,51.64
2,46.64,43.67,43.49,41.60,44.13,39.22,43.93,0,44.06,43.34,43.27,44.07,46.40,43.19,43.58
3,49.58,55.37,54.80,51.43,54.32,42.51,52.54,44.06,0,54.23,53.76,55.96,54.10,53.05,53.91
4,48.43,53.36,52.95,51.31,53.16,40.60,51.83,43.34,54.23,0,52.75,52.87,53.46,52.07,53.52
5,49.02,53.35,53.15,51.89,53.86,40.46,52.57,43.27,53.76,52.75,0,52.58,53.35,53.07,53.06
6,50.33,54.96,54.02,51.30,53.75,42.51,53.74,44.07,55.96,52.87,52.58,0,56.37,52.81,53.05
7,50.91,53.72,53.23,51.20,55.90,41.70,56.17,46.40,54.10,53.46,53.35,56.37,0,53.26,53.02
8,50.06,52.88,52.45,51.18,53.55,40.26,51.83,43.19,53.05,52.07,53.07,52.81,53.26,0,52.27
9,48.76,54.02,53.90,51.35,53.55,40.97,51.64,43.58,53.91,53.52,53.06,53.05,53.02,52.27,0

#2 Percentage based on SEMI gene counts and the genome in the left column (#11 & diagonal #11)
Genomes,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
1,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
10,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
11,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
12,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
13,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
14,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
15,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
2,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
3,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
4,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity,Infinity
5,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity,Infinity
6,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity,Infinity
7,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity,Infinity
8,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0,Infinity
9,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0

#3 Percentage based on DISTINCT gene counts of both genomes (#7 & #8)
Genomes,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
1,0,50.33,50.30,48.44,50.81,44.29,50.43,49.44,50.97,49.77,50.29,51.81,52.29,51.42,50.14
10,50.33,0,56.11,52.87,54.03,43.42,52.90,45.75,56.49,54.42,54.51,56.01,54.68,53.84,55.12
11,50.30,56.11,0,52.94,54.14,42.64,52.51,45.49,55.92,54.10,54.18,55.04,54.08,53.43,54.95
12,48.44,52.87,52.94,0,53.26,41.22,51.82,44.10,53.32,53.18,53.67,53.15,52.92,53.04,53.16
13,50.81,54.03,54.14,53.26,0,42.14,58.28,46.11,55.27,54.20,54.80,54.86,56.73,54.54,54.51
14,44.29,43.42,42.64,41.22,42.14,0,41.98,41.51,44.25,42.29,42.04,44.13,43.33,41.81,42.56
