x,y,Category
6,66750,Dispensable
6,73655,Dispensable
7,95747,Dispensable
6,75214,Dispensable
9,22091,Core
5,25349,Core
9,95988,Dispensable
8,22616,Core
10,21438,Core
10,106167,Dispensable
9,95635,Dispensable
9,107721,Dispensable
4,52459,Dispensable
6,24748,Core
7,23533,Core
4,62817,Dispensable
7,23217,Core
8,22002,Core
10,102001,Dispensable
11,20837,Core
9,22389,Core
9,87189,Dispensable
5,25665,Core
6,24450,Core
5,25051,Core
5,69205,Dispensable
7,76572,Dispensable
5,74783,Dispensable
6,22889,Core
9,102356,Dispensable
10,109973,Dispensable
6,77468,Dispensable
8,91045,Dispensable
3,27424,Core
4,59725,Dispensable
12,122597,Dispensable
10,94795,Dispensable
7,83135,Dispensable
10,112701,Dispensable
5,67988,Dispensable
9,99459,Dispensable
9,21401,Core
5,81324,Dispensable
11,117173,Dispensable
2,33807,Core
9,100797,Dispensable
5,70970,Dispensable
11,20596,Core
6,66761,Dispensable
9,106169,Dispensable
5,26596,Core
5,64061,Dispensable
10,106178,Dispensable
7,84808,Dispensable
10,22071,Core
6,68673,Dispensable
9,87178,Dispensable
6,22832,Core
7,74428,Dispensable
8,22989,Core
2,33566,Core
10,20507,Core
9,102025,Dispensable
10,20823,Core
8,22059,Core
7,23292,Core
7,24780,Core
6,68419,Dispensable
7,24464,Core
8,22375,Core
11,106587,Dispensable
7,83488,Dispensable
6,82362,Dispensable
7,85058,Dispensable
7,85036,Dispensable
11,108157,Dispensable
10,104244,Dispensable
4,54261,Dispensable
10,104266,Dispensable
5,83247,Dispensable
5,72639,Dispensable
7,74660,Dispensable
5,72871,Dispensable
5,61910,Dispensable
5,61932,Dispensable
3,55124,Dispensable
4,25949,Core
5,69889,Dispensable
8,22932,Core
5,60358,Dispensable
5,60049,Dispensable
6,66772,Dispensable
9,95966,Dispensable
9,23263,Core
7,84819,Dispensable
8,94520,Dispensable
5,76011,Dispensable
6,25622,Core
7,22659,Core
8,21760,Core
6,23892,Core
8,89648,Dispensable
6,77799,Dispensable
8,89604,Dispensable
9,95304,Dispensable
6,88054,Dispensable
7,85367,Dispensable
9,108291,Dispensable
6,68408,Dispensable
7,22846,Core
8,91023,Dispensable
10,105939,Dispensable
7,78153,Dispensable
6,23447,Core
8,91067,Dispensable
8,102190,Dispensable
7,89070,Dispensable
7,22232,Core
9,23317,Core
9,97878,Dispensable
6,80229,Dispensable
5,24680,Core
9,21088,Core
8,80437,Dispensable
8,80426,Dispensable
6,23203,Core
5,24418,Core
7,97637,Dispensable
4,52779,Dispensable
11,116956,Dispensable
11,118515,Dispensable
8,21688,Core
9,100786,Dispensable
9,100775,Dispensable
3,42306,Dispensable
6,23817,Core
12,20237,Core
6,25995,Core
9,22016,Core
10,22369,Core
8,89946,Dispensable
9,107710,Dispensable
5,60016,Dispensable
9,95602,Dispensable
9,23504,Core
4,24964,Core
7,24834,Core
7,76009,Dispensable
9,88763,Dispensable
7,87268,Dispensable
7,24148,Core
4,59990,Dispensable
9,21160,Core
6,68342,Dispensable
7,83499,Dispensable
11,20783,Core
8,22562,Core
4,52680,Dispensable
9,22461,Core
9,23076,Core
11,116614,Dispensable
6,79369,Dispensable
10,104277,Dispensable
5,61943,Dispensable
7,83455,Dispensable
12,21297,Core
5,62193,Dispensable
6,77126,Dispensable
10,21754,Core
9,97547,Dispensable
10,21140,Core
12,21111,Core
5,25421,Core
8,103532,Dispensable
9,24004,Core
7,85698,Dispensable
7,74362,Dispensable
9,108048,Dispensable
10,106090,Dispensable
3,41273,Dispensable
10,21011,Core
4,52382,Dispensable
8,104168,Dispensable
9,88421,Dispensable
10,92585,Dispensable
8,87758,Dispensable
8,102256,Dispensable
7,88533,Dispensable
11,97061,Dispensable
8,91012,Dispensable
9,100753,Dispensable
9,21031,Core
5,25295,Core
6,24694,Core
5,63877,Dispensable
8,22803,Core
11,20467,Core
6,24005,Core
5,60689,Dispensable
9,98095,Dispensable
9,22759,Core
9,97856,Dispensable
8,22131,Core
10,112745,Dispensable
3,40758,Dispensable
4,52768,Dispensable
5,25180,Core
6,77424,Dispensable
9,22892,Core
8,22246,Core
8,83603,Dispensable
10,114315,Dispensable
4,52040,Dispensable
7,76318,Dispensable
12,21409,Core
9,108037,Dispensable
7,74351,Dispensable
8,89659,Dispensable
6,79292,Dispensable
3,53289,Dispensable
7,88875,Dispensable
8,90508,Dispensable
9,109313,Dispensable
5,58884,Dispensable
7,74406,Dispensable
5,24921,Core
9,108059,Dispensable
