x,y,Category,Metric
4,-3856.59,Core,Average
4,11618.74,Accessory,Average
4,3937.28,Unique,Average
5,-2017.02,Core,Average
5,7599.83,Accessory,Average
5,4320.33,Unique,Average
6,-1357.40,Core,Average
6,6133.80,Accessory,Average
6,3903.13,Unique,Average
7,-1025.60,Core,Average
7,5308.21,Accessory,Average
7,3505.65,Unique,Average
8,-849.40,Core,Average
8,4750.72,Accessory,Average
8,3294.53,Unique,Average
9,-720.89,Core,Average
9,4334.00,Accessory,Average
9,3025.63,Unique,Average
10,-631.26,Core,Average
10,3990.16,Accessory,Average
10,2848.85,Unique,Average
11,-569.18,Core,Average
11,3733.98,Accessory,Average
11,2765.86,Unique,Average
12,-518.30,Core,Average
12,3495.97,Accessory,Average
12,2596.78,Unique,Average
13,-477.00,Core,Average
13,3301.99,Accessory,Average
13,2497.81,Unique,Average
14,-440.01,Core,Average
14,3129.40,Accessory,Average
14,2430.76,Unique,Average
15,-405.30,Core,Average
15,2964.68,Accessory,Average
15,2255.58,Unique,Average
16,-390.49,Core,Average
16,2841.52,Accessory,Average
16,2281.45,Unique,Average
