#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
35104661,accessory,1,1,,1,,,
35104661,accessory,3,1,,1,,,
35104661,accessory,4,1,,1,,,
35174967,accessory,1,1,,1,,,
35174967,accessory,3,1,,1,,,
35174967,accessory,4,1,,1,,,
35174968,accessory,1,1,,1,,,
35174968,accessory,3,1,,1,,,
35174968,accessory,4,1,,1,,,
35174969,accessory,1,1,,1,,,
35174969,accessory,3,1,,1,,,
35174969,accessory,4,1,,1,,,
35174970,accessory,1,1,,1,,,
35174970,accessory,3,1,,1,,,
35174970,accessory,4,1,,1,,,
35174972,accessory,1,1,,1,,,
35174972,accessory,3,1,,1,,,
35174972,accessory,4,1,,1,,,
35174973,accessory,1,1,,1,,,
35174973,accessory,3,1,,1,,,
35174973,accessory,4,1,,1,,,
35174975,accessory,1,1,,1,,,
35174975,accessory,3,1,,1,,,
35174975,accessory,4,1,,1,,,
35174977,accessory,1,1,,1,,,
35174977,accessory,3,1,,1,,,
35174977,accessory,4,1,,1,,,
35174978,accessory,1,1,,1,,,
35174978,accessory,3,1,,1,,,
35174978,accessory,4,1,,1,,,
35174979,accessory,1,1,,1,,,
35174979,accessory,3,1,,1,,,
35174979,accessory,4,1,,1,,,
35174980,accessory,1,1,,1,1,,
35174980,accessory,4,1,,1,1,,
35284512,accessory,1,1,,1,,,
35284512,accessory,3,1,,1,,,
35284512,accessory,4,1,,1,,,
35284513,accessory,1,2,,2,1,,
35284513,accessory,4,2,,2,1,,
35284516,accessory,1,1,,1,,,
35284516,accessory,3,1,,1,,,
35284516,accessory,4,1,,1,,,
35284517,accessory,1,1,,1,,,
35284517,accessory,3,1,,1,,,
35284517,accessory,4,1,,1,,,
35284518,accessory,1,1,,,1,,
35284518,accessory,2,1,,,1,,
35284518,accessory,4,1,,,1,,
35284519,accessory,2,2,2,,1,2,
35347976,accessory,1,1,,1,,,
35347976,accessory,3,1,,1,,,
35347976,accessory,4,1,,1,,,
35347977,accessory,1,1,,1,,,
35347977,accessory,3,1,,1,,,
35347977,accessory,4,1,,1,,,
35347979,accessory,1,1,,1,,,
35347979,accessory,3,1,,1,,,
35347979,accessory,4,1,,1,,,
35347980,accessory,1,2,,2,,,
35347980,accessory,3,2,,2,,,
35347980,accessory,4,2,,2,,,
35347984,accessory,1,1,,1,,,
35347984,accessory,3,1,,1,,,
35347984,accessory,4,1,,1,,,
35347987,accessory,1,1,,1,,,
35347987,accessory,3,1,,1,,,
35347987,accessory,4,1,,1,,,
35347990,accessory,1,1,,1,,,
35347990,accessory,3,1,,1,,,
35347990,accessory,4,1,,1,,,
35347994,accessory,1,1,,1,,,
35347994,accessory,3,1,,1,,,
35347994,accessory,4,1,,1,,,
35347996,accessory,1,1,,1,,,
35347996,accessory,3,1,,1,,,
35347996,accessory,4,1,,1,,,
35347997,accessory,1,1,,1,,,
35347997,accessory,3,1,,1,,,
35347997,accessory,4,1,,1,,,
35347998,accessory,1,1,,1,1,,
35347998,accessory,4,1,,1,1,,
35348001,accessory,1,1,,1,1,,
35348001,accessory,4,1,,1,1,,
35348004,accessory,1,1,,1,,,
35348004,accessory,3,1,,1,,,
35348004,accessory,4,1,,1,,,
35348005,accessory,1,1,,1,,,
35348005,accessory,3,1,,1,,,
35348005,accessory,4,1,,1,,,
35348007,core,1,2,,1,,,
35348007,core,3,2,,1,,,
35348007,core,4,2,,1,,,
35348009,accessory,1,1,,1,,,
35348009,accessory,3,1,,1,,,
35348009,accessory,4,1,,1,,,
35348012,accessory,1,1,,1,,,
35348012,accessory,3,1,,1,,,
35348012,accessory,4,1,,1,,,
35348013,accessory,1,1,,1,,,
35348013,accessory,3,1,,1,,,
35348013,accessory,4,1,,1,,,
35348014,accessory,2,1,1,,,,
35348014,accessory,3,1,1,,,,
35348014,accessory,4,1,1,,,,
35348016,accessory,1,1,,1,,,
35348016,accessory,3,1,,1,,,
35348016,accessory,4,1,,1,,,
35348018,accessory,1,1,,1,,,
35348018,accessory,3,1,,1,,,
35348018,accessory,4,1,,1,,,
35348019,accessory,1,1,,1,,,
35348019,accessory,3,1,,1,,,
35348019,accessory,4,1,,1,,,
35348021,accessory,1,1,,1,,,
35348021,accessory,3,1,,1,,,
35348021,accessory,4,1,,1,,,
35348023,accessory,1,1,,1,,,
35348023,accessory,3,1,,1,,,
35348023,accessory,4,1,,1,,,
35348024,accessory,1,1,,1,,,
35348024,accessory,3,1,,1,,,
35348024,accessory,4,1,,1,,,
35348025,core,1,2,,1,,,
35348025,core,3,2,,1,,,
35348025,core,4,2,,1,,,
35348028,accessory,1,1,,1,,,
35348028,accessory,3,1,,1,,,
35348028,accessory,4,1,,1,,,
35348029,accessory,1,1,,1,,,
35348029,accessory,3,1,,1,,,
35348029,accessory,4,1,,1,,,
35348030,accessory,1,1,,1,,,
35348030,accessory,3,1,,1,,,
35348030,accessory,4,1,,1,,,
35348031,accessory,1,1,,1,,,
35348031,accessory,3,1,,1,,,
35348031,accessory,4,1,,1,,,
35348032,accessory,1,2,,2,1,1,
35348033,accessory,1,2,,1,1,2,
35348034,accessory,1,1,,1,,1,
35348034,accessory,3,1,,1,,1,
35348036,accessory,1,1,,1,,,
35348036,accessory,3,1,,1,,,
35348036,accessory,4,1,,1,,,
35348037,accessory,3,1,1,1,,,
35348037,accessory,4,1,1,1,,,
35348038,accessory,1,1,,,1,1,
35348038,accessory,2,1,,,1,1,
35348039,accessory,1,1,,1,1,,
35348039,accessory,4,1,,1,1,,
35348040,accessory,1,1,,1,1,,
35348040,accessory,4,1,,1,1,,
35348043,accessory,1,1,,1,,,
35348043,accessory,3,1,,1,,,
35348043,accessory,4,1,,1,,,
35348044,accessory,1,1,,1,,1,
35348044,accessory,3,1,,1,,1,
35348045,accessory,1,1,,1,,,
35348045,accessory,3,1,,1,,,
35348045,accessory,4,1,,1,,,
35348046,accessory,1,1,,1,,,
35348046,accessory,3,1,,1,,,
35348046,accessory,4,1,,1,,,
35348047,accessory,1,1,,1,,,
35348047,accessory,3,1,,1,,,
35348047,accessory,4,1,,1,,,
35348048,accessory,1,1,,1,,,
35348048,accessory,3,1,,1,,,
35348048,accessory,4,1,,1,,,
35348049,accessory,1,1,,1,,,
35348049,accessory,3,1,,1,,,
35348049,accessory,4,1,,1,,,
35348051,accessory,1,2,,2,1,1,
35348055,accessory,1,1,,1,,,
35348055,accessory,3,1,,1,,,
35348055,accessory,4,1,,1,,,
35348056,accessory,1,1,,1,,,
35348056,accessory,3,1,,1,,,
35348056,accessory,4,1,,1,,,
35348058,accessory,1,1,,1,,,
35348058,accessory,3,1,,1,,,
35348058,accessory,4,1,,1,,,
35348059,accessory,1,1,,1,,,
35348059,accessory,3,1,,1,,,
35348059,accessory,4,1,,1,,,
35348061,accessory,1,1,,1,,,
35348061,accessory,3,1,,1,,,
35348061,accessory,4,1,,1,,,
35348062,accessory,2,1,1,,,,
35348062,accessory,3,1,1,,,,
35348062,accessory,4,1,1,,,,
35348065,accessory,1,1,,1,,,
35348065,accessory,3,1,,1,,,
35348065,accessory,4,1,,1,,,
35348066,accessory,1,1,,1,,,
35348066,accessory,3,1,,1,,,
35348066,accessory,4,1,,1,,,
35348067,accessory,1,1,,1,,,
35348067,accessory,3,1,,1,,,
35348067,accessory,4,1,,1,,,
35348068,core,1,2,,1,,,
35348068,core,3,2,,1,,,
35348068,core,4,2,,1,,,
35348070,accessory,1,1,,1,,,
35348070,accessory,3,1,,1,,,
35348070,accessory,4,1,,1,,,
35348071,accessory,1,1,,1,,,
35348071,accessory,3,1,,1,,,
35348071,accessory,4,1,,1,,,
35348073,accessory,1,1,,1,,,
35348073,accessory,3,1,,1,,,
35348073,accessory,4,1,,1,,,
35348075,accessory,1,1,,1,,,
35348075,accessory,3,1,,1,,,
35348075,accessory,4,1,,1,,,
35348076,accessory,1,1,,1,,,
35348076,accessory,3,1,,1,,,
35348076,accessory,4,1,,1,,,
35348078,accessory,1,1,,1,,,
35348078,accessory,3,1,,1,,,
35348078,accessory,4,1,,1,,,
35348079,accessory,1,1,,1,1,,
35348079,accessory,4,1,,1,1,,
35348081,accessory,1,1,,1,1,,
35348081,accessory,4,1,,1,1,,
35348082,accessory,1,1,,1,,,
35348082,accessory,3,1,,1,,,
35348082,accessory,4,1,,1,,,
35348084,accessory,1,1,,1,,,
35348084,accessory,3,1,,1,,,
35348084,accessory,4,1,,1,,,
35348085,accessory,1,1,,1,,1,
35348085,accessory,3,1,,1,,1,
35348086,core,3,2,1,1,,1,
35348087,accessory,3,2,1,2,,1,
35348088,accessory,1,1,,1,,,
35348088,accessory,3,1,,1,,,
35348088,accessory,4,1,,1,,,
35348089,core,1,2,,1,,,
35348089,core,3,2,,1,,,
35348089,core,4,2,,1,,,
35348092,accessory,1,1,,1,,,
35348092,accessory,3,1,,1,,,
35348092,accessory,4,1,,1,,,
35348093,accessory,1,1,,1,,,
35348093,accessory,3,1,,1,,,
35348093,accessory,4,1,,1,,,
35348094,accessory,1,1,,1,,,
35348094,accessory,3,1,,1,,,
35348094,accessory,4,1,,1,,,
35348095,core,3,3,1,1,,,
35348095,core,4,3,1,1,,,
35348096,core,1,3,,2,2,2,
35348099,accessory,2,1,1,,,,
35348099,accessory,3,1,1,,,,
35348099,accessory,4,1,1,,,,
35348106,accessory,1,1,,1,,,
35348106,accessory,3,1,,1,,,
35348106,accessory,4,1,,1,,,
35348108,accessory,1,1,,1,,,
35348108,accessory,3,1,,1,,,
35348108,accessory,4,1,,1,,,
35348110,accessory,1,1,,1,,,
35348110,accessory,3,1,,1,,,
35348110,accessory,4,1,,1,,,
35348111,accessory,1,1,,1,,,
35348111,accessory,3,1,,1,,,
35348111,accessory,4,1,,1,,,
35348112,accessory,1,1,,1,,,
35348112,accessory,3,1,,1,,,
35348112,accessory,4,1,,1,,,
35348115,accessory,1,1,,1,,,
35348115,accessory,3,1,,1,,,
35348115,accessory,4,1,,1,,,
35348116,accessory,1,1,,1,,,
35348116,accessory,3,1,,1,,,
35348116,accessory,4,1,,1,,,
35348117,accessory,1,1,,1,,,
35348117,accessory,3,1,,1,,,
35348117,accessory,4,1,,1,,,
