homology_group,1,2,3,4
35104660,1,1,1,1
35104661,1,0,1,1
35174967,1,0,1,1
35174968,1,0,1,1
35174969,1,0,1,1
35174970,1,0,1,1
35174971,1,1,1,1
35174972,1,0,1,1
35174973,1,0,1,1
35174974,1,0,0,0
35174975,1,0,1,1
35174976,1,0,0,0
35174977,1,0,1,1
35174978,1,0,1,1
35174979,1,0,1,1
35174980,1,0,0,1
35174981,1,0,0,0
35284512,1,0,1,1
35284513,1,0,1,1
35284514,1,1,1,1
35284515,1,1,1,1
35284516,1,0,1,1
35284517,1,0,1,1
35284518,1,1,0,1
35284519,0,1,1,0
35284520,0,1,0,0
35284521,0,0,1,0
35347975,1,0,0,0
35347976,1,0,1,1
35347977,1,0,1,1
35347978,1,1,1,1
35347979,1,0,1,1
35347980,1,0,1,1
35347981,1,0,0,0
35347982,1,0,0,0
35347983,1,1,1,1
35347984,1,0,1,1
35347985,1,1,1,1
35347986,1,1,1,1
35347987,1,0,1,1
35347988,1,0,0,0
35347989,1,1,1,1
35347990,1,0,1,1
35347991,1,0,0,0
35347992,1,1,1,1
35347993,1,1,1,1
35347994,1,0,1,1
35347995,1,0,0,0
35347996,1,0,1,1
35347997,1,0,1,1
35347998,1,0,0,1
35347999,1,1,1,1
35348000,1,1,1,1
35348001,1,0,0,1
35348002,0,0,1,0
35348003,1,0,0,0
35348004,1,0,1,1
35348005,1,0,1,1
35348006,1,0,0,0
35348007,1,1,1,1
35348008,1,1,1,1
35348009,1,0,1,1
35348010,1,1,1,1
35348011,1,1,1,1
35348012,1,0,1,1
35348013,1,0,1,1
35348014,0,1,1,1
35348015,1,1,1,1
35348016,1,0,1,1
35348017,1,1,1,1
35348018,1,0,1,1
35348019,1,0,1,1
35348020,1,0,0,0
35348021,1,0,1,1
35348022,1,1,1,1
35348023,1,0,1,1
35348024,1,0,1,1
35348025,1,1,1,1
35348026,1,1,1,1
35348027,1,1,1,1
35348028,1,0,1,1
35348029,1,0,1,1
35348030,1,0,1,1
35348031,1,0,1,1
35348032,1,0,1,1
35348033,1,1,1,0
35348034,1,0,1,0
35348035,1,1,1,1
35348036,1,0,1,1
35348037,0,0,1,1
35348038,1,1,0,0
35348039,1,0,0,1
35348040,1,0,0,1
35348041,1,0,0,0
35348042,1,0,0,0
35348043,1,0,1,1
35348044,1,0,1,0
35348045,1,0,1,1
35348046,1,0,1,1
35348047,1,0,1,1
35348048,1,0,1,1
35348049,1,0,1,1
35348050,1,0,0,0
35348051,1,0,1,1
35348052,1,1,1,1
35348053,1,0,0,0
35348054,1,1,1,1
35348055,1,0,1,1
35348056,1,0,1,1
35348057,1,1,1,1
35348058,1,0,1,1
35348059,1,0,1,1
35348060,1,1,1,1
35348061,1,0,1,1
35348062,0,1,1,1
35348063,1,1,1,1
35348064,1,1,1,1
35348065,1,0,1,1
35348066,1,0,1,1
35348067,1,0,1,1
35348068,1,1,1,1
35348069,1,1,1,1
35348070,1,0,1,1
35348071,1,0,1,1
35348072,1,1,1,1
35348073,1,0,1,1
35348074,1,1,1,1
35348075,1,0,1,1
35348076,1,0,1,1
35348077,1,1,1,1
35348078,1,0,1,1
35348079,1,0,0,1
35348080,1,0,0,0
35348081,1,0,0,1
35348082,1,0,1,1
35348083,1,1,1,1
35348084,1,0,1,1
35348085,1,0,1,0
35348086,1,1,1,1
35348087,1,0,1,1
35348088,1,0,1,1
35348089,1,1,1,1
35348090,1,1,1,1
35348091,1,1,1,1
35348092,1,0,1,1
35348093,1,0,1,1
35348094,1,0,1,1
35348095,1,1,1,1
35348096,1,1,1,1
35348097,1,1,1,1
35348098,0,0,1,0
35348099,0,1,1,1
35348100,0,0,0,1
35348101,0,1,0,0
35348102,0,1,0,0
35348103,0,1,0,0
35348104,1,1,1,1
35348105,1,1,1,1
35348106,1,0,1,1
35348107,1,0,0,0
35348108,1,0,1,1
35348109,1,1,1,1
35348110,1,0,1,1
35348111,1,0,1,1
35348112,1,0,1,1
35348113,1,1,1,1
35348114,1,1,1,1
35348115,1,0,1,1
35348116,1,0,1,1
35348117,1,0,1,1
35348118,1,0,1,1
35348119,1,0,1,1
35348120,1,1,1,1
35348121,1,0,1,1
35348122,1,1,1,1
35348123,1,1,1,1
35348124,1,0,1,1
35348125,1,0,1,1
35348126,1,0,1,1
35348127,1,0,1,1
35348128,1,0,1,1
35348129,1,0,0,0
35348130,1,0,1,0
35348131,1,0,1,1
35348132,1,0,1,1
35348133,1,0,1,1
35348134,1,0,0,0
35348135,1,0,1,0
35348136,1,1,1,1
35348137,1,0,1,1
35348138,1,0,1,1
35348139,1,0,1,1
35348140,1,0,1,1
35348141,1,1,1,1
35348142,1,0,1,0
35348143,1,0,1,1
35348144,1,0,1,1
35348145,0,0,1,1
35348146,1,0,1,1
35348147,1,0,1,1
35348148,1,0,1,1
35348149,1,0,1,1
35348150,1,0,1,1
35348151,1,0,0,0
35348152,1,0,1,1
35348153,1,0,1,1
35348154,1,0,1,1
35348155,1,0,1,1
35348156,1,1,1,1
35348157,1,1,1,1
35348158,1,1,1,1
35348159,1,0,1,1
35348160,1,1,1,1
35348161,1,0,1,1
35348162,1,1,1,1
35348163,1,0,1,1
35348164,0,1,1,1
35348165,1,0,0,0
35348166,1,1,1,1
35348167,1,0,1,1
35348168,1,1,1,1
35348169,1,0,1,1
35348170,1,0,0,0
35348171,1,0,1,1
35348172,1,0,1,1
35348173,1,1,1,0
35348174,1,0,1,1
35348175,1,0,1,1
35348176,1,0,1,1
35348177,1,1,1,1
35348178,1,0,1,0
35348179,1,1,1,1
35348180,1,0,1,1
35348181,1,1,1,1
35348182,1,0,1,1
35348183,1,1,1,1
35348184,1,1,1,1
35348185,1,1,1,1
35348186,1,0,0,0
35348187,1,0,1,1
35348188,1,0,1,1
35348189,1,1,1,1
35348190,1,0,1,1
35348191,0,1,1,0
35348192,1,1,1,1
35348193,1,0,1,1
35348194,1,0,1,1
35348195,1,0,0,0
35348196,1,1,1,1
35348197,1,1,0,1
35348198,1,0,1,1
35348199,1,0,0,0
35348200,1,0,1,1
35348201,1,1,1,1
35348202,1,0,1,1
35348203,1,0,1,1
35348204,1,0,1,1
35348205,1,0,1,1
35348206,1,0,0,0
35348207,1,0,1,0
35348208,1,0,0,0
35348209,1,0,1,1
35348210,1,0,1,1
35348211,1,0,1,1
35348212,1,0,1,1
35348213,1,0,1,1
35348214,1,0,1,1
35348215,1,1,1,1
35348216,1,0,1,1
35348217,1,0,1,1
35348218,1,0,1,1
35348219,1,0,0,1
35348220,1,0,1,1
35348221,1,1,1,1
35348222,1,0,1,1
35348223,1,0,1,0
35348224,0,0,0,1
35348225,0,0,1,0
35348226,1,0,1,1
35348227,1,0,0,0
35348228,1,0,1,1
35348229,1,0,1,1
35348230,1,0,1,1
35348231,1,0,0,0
35348232,1,0,1,1
35348233,1,1,1,1
35348234,1,0,1,1
35348235,1,0,1,0
35348236,1,1,1,1
35348237,1,0,1,1
35348238,1,0,1,1
35348239,1,1,1,1
35348240,1,0,1,1
35348241,1,0,0,0
35348242,0,0,1,0
35348243,0,0,0,1
35348244,1,1,1,0
35348245,1,1,1,1
35348246,0,1,0,0
35348247,0,0,0,1
35348248,1,0,1,1
35348249,0,1,0,1
35348250,0,1,0,0
35348251,1,1,1,1
35348252,1,0,1,1
35348253,1,1,1,1
35348254,1,1,1,1
35348255,1,0,1,1
35348256,1,0,1,1
35348257,1,0,1,1
35348258,1,1,0,1
35348259,1,0,1,1
35348260,1,0,1,1
35348261,1,1,1,1
35348262,1,0,1,1
35348263,1,0,1,1
35348264,1,0,1,1
35348265,1,0,1,1
35348266,1,0,1,1
35348267,1,0,1,1
35348268,1,0,1,1
35348269,1,0,1,1
35348270,1,0,1,1
35348271,1,0,1,1
35348272,1,0,1,1
35348273,1,1,1,1
35348274,1,0,1,1
35348275,1,0,0,0
35348276,1,0,1,1
35348277,1,0,1,1
35348278,1,0,1,1
35348279,1,0,1,1
35348280,1,0,1,1
35348281,1,1,1,1
35348282,1,0,1,1
35348283,1,0,1,1
35348284,1,1,1,1
35348285,1,0,1,1
35348286,1,0,1,1
35348287,1,1,1,1
35348288,1,0,1,1
35348289,1,0,1,1
35348290,1,0,1,1
35348291,1,0,1,1
35348292,1,1,1,1
35348293,1,0,1,1
35348294,1,1,1,1
35348295,1,0,1,1
35348296,1,0,1,1
35348297,1,1,1,1
35348298,1,1,1,1
35348299,0,0,1,0
35348300,0,0,0,1
35348301,0,1,0,0
35348302,0,0,1,0
35348303,0,0,1,0
35348304,0,0,0,1
35348305,0,1,0,0
35348306,1,0,0,0
35348307,1,0,0,0
35348308,1,1,1,1
35348309,1,0,1,1
35348310,1,0,1,1
35348311,1,0,1,1
35348312,1,0,0,0
35348313,1,0,0,0
35348314,1,1,1,1
35348315,1,0,1,0
35348316,1,1,1,1
35348317,1,1,1,1
35348318,1,1,1,1
35348319,1,1,1,1
35348320,1,0,1,0
35348321,1,0,0,0
35348322,1,0,1,1
35348323,1,0,1,1
35348324,1,0,0,0
35348325,1,0,1,1
35348326,1,0,1,1
35348327,1,0,0,1
35348328,1,0,1,1
35348329,1,0,1,1
35348330,1,0,0,0
35348331,1,0,1,1
35348332,1,0,1,1
35348333,1,0,1,1
35348334,1,0,1,1
35348335,1,0,1,1
35348336,1,1,1,1
35348337,1,0,1,1
35348338,1,0,0,0
35348339,1,0,1,1
35348340,1,0,1,1
35348341,0,0,1,1
35348342,1,0,1,1
35348343,1,0,1,1
35348344,1,0,1,1
35348345,1,0,0,0
35348346,1,0,1,1
35348347,1,0,0,1
35348348,1,0,1,1
35348349,1,0,1,1
35348350,1,0,1,1
35348351,1,0,1,1
35348352,1,0,1,0
35348353,0,1,0,0
35348354,1,0,0,0
35348355,0,1,0,0
35348356,1,0,0,0
35348357,1,0,1,1
35348358,1,1,1,0
35348359,1,1,1,1
35348360,1,1,1,1
35348361,1,0,1,1
35348362,1,0,1,1
35348363,1,0,0,0
35348364,1,1,1,1
35348365,1,0,1,1
35348366,1,0,1,1
35348367,1,0,1,1
35348368,1,1,0,0
35348369,1,0,0,0
35348370,1,0,1,1
35348371,1,0,1,1
35348372,1,0,1,0
35348373,1,0,1,0
35348374,1,0,1,1
35348375,1,1,1,1
35348376,1,0,1,1
35348377,1,0,1,1
35348378,1,0,1,1
35348379,1,0,1,0
35348380,0,0,1,1
35348381,1,0,0,0
35348382,1,0,1,1
35348383,1,0,1,1
35348384,1,0,1,1
35348385,1,1,1,1
35348386,1,1,0,1
35348387,0,1,1,1
35348388,1,1,0,0
35348389,0,0,1,0
35348390,0,0,0,1
35348391,1,0,1,1
35348392,1,1,1,1
35348393,1,0,1,1
35348394,1,0,1,1
35348395,1,0,1,1
35348396,1,0,1,1
35348397,1,1,1,1
35348398,1,0,1,1
35348399,1,0,1,1
35348400,1,1,1,1
35348401,1,0,1,1
