#Tables for different size types:
#1 Number of proteins (members)
#2 Number of genomes

#1 Number of proteins
proteins,frequency,percentage of total groups (161588)
1,74399,46.04
2,20326,12.58
3,10689,6.61
4,6903,4.27
5,4866,3.01
6,3584,2.22
7,2764,1.71
8,2242,1.39
9,1887,1.17
10,1731,1.07
11,1709,1.06
12,1807,1.12
13,2594,1.61
14,4595,2.84
15,16442,10.18
16,1736,1.07
17,430,0.27
18,249,0.15
19,185,0.11
20,145,0.09
21,105,0.06
22,95,0.06
23,106,0.07
24,99,0.06
25,90,0.06
26,115,0.07
27,108,0.07
28,152,0.09
29,174,0.11
30,374,0.23
31,115,0.07
32,52,0.03
33,37,0.02
34,27,0.02
35,36,0.02
36,20,0.01
37,20,0.01
38,32,0.02
39,22,0.01
40,21,0.01
41,26,0.02
42,34,0.02
43,52,0.03
44,50,0.03
45,98,0.06
46,31,0.02
47,8,0.00
48,8,0.00
49,10,0.01
50,9,0.01
51,6,0.00
52,3,0.00
53,4,0.00
54,8,0.00
55,4,0.00
56,8,0.00
57,3,0.00
58,3,0.00
59,11,0.01
60,10,0.01
61,6,0.00
62,6,0.00
63,1,0.00
64,7,0.00
65,2,0.00
66,3,0.00
67,1,0.00
68,1,0.00
69,2,0.00
70,7,0.00
71,3,0.00
72,2,0.00
73,5,0.00
74,5,0.00
75,8,0.00
76,4,0.00
78,2,0.00
79,3,0.00
81,1,0.00
82,4,0.00
83,3,0.00
86,3,0.00
87,1,0.00
88,2,0.00
89,3,0.00
90,3,0.00
93,1,0.00
94,2,0.00
95,4,0.00
97,1,0.00
110,2,0.00
112,1,0.00
115,1,0.00
117,1,0.00
118,1,0.00
120,1,0.00
121,1,0.00
124,1,0.00
133,1,0.00
138,1,0.00
142,1,0.00
145,1,0.00
146,1,0.00
154,1,0.00
155,1,0.00
159,1,0.00
183,1,0.00
189,1,0.00
207,1,0.00
237,1,0.00
244,1,0.00
246,1,0.00


#2 Number of genomes (maximum of 15)
genomes,frequency,percentage of total groups (161588)
1,76819,47.54
2,20286,12.55
3,10234,6.33
4,6674,4.13
5,4616,2.86
6,3503,2.17
7,2708,1.68
8,2221,1.37
9,1841,1.14
10,1729,1.07
11,1720,1.06
12,1883,1.17
13,2813,1.74
14,5115,3.17
15,19426,12.02
