#Tables for different size types:
#1 Number of proteins (members)
#2 Number of genomes

#1 Number of proteins
proteins,frequency,percentage of total groups (153333)
1,68379,44.60
2,18596,12.13
3,10486,6.84
4,6673,4.35
5,4700,3.07
6,3458,2.26
7,2782,1.81
8,2240,1.46
9,1905,1.24
10,1701,1.11
11,1700,1.11
12,1712,1.12
13,2391,1.56
14,5203,3.39
15,16297,10.63
16,1768,1.15
17,450,0.29
18,266,0.17
19,188,0.12
20,154,0.10
21,107,0.07
22,102,0.07
23,97,0.06
24,98,0.06
25,86,0.06
26,112,0.07
27,92,0.06
28,148,0.10
29,205,0.13
30,372,0.24
31,109,0.07
32,48,0.03
33,38,0.02
34,27,0.02
35,32,0.02
36,21,0.01
37,25,0.02
38,24,0.02
39,28,0.02
40,19,0.01
41,20,0.01
42,41,0.03
43,48,0.03
44,42,0.03
45,100,0.07
46,33,0.02
47,11,0.01
48,8,0.01
49,10,0.01
50,5,0.00
51,5,0.00
52,3,0.00
53,8,0.01
54,2,0.00
55,5,0.00
56,4,0.00
57,5,0.00
58,5,0.00
59,6,0.00
60,16,0.01
61,5,0.00
62,3,0.00
63,5,0.00
64,4,0.00
65,2,0.00
66,2,0.00
67,1,0.00
68,2,0.00
69,2,0.00
70,5,0.00
71,3,0.00
73,5,0.00
74,8,0.01
75,9,0.01
76,2,0.00
77,1,0.00
78,1,0.00
79,2,0.00
80,2,0.00
81,2,0.00
82,1,0.00
83,1,0.00
85,4,0.00
87,2,0.00
88,4,0.00
89,4,0.00
90,3,0.00
91,1,0.00
94,1,0.00
95,2,0.00
96,1,0.00
98,1,0.00
99,1,0.00
107,2,0.00
110,2,0.00
111,1,0.00
115,1,0.00
117,1,0.00
118,1,0.00
124,1,0.00
129,2,0.00
145,1,0.00
148,2,0.00
153,1,0.00
156,1,0.00
157,1,0.00
161,1,0.00
188,1,0.00
191,1,0.00
210,1,0.00
213,1,0.00
243,1,0.00
249,1,0.00
322,1,0.00


#2 Number of genomes (maximum of 15)
genomes,frequency,percentage of total groups (153333)
1,70845,46.20
2,18357,11.97
3,10020,6.53
4,6444,4.20
5,4495,2.93
6,3388,2.21
7,2728,1.78
8,2267,1.48
9,1855,1.21
10,1701,1.11
11,1723,1.12
12,1792,1.17
13,2607,1.70
14,5826,3.80
15,19285,12.58
