x,y,Category
10,47056,Accessory
5,27210,Accessory
8,40706,Accessory
9,42635,Accessory
11,51595,Accessory
6,32317,Accessory
8,39439,Accessory
9,43978,Accessory
10,65899,Unique
6,24748,Core
7,23533,Core
10,46183,Unique
7,23217,Core
8,22002,Core
8,38871,Accessory
11,20837,Core
10,64485,Unique
7,52598,Unique
5,25665,Core
6,24450,Core
7,35860,Accessory
10,48670,Accessory
7,58657,Unique
6,55456,Unique
8,39710,Accessory
6,39081,Unique
6,22889,Core
5,48246,Unique
9,62842,Unique
10,44028,Unique
8,40967,Accessory
11,67458,Unique
12,57841,Unique
9,62479,Unique
2,33807,Core
6,58569,Unique
8,60827,Unique
6,57081,Unique
5,48474,Unique
8,54157,Unique
5,54182,Unique
5,26596,Core
8,40949,Accessory
7,34003,Accessory
9,56906,Unique
5,45133,Unique
7,50504,Unique
8,62754,Unique
10,22071,Core
8,39971,Accessory
7,24780,Core
4,18545,Accessory
8,22375,Core
6,48562,Unique
10,49238,Accessory
5,35669,Unique
8,62526,Unique
6,36869,Unique
6,37382,Unique
10,45969,Accessory
4,25949,Core
7,35842,Accessory
9,42617,Accessory
9,44835,Accessory
8,40985,Accessory
9,41778,Accessory
5,25010,Accessory
5,26353,Accessory
6,25622,Core
8,21760,Core
8,38853,Accessory
7,43549,Unique
8,44754,Unique
6,32335,Accessory
7,22846,Core
11,51830,Accessory
10,65806,Unique
9,53361,Unique
7,49608,Unique
8,50160,Unique
7,22232,Core
5,23688,Accessory
7,35824,Accessory
9,42653,Accessory
9,23317,Core
4,18581,Accessory
5,23905,Accessory
5,36479,Unique
6,31992,Accessory
9,21088,Core
5,24418,Core
8,21688,Core
7,35346,Accessory
7,36090,Accessory
7,52961,Unique
10,47092,Accessory
5,48776,Unique
10,22369,Core
12,66206,Unique
9,23504,Core
9,45047,Accessory
10,66184,Unique
4,24964,Core
10,44256,Unique
9,43996,Accessory
7,57317,Unique
8,50759,Unique
11,50991,Accessory
9,21160,Core
10,65504,Unique
9,45652,Unique
9,64313,Unique
5,24171,Accessory
7,42363,Unique
10,47795,Accessory
10,21754,Core
8,61870,Unique
9,44842,Unique
5,46775,Unique
8,41641,Unique
6,30153,Accessory
8,55404,Unique
6,55684,Unique
8,40097,Accessory
8,41842,Accessory
9,44339,Accessory
9,61669,Unique
8,43107,Unique
4,44007,Unique
9,24004,Core
5,24153,Accessory
6,29346,Accessory
10,21011,Core
7,49311,Unique
5,26727,Accessory
7,51844,Unique
8,49622,Unique
6,46105,Unique
9,53663,Unique
5,25295,Core
6,32371,Accessory
8,22803,Core
11,20467,Core
6,24005,Core
8,38817,Accessory
8,51648,Unique
10,48877,Accessory
8,38150,Accessory
7,34985,Accessory
5,34841,Unique
5,25180,Core
8,53575,Unique
7,53241,Unique
10,46826,Accessory
6,48032,Unique
6,31010,Accessory
7,36203,Accessory
8,38132,Accessory
10,45987,Accessory
5,24921,Core
3,29785,Core
6,41539,Unique
6,51528,Unique
12,68133,Unique
9,63289,Unique
7,50295,Unique
10,22872,Core
9,43510,Accessory
10,48634,Accessory
9,21214,Core
7,23720,Core
12,21610,Core
4,42838,Unique
6,38192,Unique
6,22961,Core
6,38043,Unique
8,23062,Core
10,58252,Unique
6,49223,Unique
9,53886,Unique
5,34859,Unique
6,49981,Unique
8,61107,Unique
4,27510,Core
11,51099,Accessory
6,46635,Unique
7,41781,Unique
6,23576,Core
9,55357,Unique
6,23332,Core
7,25395,Core
8,24180,Core
9,63350,Unique
3,29316,Unique
8,53710,Unique
10,49256,Accessory
4,27808,Core
9,20958,Core
10,57591,Unique
4,19149,Accessory
8,54743,Unique
10,46470,Accessory
7,35364,Accessory
7,40208,Unique
9,42193,Accessory
6,37512,Unique
8,40003,Accessory
10,46416,Accessory
7,22788,Core
5,46547,Unique
9,23450,Core
6,30171,Accessory
8,21573,Core
9,43669,Unique
7,22602,Core
8,50987,Unique
7,39694,Unique
5,35897,Unique
8,22188,Core
4,19420,Accessory
12,66355,Unique
6,25065,Core
9,22332,Core
8,39083,Accessory
6,50342,Unique
10,21197,Core
5,24581,Accessory
9,21458,Core
7,50899,Unique
11,21341,Core
7,24277,Core
9,44461,Accessory
11,51577,Accessory
8,21390,Core
5,34613,Unique
7,49915,Unique
6,22458,Core
11,65234,Unique
9,55134,Unique
4,18937,Accessory
5,24120,Core
8,40575,Accessory
5,26371,Accessory
9,54831,Unique
3,26065,Core
9,42671,Accessory
9,53891,Unique
4,36526,Unique
10,20582,Core
12,20553,Core
8,42976,Unique
8,22433,Core
13,67857,Unique
9,43586,Accessory
7,48501,Unique
5,23691,Core
6,50951,Unique
5,38308,Unique
6,29531,Accessory
4,43704,Unique
13,57766,Accessory
11,49409,Accessory
8,40314,Accessory
7,53924,Unique
9,64690,Unique
9,44425,Accessory
6,51909,Unique
10,57214,Unique
7,48668,Unique
12,67830,Unique
8,58801,Unique
3,32083,Unique
6,24317,Core
2,36634,Unique
6,49070,Unique
7,24963,Core
4,35284,Unique
8,55576,Unique
11,49941,Accessory
9,52853,Unique
9,22515,Core
10,47980,Accessory
7,41474,Unique
8,41382,Accessory
8,39300,Accessory
8,23680,Core
11,20779,Core
5,35651,Unique
6,30545,Accessory
5,24849,Core
9,62256,Unique
4,18153,Accessory
5,25731,Accessory
7,40515,Unique
7,40817,Unique
6,50588,Unique
6,38573,Unique
9,22447,Core
9,43050,Accessory
5,45970,Unique
8,39029,Accessory
6,30527,Accessory
9,54696,Unique
6,28985,Accessory
4,27941,Core
5,25848,Core
9,54189,Unique
4,20520,Accessory
12,21053,Core
11,55468,Unique
12,54805,Accessory
10,65425,Unique
6,49093,Unique
8,62145,Unique
7,37397,Accessory
8,23605,Core
11,50955,Accessory
7,34949,Accessory
7,22415,Core
5,25478,Accessory
11,21639,Core
3,40805,Unique
6,37679,Unique
6,29328,Accessory
9,45368,Unique
9,42225,Accessory
4,43955,Unique
5,47129,Unique
5,55726,Unique
9,22817,Core
5,24563,Accessory
5,25956,Accessory
8,52161,Unique
6,47673,Unique
9,23080,Core
5,35288,Unique
8,38524,Accessory
11,57832,Unique
6,52036,Unique
8,37978,Accessory
8,40557,Accessory
11,51167,Accessory
4,40842,Unique
8,22558,Core
11,65462,Unique
4,26008,Core
5,43741,Unique
5,25723,Core
7,36793,Accessory
6,30049,Accessory
7,23791,Core
7,48366,Unique
7,48417,Unique
7,43554,Unique
10,22186,Core
9,43293,Accessory
4,43495,Unique
7,37136,Accessory
8,53194,Unique
9,42549,Accessory
9,63122,Unique
8,40021,Accessory
8,39065,Accessory
8,38461,Accessory
11,21653,Core
6,25805,Core
8,23432,Core
8,23177,Core
6,31888,Accessory
4,20452,Accessory
6,30581,Accessory
10,21499,Core
10,54473,Unique
5,25478,Core
11,21826,Core
9,44871,Accessory
8,41450,Accessory
11,50067,Accessory
8,40489,Accessory
6,57992,Unique
10,48224,Accessory
5,37447,Unique
5,47208,Unique
8,51876,Unique
3,29843,Core
6,30874,Accessory
5,25105,Core
5,37954,Unique
6,46561,Unique
6,24820,Core
9,45350,Unique
6,31303,Accessory
4,31891,Unique
8,61409,Unique
9,21645,Core
10,20809,Core
7,51793,Unique
9,42157,Accessory
9,21703,Core
9,24194,Core
8,22993,Core
6,50040,Unique
10,58698,Unique
8,63057,Unique
8,50378,Unique
7,24593,Core
6,59970,Unique
8,40350,Accessory
9,45439,Accessory
6,31713,Accessory
9,63647,Unique
11,50184,Accessory
9,56023,Unique
9,43920,Accessory
8,53854,Unique
6,31974,Accessory
5,26535,Core
7,36856,Accessory
7,25022,Core
9,22702,Core
8,53496,Unique
7,35432,Accessory
8,53347,Unique
8,40079,Accessory
9,45710,Accessory
7,23163,Core
9,43649,Accessory
10,61976,Unique
10,21384,Core
7,36739,Accessory
6,23821,Core
6,49502,Unique
5,24676,Core
6,29860,Accessory
10,20819,Core
5,46022,Unique
7,22860,Core
4,17531,Accessory
6,41902,Unique
9,51434,Unique
7,25147,Core
7,49329,Unique
11,66630,Unique
5,25185,Accessory
7,51542,Unique
8,37902,Accessory
7,53162,Unique
12,54588,Accessory
6,23946,Core
7,57926,Unique
5,24493,Core
11,52452,Accessory
7,51035,Unique
7,50732,Unique
12,55071,Accessory
5,49944,Unique
6,23145,Core
9,21472,Core
9,54998,Unique
4,25281,Core
5,48000,Unique
5,25402,Accessory
9,55720,Unique
9,23629,Core
11,50662,Accessory
6,32249,Accessory
9,62461,Unique
6,23318,Core
10,49292,Accessory
6,56424,Unique
5,26709,Accessory
5,47817,Unique
5,25068,Accessory
8,39475,Accessory
9,21027,Core
6,23590,Core
9,55213,Unique
7,25137,Core
5,24551,Core
8,39953,Accessory
10,56706,Unique
4,25705,Core
9,43372,Unique
9,45493,Accessory
11,20209,Core
10,48702,Accessory
10,21442,Core
6,23763,Core
6,45904,Unique
6,51612,Unique
8,61721,Unique
4,27883,Core
7,34178,Accessory
6,49367,Unique
4,18067,Accessory
8,50690,Unique
4,25508,Core
5,46798,Unique
4,19938,Accessory
5,25321,Accessory
11,20471,Core
4,32217,Unique
7,23465,Core
8,52770,Unique
5,25559,Accessory
9,53816,Unique
7,47454,Unique
7,52877,Unique
8,22548,Core
8,61484,Unique
10,21072,Core
9,64685,Unique
5,23874,Core
8,40183,Accessory
10,21506,Core
5,25417,Core
6,24202,Core
7,36396,Accessory
8,60548,Unique
5,48102,Unique
8,23690,Core
5,25582,Accessory
4,26198,Core
5,25830,Accessory
6,48585,Unique
5,24991,Accessory
8,40413,Accessory
8,23001,Core
9,62335,Unique
4,41898,Unique
7,35035,Accessory
3,26184,Core
7,60158,Unique
9,23565,Core
5,48981,Unique
4,45780,Unique
6,30937,Accessory
4,20123,Accessory
6,23135,Core
5,25838,Core
5,42238,Unique
8,52207,Unique
7,22293,Core
9,56929,Unique
6,25608,Core
8,53728,Unique
5,46631,Unique
8,62019,Unique
10,63828,Unique
10,46006,Accessory
6,59361,Unique
7,22300,Core
9,44028,Accessory
10,53821,Unique
7,49557,Unique
11,49513,Accessory
8,59941,Unique
8,38407,Accessory
10,47367,Accessory
8,23422,Core
5,24245,Core
9,43189,Accessory
10,47845,Accessory
6,57011,Unique
7,34196,Accessory
6,40195,Unique
6,51807,Unique
10,54347,Unique
6,29427,Accessory
8,61061,Unique
5,33826,Unique
11,55371,Unique
11,58916,Unique
9,44051,Accessory
10,22801,Core
7,34314,Accessory
9,45358,Accessory
7,53264,Unique
5,27268,Accessory
9,63043,Unique
5,25047,Core
8,22918,Core
5,24459,Accessory
6,51840,Unique
7,21799,Core
7,22673,Core
7,34575,Accessory
6,37205,Unique
8,39768,Accessory
9,64820,Unique
6,49139,Unique
10,21581,Core
8,42911,Unique
10,56934,Unique
8,24037,Core
6,32646,Accessory
8,22127,Core
7,42112,Unique
5,48269,Unique
7,42870,Unique
11,51023,Accessory
6,22764,Core
10,22196,Core
8,50541,Unique
9,23945,Core
7,35414,Accessory
11,21351,Core
10,65123,Unique
8,50206,Unique
9,21893,Core
11,51005,Accessory
9,22827,Core
7,24345,Core
12,54669,Accessory
11,51911,Accessory
6,30067,Accessory
10,21126,Core
5,25353,Core
6,57764,Unique
9,52388,Unique
8,23245,Core
11,21649,Core
8,38443,Accessory
10,53691,Unique
5,26628,Accessory
8,50964,Unique
6,37763,Unique
8,60446,Unique
8,39394,Accessory
8,49873,Unique
5,25363,Core
11,66927,Unique
9,22393,Core
9,57800,Unique
11,66960,Unique
4,27635,Core
12,67388,Unique
8,22630,Core
11,57911,Unique
8,53050,Unique
6,37991,Unique
7,34413,Accessory
8,22620,Core
9,46229,Unique
10,62177,Unique
6,30955,Accessory
8,52077,Unique
7,50425,Unique
8,22063,Core
4,18135,Accessory
8,23235,Core
10,21951,Core
12,52740,Accessory
9,54826,Unique
10,48206,Accessory
8,41738,Accessory
8,40552,Unique
10,22244,Core
6,47668,Unique
10,65272,Unique
5,46928,Unique
9,43667,Accessory
7,39192,Unique
6,29450,Accessory
6,57885,Unique
4,25963,Core
4,27869,Core
9,44150,Accessory
5,37647,Unique
11,50594,Accessory
8,40899,Accessory
7,23044,Core
9,54705,Unique
8,50736,Unique
8,41329,Unique
8,21746,Core
5,36837,Unique
9,43406,Accessory
6,57662,Unique
11,51433,Accessory
9,42990,Unique
7,42972,Unique
7,22351,Core
9,42567,Accessory
6,36953,Unique
11,65615,Unique
3,29290,Core
7,36775,Accessory
11,59396,Unique
7,51839,Unique
