x,y,Category
6,66750,Dispensable
6,73655,Dispensable
10,134012,Total
6,75214,Dispensable
8,115073,Total
7,112471,Total
8,122855,Total
9,119810,Total
10,106167,Dispensable
9,107721,Dispensable
6,24748,Core
7,23533,Core
7,23217,Core
8,22002,Core
8,105214,Total
10,102001,Dispensable
11,20837,Core
5,25665,Core
6,24450,Core
7,118753,Total
7,110470,Total
9,129390,Total
5,69205,Dispensable
5,74783,Dispensable
6,22889,Core
9,102356,Dispensable
10,109973,Dispensable
8,91045,Dispensable
10,94795,Dispensable
10,112701,Dispensable
5,67988,Dispensable
8,114718,Total
10,133960,Total
11,129407,Total
2,33807,Core
9,100797,Dispensable
5,70970,Dispensable
7,99874,Total
5,26596,Core
10,22071,Core
9,87178,Dispensable
7,24780,Core
7,108336,Total
8,22375,Core
10,125823,Total
7,83488,Dispensable
6,82362,Dispensable
7,85058,Dispensable
11,108157,Dispensable
6,104436,Total
5,83247,Dispensable
5,72639,Dispensable
10,123543,Total
5,72871,Dispensable
5,61910,Dispensable
4,25949,Core
6,101732,Total
10,132941,Total
5,60049,Dispensable
5,88848,Total
8,118000,Total
7,84819,Dispensable
8,94520,Dispensable
9,130029,Total
6,25622,Core
8,21760,Core
8,123874,Total
8,112090,Total
6,77799,Dispensable
8,89604,Dispensable
9,95304,Dispensable
8,123837,Total
9,108291,Dispensable
8,124192,Total
7,22846,Core
10,105939,Dispensable
7,78153,Dispensable
8,91067,Dispensable
8,102190,Dispensable
7,22232,Core
9,23317,Core
8,104567,Total
9,97878,Dispensable
10,125228,Total
9,21088,Core
8,80437,Dispensable
8,80426,Dispensable
5,24418,Core
7,97637,Dispensable
6,105418,Total
11,116956,Dispensable
11,118515,Dispensable
8,21688,Core
9,100775,Dispensable
10,22369,Core
9,107710,Dispensable
9,95602,Dispensable
9,23504,Core
4,24964,Core
9,129353,Total
7,100388,Total
7,101072,Total
7,76009,Dispensable
7,100717,Total
9,21160,Core
6,68342,Dispensable
7,83499,Dispensable
4,52680,Dispensable
10,134118,Total
4,82706,Total
8,114984,Total
5,61943,Dispensable
6,94206,Total
4,90614,Total
5,62193,Dispensable
10,122208,Total
6,77126,Dispensable
10,21754,Core
9,111583,Total
5,86233,Total
6,94435,Total
9,24004,Core
7,85698,Dispensable
7,74362,Dispensable
11,119256,Total
7,110433,Total
10,21011,Core
9,88421,Dispensable
10,123928,Total
9,129403,Total
8,87758,Dispensable
7,118716,Total
7,88533,Dispensable
10,134347,Total
11,97061,Dispensable
8,91012,Dispensable
5,25295,Core
5,95315,Total
5,63877,Dispensable
8,22803,Core
10,133923,Total
11,20467,Core
6,24005,Core
8,124750,Total
10,123649,Total
9,97856,Dispensable
3,40758,Dispensable
5,87829,Total
4,52768,Dispensable
5,25180,Core
6,77424,Dispensable
10,114315,Dispensable
6,110535,Total
9,111211,Total
4,52040,Dispensable
7,108001,Total
5,86462,Total
10,131643,Total
9,108037,Dispensable
7,74351,Dispensable
8,89659,Dispensable
3,71750,Total
7,88875,Dispensable
5,58884,Dispensable
5,24921,Core
9,108059,Dispensable
3,29785,Core
10,22872,Core
5,100958,Total
4,92057,Total
8,115737,Total
11,108113,Dispensable
5,81633,Dispensable
9,21214,Core
6,103032,Total
8,102598,Dispensable
7,23720,Core
8,105828,Total
12,21610,Core
9,117915,Total
5,85480,Total
5,74485,Dispensable
6,22961,Core
8,23062,Core
4,27510,Core
6,114624,Total
6,23576,Core
7,87279,Dispensable
10,100111,Dispensable
13,146565,Total
9,107743,Dispensable
6,23332,Core
7,25395,Core
8,24180,Core
5,72584,Dispensable
8,93244,Dispensable
4,27808,Core
11,111514,Dispensable
4,52360,Dispensable
9,20958,Core
12,141925,Total
8,103863,Dispensable
7,88555,Dispensable
9,130295,Total
4,87727,Total
7,109969,Total
6,110814,Total
7,22788,Core
9,23450,Core
5,98478,Total
8,21573,Core
5,73904,Dispensable
12,122531,Dispensable
7,84731,Dispensable
10,132997,Total
7,108230,Total
7,22602,Core
9,108783,Total
6,111238,Total
8,22188,Core
6,79016,Dispensable
13,139168,Total
4,79856,Total
6,25065,Core
9,22332,Core
9,123071,Total
7,93791,Dispensable
6,105492,Total
8,101631,Dispensable
10,21197,Core
6,80836,Dispensable
10,134905,Total
9,21458,Core
11,21341,Core
6,70070,Dispensable
8,101962,Dispensable
9,131171,Total
5,81953,Dispensable
7,24277,Core
7,112893,Total
7,85047,Dispensable
8,21390,Core
4,92615,Total
6,22458,Core
8,79544,Dispensable
6,95417,Total
