x,y,Category,Metric
4,-3856.59,Core,Average
4,15556.02,Accessory,Average
5,-2017.02,Core,Average
5,11920.16,Accessory,Average
6,-1357.40,Core,Average
6,10036.93,Accessory,Average
7,-1025.60,Core,Average
7,8813.86,Accessory,Average
8,-849.40,Core,Average
8,8045.25,Accessory,Average
9,-720.89,Core,Average
9,7359.63,Accessory,Average
10,-631.26,Core,Average
10,6839.01,Accessory,Average
11,-569.18,Core,Average
11,6499.84,Accessory,Average
12,-518.30,Core,Average
12,6092.75,Accessory,Average
13,-477.00,Core,Average
13,5799.80,Accessory,Average
14,-440.01,Core,Average
14,5560.16,Accessory,Average
15,-405.30,Core,Average
15,5220.26,Accessory,Average
16,-390.49,Core,Average
16,5122.97,Accessory,Average
