x,y,Category,Metric
4,-3743.00,Core,Median
4,11591.00,Accessory,Median
4,2717.50,Unique,Median
5,-1848.00,Core,Median
5,7639.00,Accessory,Median
5,3058.00,Unique,Median
6,-1168.00,Core,Median
6,6167.00,Accessory,Median
6,2670.00,Unique,Median
7,-851.00,Core,Median
7,5328.00,Accessory,Median
7,2314.00,Unique,Median
8,-665.50,Core,Median
8,4756.00,Accessory,Median
8,2040.00,Unique,Median
9,-546.00,Core,Median
9,4327.00,Accessory,Median
9,1832.00,Unique,Median
10,-461.00,Core,Median
10,3979.00,Accessory,Median
10,1670.50,Unique,Median
11,-405.00,Core,Median
11,3711.00,Accessory,Median
11,1549.00,Unique,Median
12,-361.00,Core,Median
12,3472.00,Accessory,Median
12,1425.00,Unique,Median
13,-326.00,Core,Median
13,3265.00,Accessory,Median
13,1348.00,Unique,Median
14,-297.00,Core,Median
14,3087.00,Accessory,Median
14,1280.50,Unique,Median
15,-275.00,Core,Median
15,2927.00,Accessory,Median
15,1217.00,Unique,Median
16,-257.00,Core,Median
16,2792.00,Accessory,Median
16,1182.00,Unique,Median
