x,y,Category,Metric
4,-3743.00,Core,Median
4,14331.00,Accessory,Median
5,-1848.00,Core,Median
5,10720.00,Accessory,Median
6,-1168.00,Core,Median
6,8821.00,Accessory,Median
7,-851.00,Core,Median
7,7629.00,Accessory,Median
8,-665.50,Core,Median
8,6790.50,Accessory,Median
9,-546.00,Core,Median
9,6173.00,Accessory,Median
10,-461.00,Core,Median
10,5661.00,Accessory,Median
11,-405.00,Core,Median
11,5274.00,Accessory,Median
12,-361.00,Core,Median
12,4925.00,Accessory,Median
13,-326.00,Core,Median
13,4639.00,Accessory,Median
14,-297.00,Core,Median
14,4388.00,Accessory,Median
15,-275.00,Core,Median
15,4157.00,Accessory,Median
16,-257.00,Core,Median
16,3974.00,Accessory,Median
