Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
291954,core & single copy orthologous,1,1,1,1
291956,core & single copy orthologous,1,1,1,1
291957,core & single copy orthologous,1,1,1,1
291958,core & single copy orthologous,1,1,1,1
291959,core & single copy orthologous,1,1,1,1
366520,core,9,10,10,10
435927,core,1,1,1,2
435929,core & single copy orthologous,1,1,1,1
435930,core & single copy orthologous,1,1,1,1
435931,core,3,6,3,3
435939,core & single copy orthologous,1,1,1,1
435940,core & single copy orthologous,1,1,1,1
498476,core & single copy orthologous,1,1,1,1
498477,core & single copy orthologous,1,1,1,1
498478,core,2,2,2,2
498479,core & single copy orthologous,1,1,1,1
498480,core & single copy orthologous,1,1,1,1
551929,core,1,1,1,2
551935,core & single copy orthologous,1,1,1,1
551936,core & single copy orthologous,1,1,1,1
551937,core & single copy orthologous,1,1,1,1
551938,core,2,1,2,1
551940,core & single copy orthologous,1,1,1,1
595406,core & single copy orthologous,1,1,1,1
595408,core,2,1,3,1
595410,core & single copy orthologous,1,1,1,1
595411,core & single copy orthologous,1,1,1,1
595418,core & single copy orthologous,1,1,1,1
595419,core & single copy orthologous,1,1,1,1
595420,core & single copy orthologous,1,1,1,1
628270,core & single copy orthologous,1,1,1,1
628272,core & single copy orthologous,1,1,1,1
650460,core,1,2,1,2
650466,core & single copy orthologous,1,1,1,1
650467,core & single copy orthologous,1,1,1,1
650468,core & single copy orthologous,1,1,1,1
650469,core & single copy orthologous,1,1,1,1
650470,core & single copy orthologous,1,1,1,1
650475,core & single copy orthologous,1,1,1,1
650476,core & single copy orthologous,1,1,1,1
650477,core & single copy orthologous,1,1,1,1
650478,core & single copy orthologous,1,1,1,1
650479,core,5,5,5,5
650480,core,2,1,1,1
650482,core & single copy orthologous,1,1,1,1
650483,core & single copy orthologous,1,1,1,1
650484,core & single copy orthologous,1,1,1,1
650485,core & single copy orthologous,1,1,1,1
650486,core & single copy orthologous,1,1,1,1
650487,core & single copy orthologous,1,1,1,1
650488,core & single copy orthologous,1,1,1,1
650489,core & single copy orthologous,1,1,1,1
650492,core & single copy orthologous,1,1,1,1
650493,core & single copy orthologous,1,1,1,1
650495,core,2,2,2,2
650496,core & single copy orthologous,1,1,1,1
650498,core & single copy orthologous,1,1,1,1
650502,core & single copy orthologous,1,1,1,1
650507,core,4,4,4,4
650509,core & single copy orthologous,1,1,1,1
650511,core & single copy orthologous,1,1,1,1
650516,core & single copy orthologous,1,1,1,1
650523,core & single copy orthologous,1,1,1,1
650524,core & single copy orthologous,1,1,1,1
650526,core & single copy orthologous,1,1,1,1
650527,core & single copy orthologous,1,1,1,1
650528,core & single copy orthologous,1,1,1,1
650529,core & single copy orthologous,1,1,1,1
650530,core & single copy orthologous,1,1,1,1
650531,core & single copy orthologous,1,1,1,1
