homology_group,1,2,3,4
291954,1,1,1,1
291955,0,1,1,1
291956,1,1,1,1
291957,1,1,1,1
291958,1,1,1,1
291959,1,1,1,1
291960,0,1,0,1
366520,1,1,1,1
435927,1,1,1,1
435928,1,0,1,1
435929,1,1,1,1
435930,1,1,1,1
435931,1,1,1,1
435932,0,0,0,1
435933,1,0,0,0
435934,0,0,1,0
435935,0,0,1,0
435936,1,0,0,0
435937,0,0,0,1
435938,1,1,1,0
435939,1,1,1,1
435940,1,1,1,1
498476,1,1,1,1
498477,1,1,1,1
498478,1,1,1,1
498479,1,1,1,1
498480,1,1,1,1
551929,1,1,1,1
551930,0,1,0,1
551931,1,0,1,0
551932,0,1,0,0
551933,0,1,0,0
551934,0,0,0,1
551935,1,1,1,1
551936,1,1,1,1
551937,1,1,1,1
551938,1,1,1,1
551939,1,0,0,0
551940,1,1,1,1
595406,1,1,1,1
595407,1,0,1,0
595408,1,1,1,1
595409,0,1,0,1
595410,1,1,1,1
595411,1,1,1,1
595412,1,0,1,1
595413,1,1,1,0
595414,1,0,1,0
595415,0,0,1,1
595416,0,1,0,1
595417,0,0,1,0
595418,1,1,1,1
595419,1,1,1,1
595420,1,1,1,1
628269,1,1,0,1
628270,1,1,1,1
628271,1,0,1,1
628272,1,1,1,1
628273,0,1,1,1
628274,0,1,1,0
628275,0,1,1,0
628276,0,1,0,1
628277,0,0,0,1
628278,1,0,0,0
628279,0,1,0,0
628280,1,0,0,0
650460,1,1,1,1
650461,1,0,0,0
650462,1,0,0,0
650463,0,1,0,0
650464,0,0,1,0
650465,0,0,1,0
650466,1,1,1,1
650467,1,1,1,1
650468,1,1,1,1
650469,1,1,1,1
650470,1,1,1,1
650471,1,1,0,1
650472,1,1,0,0
650473,0,0,1,1
650474,1,0,0,0
650475,1,1,1,1
650476,1,1,1,1
650477,1,1,1,1
650478,1,1,1,1
650479,1,1,1,1
650480,1,1,1,1
650481,1,1,0,1
650482,1,1,1,1
650483,1,1,1,1
650484,1,1,1,1
