Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
TKI-0143_R1_001 - illumina_universal_adapter	(1, 1.980822444659504e-05)	(2, 3.837843486527789e-05)	(3, 6.066268736769731e-05)	(4, 0.00010523119237253615)	(5, 0.00013370551501451652)	(6, 0.00019436820238221382)	(7, 0.00021665245488463326)	(8, 0.0002599829458615599)	(9, 0.000273601100168594)	(10, 0.0003107415210059597)	(12, 0.0003813083205969545)	(14, 0.00047230235164850043)	(16, 0.0005843426211745537)	(18, 0.0007434274237612701)	(20, 0.0009928872503855764)	(22, 0.0014169070549455015)	(24, 0.0020730544897389624)	(26, 0.0031773630026366356)	(28, 0.005270844723836149)	(30, 0.008958269505972607)	(32, 0.014369009814962834)	(34, 0.02117932498250779)	(36, 0.028983765414466234)	(38, 0.03771547835333092)	(40, 0.04719123772297082)	(42, 0.056666997092610714)	(44, 0.06636683700130272)	(46, 0.07597506387192923)	(48, 0.08537778041392231)	(50, 0.09472850036674309)	(52, 0.10410521861415001)	(54, 0.11312724584256009)	(56, 0.12186762487962016)	(58, 0.13044272904395393)	(60, 0.13882717904798925)	(62, 0.14707173346687047)	(64, 0.15513863287274632)	(66, 0.16300621202012827)	(68, 0.1707295625332585)	(70, 0.17822945151435052)	(72, 0.18573800659363796)	(74, 0.19319023203465538)	(76, 0.2007483076750593)	(78, 0.20812996631648573)	(80, 0.21546953248096315)	(82, 0.22283262091197092)	(84, 0.23017713913255997)	(86, 0.23751175324092574)	(88, 0.24470647176413743)	(90, 0.25199713637451227)	(92, 0.2592556126201615)	(94, 0.2667226942295139)	(96, 0.2743451465993692)	(98, 0.2816809987217629)	(100, 0.2890013756688077)	(102, 0.2964678382711461)	(104, 0.30409648071114104)	(106, 0.31192320539560187)	(108, 0.3198279249638212)	(110, 0.3279022524538645)	(112, 0.335748166355758)	(114, 0.343996434816723)	(116, 0.3521270919450363)	(118, 0.3604576883388574)	(120, 0.3691442137657033)	(122, 0.3778666415993586)	(124, 0.3869060010241595)	(126, 0.39606482880265387)	(128, 0.40547992548492606)	(130, 0.41503491775235235)	(132, 0.4249947406069059)	(134, 0.4353024454033028)	(136, 0.4458484679000728)	(138, 0.45657771647297385)
TKI-0143_R1_001 - polya	(1, 0.004966912279983706)	(2, 0.01890942626233079)	(3, 0.027345253848524452)	(4, 0.036098013025863636)	(5, 0.04418472065618606)	(6, 0.05118816601208532)	(7, 0.0568632223160348)	(8, 0.06373667619900328)	(9, 0.07032291082749613)	(10, 0.08052167038943675)	(12, 0.0923991769732263)	(14, 0.10285853848804244)	(16, 0.1127465565289771)	(18, 0.1225565796861533)	(20, 0.1318967765197368)	(22, 0.14093489793050976)	(24, 0.14964927867298367)	(26, 0.15862735640340286)	(28, 0.16806473733817748)	(30, 0.17717342554854143)	(32, 0.18614964625791874)	(34, 0.1950973926446541)	(36, 0.20459048421068476)	(38, 0.21399505777371974)	(40, 0.22302946514240896)	(42, 0.23233437857619696)	(44, 0.2419463194889072)	(46, 0.25118995122831356)	(48, 0.2603252567402776)	(50, 0.26986724986041083)	(52, 0.27962589543542865)	(54, 0.2889951855986681)	(56, 0.2987433080544487)	(58, 0.30864123020760664)	(60, 0.31821107864336784)	(62, 0.3273018156503271)	(64, 0.3366017770280035)	(66, 0.34593145074234977)	(68, 0.35511813383647217)	(70, 0.3642292980748919)	(72, 0.3737700531809972)	(74, 0.3831257251899296)	(76, 0.39257424825095544)	(78, 0.40201472422079987)	(80, 0.41123111965159215)	(82, 0.42087277290097225)	(84, 0.4302346349800443)	(86, 0.4397568198757309)	(88, 0.44936504674635736)	(90, 0.4591422625317939)	(92, 0.46894300058376076)	(94, 0.4781389687830925)	(96, 0.4874302640625735)	(98, 0.4967667468540733)	(100, 0.506483299952142)	(102, 0.5165341168377473)	(104, 0.5262450988726903)	(106, 0.5357604746912236)	(108, 0.5452343770398216)	(110, 0.5544260121900556)	(112, 0.5641048058602731)	(114, 0.5740751518340639)	(116, 0.5835713384351644)	(118, 0.592951770724655)	(120, 0.6023340600351876)	(122, 0.6120871345470797)	(124, 0.6217529290700042)	(126, 0.6314731962101567)	(128, 0.6413630712721333)	(130, 0.6510777673491603)	(132, 0.6610363521896859)	(134, 0.6713836734349761)	(136, 0.6816820931261636)	(138, 0.691544112872512)
TKI-0143_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000391212432820252)	(4, 0.0005360600740859782)	(5, 0.0006796697013237923)	(6, 0.0008455635810640258)	(7, 0.0010052673906646983)	(8, 0.0012120157333260341)	(9, 0.001426192160154843)	(10, 0.001864449126035758)	(12, 0.0024196984175543753)	(14, 0.0028282430467653982)	(16, 0.0032188364725716937)	(18, 0.0036657595366479945)	(20, 0.004118872670863857)	(22, 0.004591175022512356)	(24, 0.005122283040486686)	(26, 0.0055976804272049666)	(28, 0.006161595816918969)	(30, 0.0066363741966232945)	(32, 0.007083916267713551)	(34, 0.007559313654431832)	(36, 0.008091040679420118)	(38, 0.008591817353710597)	(40, 0.009113640266475587)	(42, 0.009669508565008159)	(44, 0.010220424807429084)	(46, 0.010748437790333633)	(48, 0.011927027144906038)	(50, 0.012520035864275978)	(52, 0.013090141324129542)	(54, 0.013694911176764645)	(56, 0.014252636496339087)	(58, 0.01486731046119749)	(60, 0.015359421037292584)	(62, 0.015935097560271755)	(64, 0.01655534258825576)	(66, 0.017235631296593508)	(68, 0.018416696679221738)	(70, 0.019386680670090937)	(72, 0.021105663147847016)	(74, 0.022996110568468932)	(76, 0.02403232830983143)	(78, 0.025087735268626572)	(80, 0.026355461633208656)	(82, 0.027655376362516457)	(84, 0.02906361731926657)	(86, 0.030637752155756922)	(88, 0.03227812074274057)	(90, 0.03403610066237588)	(92, 0.03585907631847658)	(94, 0.037935225843285326)	(96, 0.04016984116366683)	(98, 0.04290461415132486)	(100, 0.04640633682927449)	(102, 0.05087247243496772)	(104, 0.0567418969412994)	(106, 0.06390628412082724)	(108, 0.07239720333126301)	(110, 0.0816631193231718)	(112, 0.09167431975988372)	(114, 0.10216215559734182)	(116, 0.1124884306041574)	(118, 0.12275280490957738)	(120, 0.13283209611782448)	(122, 0.14278944294432222)	(124, 0.15290587457340668)	(126, 0.16286879246303002)	(128, 0.17289237304002109)	(130, 0.18252474118419187)	(132, 0.19193983786646407)	(134, 0.20105224011891173)	(136, 0.21002846082828908)	(138, 0.21880474227215857)
TKI-0143_R2_001 - illumina_universal_adapter	(1, 1.485616833494628e-05)	(2, 3.218836472571694e-05)	(3, 4.828254708857541e-05)	(4, 8.418495389802892e-05)	(5, 0.00010770722042836053)	(6, 0.00014732366932155062)	(7, 0.00016713189376814564)	(8, 0.0002104623847450723)	(9, 0.00022655656710793076)	(10, 0.00025812592481969164)	(12, 0.00032993073843859866)	(14, 0.00042711483962970553)	(16, 0.0005490592213790563)	(18, 0.0007168101221611579)	(20, 0.0009724600189250253)	(22, 0.0014311442162664918)	(24, 0.0021863327732929276)	(26, 0.0034410599905819322)	(28, 0.00570972069673102)	(30, 0.009658985445770906)	(32, 0.015322899623469177)	(34, 0.02240681589118273)	(36, 0.030542425075607685)	(38, 0.039652970307013494)	(40, 0.04957812876878552)	(42, 0.0595039062375715)	(44, 0.0696859526101353)	(46, 0.07983271558290361)	(48, 0.08985505814586675)	(50, 0.09982726114069944)	(52, 0.10978522697421114)	(54, 0.11941511909032612)	(56, 0.128806693506068)	(58, 0.13806580042082325)	(60, 0.14709401771937292)	(62, 0.15603000297284308)	(64, 0.1647821431431683)	(66, 0.17341790999486978)	(68, 0.18192430438065443)	(70, 0.19021714134662426)	(72, 0.19848459902502186)	(74, 0.20668210891084243)	(76, 0.21502508544494267)	(78, 0.22317864583277236)	(80, 0.2313934879149837)	(82, 0.2395879027657345)	(84, 0.24765604018563822)	(86, 0.25570932143720704)	(88, 0.263660466531473)	(90, 0.2719019259152845)	(92, 0.28003877311373737)	(94, 0.2883569893672794)	(96, 0.2968250053181988)	(98, 0.30496247152366557)	(100, 0.3131017947501743)	(102, 0.3213451111550276)	(104, 0.3297741296640677)	(106, 0.33843713282438326)	(108, 0.34716760774922006)	(110, 0.35608687981331344)	(112, 0.36477216722613137)	(114, 0.37383566792447653)	(116, 0.38283788692844)	(118, 0.3920233320085345)	(120, 0.4015096144974117)	(122, 0.4110893670453962)	(124, 0.420904961265698)	(126, 0.43089202042886565)	(128, 0.441137205516853)	(130, 0.45144181527818006)	(132, 0.4621673498089973)	(134, 0.47325005138686727)	(136, 0.48459830697372436)	(138, 0.4962108785555407)
TKI-0143_R2_001 - polya	(1, 0.0060476985263510485)	(2, 0.020957101464497554)	(3, 0.02986461239532576)	(4, 0.03935770396135643)	(5, 0.047964377483401974)	(6, 0.05516219104168345)	(7, 0.061357213237356045)	(8, 0.06822447705018497)	(9, 0.07511897717162795)	(10, 0.08499213904422767)	(12, 0.09605627041167891)	(14, 0.10611142034638171)	(16, 0.11553270709879349)	(18, 0.12461601602158523)	(20, 0.13315088473001185)	(22, 0.14184050519192754)	(24, 0.15015872144546952)	(26, 0.15893809792440883)	(28, 0.16787655920593483)	(30, 0.17667264887425094)	(32, 0.18523784892636141)	(34, 0.1940729360365568)	(36, 0.20329428352346074)	(38, 0.21210832439518157)	(40, 0.22068280955250139)	(42, 0.22945971000338483)	(44, 0.23839136220775736)	(46, 0.24720602208649212)	(48, 0.2559439250954964)	(50, 0.26490095658744106)	(52, 0.27390317559140454)	(54, 0.2825550366254689)	(56, 0.29155787463644633)	(58, 0.3005241912336004)	(60, 0.3096774479489692)	(62, 0.31823398190288427)	(64, 0.32685798762132057)	(66, 0.33554141801309667)	(68, 0.34388810858928065)	(70, 0.35266067599106643)	(72, 0.3612209239870653)	(74, 0.3699761591924603)	(76, 0.3790638011643497)	(78, 0.387999167410806)	(80, 0.39663307724146557)	(82, 0.40563467723841506)	(84, 0.41475141253996045)	(86, 0.42383410245573827)	(88, 0.4324537751250769)	(90, 0.4416621234646877)	(92, 0.4507633835908842)	(94, 0.4599092122220855)	(96, 0.4688080570547183)	(98, 0.4775051056008015)	(100, 0.48652960885726737)	(102, 0.4958988990205068)	(104, 0.505103533318034)	(106, 0.5140667548801182)	(108, 0.5230305954492165)	(110, 0.531622412802927)	(112, 0.5405806823088997)	(114, 0.549979684808809)	(116, 0.558890290774707)	(118, 0.5678299900702608)	(120, 0.5767139787345588)	(122, 0.5861365035009984)	(124, 0.5953949914087397)	(126, 0.6046219099587693)	(128, 0.6138246872352546)	(130, 0.622869617723181)	(132, 0.6318631706289491)	(134, 0.6410473776950156)	(136, 0.6506946020075215)	(138, 0.6599289486417185)
TKI-0143_R2_001 - polyg	(1, 0.24652325735009856)	(2, 0.24881605932979195)	(3, 0.2516733957062133)	(4, 0.2546211071066722)	(5, 0.25729769343501835)	(6, 0.2604100607011896)	(7, 0.2634865255605514)	(8, 0.2661519697626463)	(9, 0.2688607444557182)	(10, 0.27274439446127874)	(12, 0.277591219380555)	(14, 0.2804058442730133)	(16, 0.28211430363153217)	(18, 0.2835392577776591)	(20, 0.28467204061319873)	(22, 0.28573611367018925)	(24, 0.28665410107188616)	(26, 0.28742290778321966)	(28, 0.288206570662888)	(30, 0.2888447668942768)	(32, 0.2894223004382978)	(34, 0.2900344983751004)	(36, 0.29062874510849823)	(38, 0.291139425895012)	(40, 0.2916389645552746)	(42, 0.29211126690692313)	(44, 0.2925953303918367)	(46, 0.29303730139980144)	(48, 0.29348793850596144)	(50, 0.29395776482955416)	(52, 0.2944591605108586)	(54, 0.2949407479677164)	(56, 0.2954297635087417)	(58, 0.2958797816078878)	(60, 0.29637251119099683)	(62, 0.29684295652160353)	(64, 0.2972973076698473)	(66, 0.29775722988121667)	(68, 0.2982270562048093)	(70, 0.2987717823770907)	(72, 0.2992688450092974)	(74, 0.29971267303830396)	(76, 0.30019426049516174)	(78, 0.30068637107125684)	(80, 0.30123543029263594)	(82, 0.3017857275280429)	(84, 0.30228774221636134)	(86, 0.30284608654294964)	(88, 0.30338709867314734)	(90, 0.30395287108390323)	(92, 0.30462201766598973)	(94, 0.3053530649494719)	(96, 0.30617882030608934)	(98, 0.30710856884105137)	(100, 0.30813673949123244)	(102, 0.30937846756122833)	(104, 0.311033073309533)	(106, 0.3136799473012093)	(108, 0.3179232403818783)	(110, 0.3238855159403034)	(112, 0.3311885606909574)	(114, 0.3396701947961838)	(116, 0.3492945158491732)	(118, 0.35942766066763443)	(120, 0.36995573196099973)	(122, 0.3806713623795937)	(124, 0.3913015698302617)	(126, 0.4020141052137859)	(128, 0.41260098217347696)	(130, 0.42328256720630336)	(132, 0.4336032711499933)	(134, 0.44386702644839937)	(136, 0.45397850602137213)	(138, 0.463906759518214)
TKI-0155_R1_001 - illumina_universal_adapter	(1, 1.8147830924063595e-05)	(2, 3.3875951058252046e-05)	(3, 6.049276974687865e-05)	(4, 8.589973304056768e-05)	(5, 0.00011251655172919429)	(6, 0.0001657501891064475)	(7, 0.00019599657397988683)	(8, 0.0002697977530710788)	(9, 0.00028915543939007996)	(10, 0.00033815458288505166)	(12, 0.0004349430144800575)	(14, 0.0005232624583105004)	(16, 0.0006569514794511021)	(18, 0.000878355016724678)	(20, 0.0012056209010552917)	(22, 0.0016520575417872559)	(24, 0.0024172910790852707)	(26, 0.0036936885207444104)	(28, 0.005996043337310611)	(30, 0.009889357998219722)	(32, 0.015823093782691047)	(34, 0.02309069514008105)	(36, 0.03165284177005426)	(38, 0.0409971599128546)	(40, 0.05105468781097064)	(42, 0.06130337286148683)	(44, 0.07149942920232322)	(46, 0.08170092989243684)	(48, 0.09190727000413021)	(50, 0.10213115301905017)	(52, 0.11219049570025862)	(54, 0.12197641106221119)	(56, 0.13147861533405086)	(58, 0.1407382435992056)	(60, 0.1498641828432197)	(62, 0.15873665738199438)	(64, 0.16746999855035127)	(66, 0.1760587619990131)	(68, 0.1845277497635761)	(70, 0.1929374546137872)	(72, 0.20114208897455632)	(74, 0.20925114475912543)	(76, 0.21738258286850085)	(78, 0.22548377459300284)	(80, 0.2334288949715579)	(82, 0.2414091011565661)	(84, 0.2493106667409034)	(86, 0.2572999468413737)	(88, 0.26504483615206653)	(90, 0.2727957747397341)	(92, 0.28052372607489784)	(94, 0.2882480478438768)	(96, 0.29607036789984564)	(98, 0.30402819176004753)	(100, 0.31200113881268615)	(102, 0.3199220620833424)	(104, 0.32797667437513933)	(106, 0.3361976417837401)	(108, 0.34429217930357)	(110, 0.3524562835086087)	(112, 0.36078432311966147)	(114, 0.3692654094381739)	(116, 0.37785356795913827)	(118, 0.3865197621530761)	(120, 0.3954176436551445)	(122, 0.4042979822539863)	(124, 0.4134444890397143)	(126, 0.4230374324661743)	(128, 0.4326594124221128)	(130, 0.44240903212221727)	(132, 0.4523582779624864)	(134, 0.4626614065057748)	(136, 0.47323796236831905)	(138, 0.48400628031096093)
TKI-0155_R1_001 - polya	(1, 0.005195119065861939)	(2, 0.018991100134335085)	(3, 0.02743831050178922)	(4, 0.03603675279361055)	(5, 0.043622546119869134)	(6, 0.0503190957308486)	(7, 0.05631755877894909)	(8, 0.06271164454119416)	(9, 0.06918558075950511)	(10, 0.0789533482905336)	(12, 0.08979062799068692)	(14, 0.10013368176200824)	(16, 0.11002666932641277)	(18, 0.11953068838134487)	(20, 0.12865904733614886)	(22, 0.13752184303176407)	(24, 0.14631204740368298)	(26, 0.15556986088574531)	(28, 0.16462986301073532)	(30, 0.1738961454805622)	(32, 0.18282790293368884)	(34, 0.19186310302308263)	(36, 0.2009835979178195)	(38, 0.2099764530683905)	(40, 0.21905036853042228)	(42, 0.22786537493793746)	(44, 0.23727018585048465)	(46, 0.24634107667402913)	(48, 0.25528614253650006)	(50, 0.26473511317096254)	(52, 0.27398385273756276)	(54, 0.2832404563642302)	(56, 0.2925242817372836)	(58, 0.3018431929167903)	(60, 0.3109515892575778)	(62, 0.3200775285015919)	(64, 0.3288683378012083)	(66, 0.33786845208414895)	(68, 0.3467608892369401)	(70, 0.35602717170676695)	(72, 0.3649976445325316)	(74, 0.3741362872581926)	(76, 0.3832023386601573)	(78, 0.39250673157492466)	(80, 0.4016036342894603)	(82, 0.41102901274372144)	(84, 0.42031767753835464)	(86, 0.42966078582576006)	(88, 0.4388756494413021)	(90, 0.4484589140246026)	(92, 0.4575812237024319)	(94, 0.46710762508217035)	(96, 0.47649368323609603)	(98, 0.48521674063359593)	(100, 0.49457920660732035)	(102, 0.5043106784765008)	(104, 0.5140542488996305)	(106, 0.5232836307799118)	(108, 0.5325644315144779)	(110, 0.5416474208919717)	(112, 0.5512675860648177)	(114, 0.560887751237664)	(116, 0.5700929360100464)	(118, 0.5793465149982264)	(120, 0.5886799444424724)	(122, 0.5981972719067488)	(124, 0.6073056682475364)	(126, 0.6164999643213644)	(128, 0.6262241770581751)	(130, 0.6355926923088743)	(132, 0.6450495270034038)	(134, 0.6547628510416601)	(136, 0.6643691028774644)	(138, 0.6742633002972639)
TKI-0155_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00036658618466608463)	(4, 0.000504509699688968)	(5, 0.0007271230923574813)	(6, 0.0009327985094968688)	(7, 0.0011118571079476295)	(8, 0.0013610873193047697)	(9, 0.001606687964477097)	(10, 0.002025902858822966)	(12, 0.002533437196999278)	(14, 0.002968985139176804)	(16, 0.0034329646831353635)	(18, 0.003907832925648361)	(20, 0.004402058854480359)	(22, 0.0048684581092287935)	(24, 0.005338486930162041)	(26, 0.005801861546423131)	(28, 0.006275519933541192)	(30, 0.006719536863483281)	(32, 0.007187750901324121)	(34, 0.007661409288442181)	(36, 0.00823972016722234)	(38, 0.008774476251784749)	(40, 0.009352182202867439)	(42, 0.009945616274084319)	(44, 0.010490051201806228)	(46, 0.011051424105057262)	(48, 0.01756710033449356)	(50, 0.018138757008601562)	(52, 0.01875941282620454)	(54, 0.019338328632682165)	(56, 0.019934182414688924)	(58, 0.020511888365771613)	(60, 0.021178518688382216)	(62, 0.02182639625237129)	(64, 0.022517828610578113)	(66, 0.023302419834195127)	(68, 0.02448142391656179)	(70, 0.025709427142423427)	(72, 0.02712737766529026)	(74, 0.029038949189291625)	(76, 0.0315590779769466)	(78, 0.035033177743509836)	(80, 0.039977856742619694)	(82, 0.0458771116483353)	(84, 0.052507724140290674)	(86, 0.0597650417268237)	(88, 0.06743733971382032)	(90, 0.07545384156067668)	(92, 0.08356350227294324)	(94, 0.09165682993737813)	(96, 0.09987416777979413)	(98, 0.10831290915948369)	(100, 0.11683573548912143)	(102, 0.12549769518917697)	(104, 0.1343133065243896)	(106, 0.1431936451232314)	(108, 0.15252223514589755)	(110, 0.16194277417857897)	(112, 0.17137057234363)	(114, 0.18085886327842793)	(116, 0.19013179995292695)	(118, 0.19947672302342476)	(120, 0.20855063848545657)	(122, 0.21759914698419466)	(124, 0.22665672939839482)	(126, 0.23570705268022532)	(128, 0.24451479995537084)	(130, 0.25330802896577714)	(132, 0.2621333191441493)	(134, 0.2709059806128416)	(136, 0.27950805247084776)	(138, 0.28796554660915885)
TKI-0155_R2_001 - illumina_universal_adapter	(1, 1.6937975529126023e-05)	(2, 2.6616818688626607e-05)	(3, 5.081392658737807e-05)	(4, 7.501103448612953e-05)	(5, 9.194901001525555e-05)	(6, 0.00013671365962794575)	(7, 0.0001657501891064475)	(8, 0.00023955136819763946)	(9, 0.0002516499221470152)	(10, 0.0003042786318267996)	(12, 0.0004059064850015558)	(14, 0.000501485061201624)	(16, 0.0006363839377371634)	(18, 0.0008626268965904896)	(20, 0.0012304229366515117)	(22, 0.0017270685762733856)	(24, 0.0025830412681917183)	(26, 0.004036077597511744)	(28, 0.0065779837822755845)	(30, 0.010683628064996238)	(32, 0.016881717253261427)	(34, 0.024409437520563005)	(36, 0.03332970134743773)	(38, 0.04301882827779528)	(40, 0.05346109019150148)	(42, 0.06416407594281671)	(44, 0.0748779503926864)	(46, 0.0855815410716991)	(48, 0.09629178595538397)	(50, 0.10707159752427775)	(52, 0.11774494181841702)	(54, 0.12821684518929918)	(56, 0.13837660586828746)	(58, 0.14835428331033762)	(60, 0.15819524709275984)	(62, 0.16785775720442875)	(64, 0.17733757915146212)	(66, 0.18671819295611058)	(68, 0.19595604382415643)	(70, 0.2051642532350263)	(72, 0.2141256521453289)	(74, 0.22304712582759856)	(76, 0.23202062329185053)	(78, 0.2409227392878012)	(80, 0.24968209234714922)	(82, 0.25843721091261496)	(84, 0.2671173184435946)	(86, 0.27594139876657175)	(88, 0.2845029404688475)	(90, 0.29301064360604856)	(92, 0.30154314877884575)	(94, 0.31003391394051766)	(96, 0.31856883882410475)	(98, 0.3272543907043616)	(100, 0.3359151405490222)	(102, 0.3445601622735487)	(104, 0.3534271924630461)	(106, 0.3624853798049437)	(108, 0.37131974389877787)	(110, 0.38029868571230707)	(112, 0.3893181576815667)	(114, 0.3985414902848733)	(116, 0.4077914397068685)	(118, 0.4171430169820385)	(120, 0.42672144214375923)	(122, 0.43628837367922807)	(124, 0.4461335719555326)	(126, 0.4564530335466526)	(128, 0.4666539293090688)	(130, 0.47708046310264074)	(132, 0.48774654826441044)	(134, 0.498781639321636)	(136, 0.5100774542164707)	(138, 0.5215722903237725)
