Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT13.C08g39640.1	804591	5	45533866.0	45536556.0	AT2G25930.1	57.865	EARLY FLOWERING 3	BroT22.C08g39200.1	97.265	YES	YES	tree kale
BroT17.C08g42200.1	804591	12	44921231.0	44923936.0	AT2G25930.1	58.345	EARLY FLOWERING 3	BroT22.C08g39200.1	97.109	YES	YES	collard greens
BroT08.C08g39450.1	804591	11	44553971.0	44556680.0	AT2G25930.1	57.043	EARLY FLOWERING 3	BroT22.C08g39200.1	99.658	YES	YES	brussels sprouts
BroT22.C08g39200.1	804591	15	44619672.0	44622375.0	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000	YES	YES	cauliflower
BroT21.C08g41890.1	804591	13	47704983.0	47707686.0	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000	YES	YES	cauliflower
BolO_8g45670.1	804591	14	43576915.0	43580516.0	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454	YES	YES	wild cabbage
BroT10.C08g39290.1	804591	10	45211203.0	45213929.0	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454	YES	YES	wild cabbage
BroT19.C08g40660.1	804591	8	45788790.0	45791516.0	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454	YES	YES	chinese kale
BroT07.C08g40260.1	804591	4	43527935.0	43530661.0	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454	YES	YES	kohlrabi
bro8G04566.1	804591	2	44990193.0	44993457.0	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454	YES	YES	broccoli
BroT24.C08g38240.1	804591	7	42900867.0	42903609.0	AT2G25930.1	57.441	EARLY FLOWERING 3	BroT22.C08g39200.1	93.823	YES	YES	broccoli
BroT02.C08g40110.1	804591	3	43893331.0	43896054.0	AT2G25930.1	57.163	EARLY FLOWERING 3	BroT22.C08g39200.1	94.631	YES	YES	flat cabbage
BroT06.C08g38190.1	804591	6	43877902.0	43880635.0	AT2G25930.1	57.242	EARLY FLOWERING 3	BroT22.C08g39200.1	93.813	YES	YES	round cabbage
rna-XM_013749374.1	804591	1	33966154.0	33969334.0	AT2G25930.1	57.242	EARLY FLOWERING 3	BroT22.C08g39200.1	93.813	YES	YES	wild cabbage
BroT12.C08g39740.1	804591	9	44201401.0	44204141.0	AT2G25930.1	57.004	EARLY FLOWERING 3	BroT22.C08g39200.1	93.012	YES	YES	lacinato kale
BroT17.C04g48680.1	846437	12	59817150.0	59819845.0	AT2G25930.1	58.879	EARLY FLOWERING 3	BroT22.C08g39200.1	58.909	YES	YES	collard greens
BolO_4g49770.1	846437	14	49627857.0	49636534.0	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	wild cabbage
BroT10.C04g46400.1	846437	10	59473669.0	59476362.0	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	wild cabbage
BroT02.C04g45210.1	846437	3	54908731.0	54911424.0	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	flat cabbage
bro4G05338.1	846437	2	54060720.0	54063413.0	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	broccoli
BroT24.C04g44060.1	846438	7	52732608.0	52735396.0	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.587	YES	YES	broccoli
BroT19.C04g45990.1	846438	8	57244979.0	57247751.0	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	chinese kale
BroT07.C04g45770.1	846438	4	52884088.0	52886860.0	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	kohlrabi
rna-XM_013781351.1	846438	1	43345618.0	43348843.0	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748	YES	YES	wild cabbage
BroT13.C04g45650.1	846437	5	56556685.0	56559377.0	AT2G25930.1	62.372	EARLY FLOWERING 3	BroT22.C08g39200.1	59.247	YES	YES	tree kale
BroT08.C04g45600.1	846437	11	57520495.0	57523315.0	AT2G25930.1	60.256	EARLY FLOWERING 3	BroT22.C08g39200.1	57.075	YES	YES	brussels sprouts
BroT13.C04g45680.1	846437	5	56574348.0	56577040.0	AT2G25930.1	53.510	EARLY FLOWERING 3	BroT22.C08g39200.1	54.797	YES	YES	tree kale
BroT06.C03g44650.1	850717	6	31662521.0	31664428.0	AT3G21320.1	68.556	None	BroT22.C03g46310.1	88.762	NO	YES	round cabbage
