Sequences,4_1_bro3G02264.1,16_1_BolO_2g65840.1,6_1_BroT07.C03g54050.1,5_1_BroT02.C03g53540.1,15_1_BroT21.C03g52340.1,16_1_BolO_3g58390.1,2_1_AT1G77080.8,13_1_BroT08.C03g53320.1,2_1_AT5G65060.1,2_1_AT5G65050.3,11_1_BroT12.C03g54800.1,16_1_BolO_2g65950.1,8_1_BroT06.C02g52820.1,2_1_AT5G65080.2,14_1_BroT17.C02g58870.1,2_1_AT5G65070.3,12_1_BroT10.C03g54200.1,4_1_bro2G06238.1,7_1_BroT13.C03g53240.1,8_1_BroT06.C03g52000.1,14_1_BroT17.C02g58920.1,9_1_BroT24.C03g51980.1,12_1_BroT10.C02g54960.1
4_1_bro3G02264.1,100,90.32,91.94,93.55,93.55,87.10,85.48,93.55,82.26,85.48,96.77,83.87,91.94,82.26,90.32,80.65,96.77,83.87,93.55,91.94,90.32,93.55,83.87
16_1_BolO_2g65840.1,90.32,100,90.32,88.71,88.71,83.87,87.10,88.71,83.87,85.48,91.94,80.65,98.39,79.03,100.00,77.42,91.94,80.65,88.71,90.32,100.00,88.71,80.65
6_1_BroT07.C03g54050.1,91.94,90.32,100,98.39,98.39,87.10,83.87,98.39,79.03,85.48,95.16,83.87,88.71,82.26,90.32,80.65,95.16,83.87,98.39,100.00,90.32,98.39,83.87
5_1_BroT02.C03g53540.1,93.55,88.71,98.39,100,100.00,87.10,83.87,100.00,80.65,87.10,93.55,83.87,90.32,82.26,88.71,80.65,93.55,83.87,100.00,98.39,88.71,100.00,83.87
15_1_BroT21.C03g52340.1,93.55,88.71,98.39,100.00,100,87.10,83.87,100.00,80.65,87.10,93.55,83.87,90.32,82.26,88.71,80.65,93.55,83.87,100.00,98.39,88.71,100.00,83.87
16_1_BolO_3g58390.1,87.10,83.87,87.10,87.10,87.10,100,80.65,87.10,79.03,80.65,88.71,88.71,83.87,88.71,83.87,83.87,88.71,88.71,87.10,87.10,83.87,87.10,88.71
2_1_AT1G77080.8,85.48,87.10,83.87,83.87,83.87,80.65,100,83.87,87.10,85.48,85.48,80.65,87.10,79.03,87.10,79.03,85.48,80.65,83.87,83.87,87.10,83.87,80.65
13_1_BroT08.C03g53320.1,93.55,88.71,98.39,100.00,100.00,87.10,83.87,100,80.65,87.10,93.55,83.87,90.32,82.26,88.71,80.65,93.55,83.87,100.00,98.39,88.71,100.00,83.87
2_1_AT5G65060.1,82.26,83.87,79.03,80.65,80.65,79.03,87.10,80.65,100,91.94,80.65,75.81,85.48,77.42,83.87,75.81,80.65,75.81,80.65,79.03,83.87,80.65,75.81
2_1_AT5G65050.3,85.48,85.48,85.48,87.10,87.10,80.65,85.48,87.10,91.94,100,83.87,77.42,87.10,77.42,85.48,75.81,83.87,77.42,87.10,85.48,85.48,87.10,77.42
11_1_BroT12.C03g54800.1,96.77,91.94,95.16,93.55,93.55,88.71,85.48,93.55,80.65,83.87,100,85.48,90.32,83.87,91.94,82.26,100.00,85.48,93.55,95.16,91.94,93.55,85.48
16_1_BolO_2g65950.1,83.87,80.65,83.87,83.87,83.87,88.71,80.65,83.87,75.81,77.42,85.48,100,80.65,87.10,80.65,85.48,85.48,100.00,83.87,83.87,80.65,83.87,100.00
8_1_BroT06.C02g52820.1,91.94,98.39,88.71,90.32,90.32,83.87,87.10,90.32,85.48,87.10,90.32,80.65,100,79.03,98.39,77.42,90.32,80.65,90.32,88.71,98.39,90.32,80.65
2_1_AT5G65080.2,82.26,79.03,82.26,82.26,82.26,88.71,79.03,82.26,77.42,77.42,83.87,87.10,79.03,100,79.03,87.10,83.87,87.10,82.26,82.26,79.03,82.26,87.10
14_1_BroT17.C02g58870.1,90.32,100.00,90.32,88.71,88.71,83.87,87.10,88.71,83.87,85.48,91.94,80.65,98.39,79.03,100,77.42,91.94,80.65,88.71,90.32,100.00,88.71,80.65
2_1_AT5G65070.3,80.65,77.42,80.65,80.65,80.65,83.87,79.03,80.65,75.81,75.81,82.26,85.48,77.42,87.10,77.42,100,82.26,85.48,80.65,80.65,77.42,80.65,85.48
12_1_BroT10.C03g54200.1,96.77,91.94,95.16,93.55,93.55,88.71,85.48,93.55,80.65,83.87,100.00,85.48,90.32,83.87,91.94,82.26,100,85.48,93.55,95.16,91.94,93.55,85.48
4_1_bro2G06238.1,83.87,80.65,83.87,83.87,83.87,88.71,80.65,83.87,75.81,77.42,85.48,100.00,80.65,87.10,80.65,85.48,85.48,100,83.87,83.87,80.65,83.87,100.00
7_1_BroT13.C03g53240.1,93.55,88.71,98.39,100.00,100.00,87.10,83.87,100.00,80.65,87.10,93.55,83.87,90.32,82.26,88.71,80.65,93.55,83.87,100,98.39,88.71,100.00,83.87
8_1_BroT06.C03g52000.1,91.94,90.32,100.00,98.39,98.39,87.10,83.87,98.39,79.03,85.48,95.16,83.87,88.71,82.26,90.32,80.65,95.16,83.87,98.39,100,90.32,98.39,83.87
14_1_BroT17.C02g58920.1,90.32,100.00,90.32,88.71,88.71,83.87,87.10,88.71,83.87,85.48,91.94,80.65,98.39,79.03,100.00,77.42,91.94,80.65,88.71,90.32,100,88.71,80.65
9_1_BroT24.C03g51980.1,93.55,88.71,98.39,100.00,100.00,87.10,83.87,100.00,80.65,87.10,93.55,83.87,90.32,82.26,88.71,80.65,93.55,83.87,100.00,98.39,88.71,100,83.87
12_1_BroT10.C02g54960.1,83.87,80.65,83.87,83.87,83.87,88.71,80.65,83.87,75.81,77.42,85.48,100.00,80.65,87.10,80.65,85.48,85.48,100.00,83.87,83.87,80.65,83.87,100
