#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_567517.1 VRN2 [organism=Arabidopsis thaliana] [GeneID=827392], 440 length
NP_567517.1	BroT08.C08g12150.1_genome_11	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	11	6	GWHDUBL00000006	23207044	23209521	2478	425	BroT08.C08g12150.1	-	83380215	0	BroT08.C08g12150	-	83380214
NP_567517.1	BroT24.C08g12210.1_genome_7	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	7	8	GWHDTYK00000008	21979494	21981971	2478	425	BroT24.C08g12210.1	-	81015289	0	BroT24.C08g12210	-	81015288
NP_567517.1	BroT06.C08g11830.1_genome_6	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	6	8	GWHDTYJ00000008	21976934	21979411	2478	425	BroT06.C08g11830.1	-	80423190	0	BroT06.C08g11830	-	80423189
NP_567517.1	BroT02.C08g12910.1_genome_3	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	3	2	GWHDTWX00000002	23243286	23245763	2478	425	BroT02.C08g12910.1	-	78177391	0	BroT02.C08g12910	-	78177390
NP_567517.1	BroT21.C08g12340.1_genome_13	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	13	8	GWHDUBS00000008	20903331	20905807	2477	425	BroT21.C08g12340.1	-	84751771	0	BroT21.C08g12340	-	84751770
NP_567517.1	BroT17.C08g13950.1_genome_12	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	12	29	GWHDUBP00000029	22508333	22510809	2477	425	BroT17.C08g13950.1	-	84215678	0	BroT17.C08g13950	-	84215677
NP_567517.1	BroT19.C08g12920.1_genome_8	73.256	430	107	5	1	427	1	425	0.0	587	PASS	PASS	8	9	GWHDTYL00000009	24180760	24183233	2474	425	BroT19.C08g12920.1	-	81707336	0	BroT19.C08g12920	-	81707335
NP_567517.1	BroT12.C08g12680.1_genome_9	73.023	430	108	5	1	427	1	425	0.0	582	PASS	PASS	9	2	GWHDUBH00000002	23167991	23170458	2468	425	BroT12.C08g12680.1	-	81840473	0	BroT12.C08g12680	-	81840472
NP_567517.1	bro8G01685.1_genome_2	72.917	432	107	6	1	427	1	427	0.0	582	PASS	PASS	2	8	GWHBKLA00000008	24651172	24654138	2967	427	bro8G01685.1	-	77972683	0	bro8G01685	-	77972682
NP_567517.1	BolO_8g14700.1_genome_14	72.685	432	108	6	1	427	1	427	0.0	574	PASS	PASS	14	7	C08	22480913	22483896	2984	427	BolO_8g14700.1	-	85456634	0	BolO_8g14700	-	85456633
