Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
7_1_BroT13.C09g55490.1,100,96.41,65.66,97.42,97.95,83.16,95.90,56.46,98.46,97.93,71.60,100.00,97.95,96.41,100.00,98.46,89.15,97.95,98.46,96.41,57.14,97.95,58.18,100.00,98.46,96.41,100.00,98.46,96.41,93.53,90.77
7_1_BroT13.C09g55450.1,96.41,100,68.69,94.90,97.44,84.18,97.44,56.16,97.95,94.36,73.54,96.41,97.44,100.00,96.41,97.95,85.98,97.44,97.95,100.00,58.07,97.44,60.38,96.41,97.95,100.00,96.41,97.95,100.00,90.15,90.26
15_1_BroT21.C09g54420.1,65.66,68.69,100,64.32,66.67,54.77,67.17,38.39,67.17,63.64,50.00,65.66,66.67,68.69,65.66,67.17,58.06,66.67,67.17,68.69,40.00,66.67,41.43,65.66,67.17,68.69,65.66,67.17,68.69,60.68,59.60
7_1_BroT13.C09g55480.1,97.42,94.90,64.32,100,96.43,81.73,94.39,56.59,96.94,96.39,71.60,97.42,96.43,94.90,97.42,96.94,89.20,96.43,96.94,94.90,57.45,96.43,58.49,97.42,96.94,94.90,97.42,96.94,94.90,92.57,89.29
8_1_BroT06.C09g54360.1,97.95,97.44,66.67,96.43,100,84.69,96.92,57.06,99.49,95.90,72.37,97.95,98.97,97.44,97.95,99.49,87.38,100.00,99.49,97.44,57.76,100.00,58.81,97.95,99.49,97.44,97.95,99.49,97.44,91.63,91.79
2_1_AT5G10140.1,83.16,84.18,54.77,81.73,84.69,100,85.20,48.50,84.69,81.12,62.40,83.16,84.18,84.18,83.16,84.69,73.95,84.69,84.69,84.18,50.77,84.69,50.78,83.16,84.69,84.18,83.16,84.69,84.18,77.45,77.04
12_1_BroT10.C09g56240.1,95.90,97.44,67.17,94.39,96.92,85.20,100,55.86,97.44,93.85,72.37,95.90,96.92,97.44,95.90,97.44,85.51,96.92,97.44,97.44,59.63,96.92,58.81,95.90,97.44,97.44,95.90,97.44,97.44,89.66,89.74
12_1_BroT10.C09g56260.1,56.46,56.16,38.39,56.59,57.06,48.50,55.86,100,57.36,56.16,55.81,56.46,57.06,56.16,56.46,57.36,59.28,57.06,57.36,56.16,57.77,57.06,59.28,56.46,57.36,56.16,56.46,57.36,56.16,58.26,52.85
15_1_BroT21.C09g54460.1,98.46,97.95,67.17,96.94,99.49,84.69,97.44,57.36,100,96.41,72.76,98.46,99.49,97.95,98.46,100.00,87.85,99.49,100.00,97.95,58.07,99.49,59.12,98.46,100.00,97.95,98.46,100.00,97.95,92.12,92.31
15_1_BroT21.C09g54450.1,97.93,94.36,63.64,96.39,95.90,81.12,93.85,56.16,96.41,100,71.21,97.93,95.90,94.36,97.93,96.41,88.68,95.90,96.41,94.36,56.52,95.90,57.55,97.93,96.41,94.36,97.93,96.41,94.36,93.53,88.72
