Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT08.C02g20750.1	826569	11	17121073.0	17123288.0	AT1G65480.2	86.782	FLOWERING LOCUS T	BroT22.C02g20180.1	99.429	YES	YES	brussels sprouts
BroT10.C02g20280.1	826569	10	16836517.0	16838734.0	AT1G65480.2	86.782	FLOWERING LOCUS T	BroT22.C02g20180.1	99.429	YES	YES	wild cabbage
BroT19.C02g20520.1	826569	8	16771473.0	16773688.0	AT1G65480.2	86.782	FLOWERING LOCUS T	BroT22.C02g20180.1	99.429	YES	YES	chinese kale
BroT13.C02g20890.1	826569	5	17628926.0	17631141.0	AT1G65480.2	86.782	FLOWERING LOCUS T	BroT22.C02g20180.1	99.429	YES	YES	tree kale
BroT22.C02g20180.1	826569	15	16922083.0	16923839.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	cauliflower
BolO_2g23260.1	826569	14	17304491.0	17307030.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	wild cabbage
BroT21.C02g20050.1	826569	13	16371877.0	16373633.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	cauliflower
BroT17.C02g21030.1	826569	12	18455372.0	18457128.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	collard greens
BroT12.C02g20470.1	826569	9	16578260.0	16580498.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	lacinato kale
BroT24.C02g20460.1	826569	7	16683795.0	16685551.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	broccoli
BroT06.C02g20130.1	826569	6	17273542.0	17275789.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	round cabbage
BroT07.C02g20930.1	826569	4	17134088.0	17135844.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	kohlrabi
BroT02.C02g20350.1	826569	3	16651424.0	16653666.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	flat cabbage
bro2G02250.1	826569	2	18391904.0	18393660.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	broccoli
rna-XM_013764059.1	826569	1	14745548.0	14747543.0	AT1G65480.2	86.207	FLOWERING LOCUS T	BroT22.C02g20180.1	100.000	YES	YES	wild cabbage
BroT12.C06g33200.1	826568	9	38020677.0	38022962.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.286	YES	YES	lacinato kale
BroT13.C06g31830.1	826568	5	40926052.0	40928352.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.286	YES	YES	tree kale
bro6G03698.1	826568	2	38873452.0	38876027.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.286	YES	YES	broccoli
BroT22.C06g31900.1	826568	15	41324587.0	41326867.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	cauliflower
BroT21.C06g31770.1	826568	13	37174818.0	37177097.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	cauliflower
BroT17.C06g34930.1	826568	12	44191643.0	44193921.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	collard greens
BroT19.C06g32270.1	826568	8	41811095.0	41813376.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	chinese kale
rna-XM_013735380.1	826568	1	31563981.0	31566539.0	AT1G65480.2	82.184	FLOWERING LOCUS T	BroT22.C06g31900.1	100.000	YES	YES	wild cabbage
BolO_6g39230.1	826568	14	40000458.0	40003002.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	wild cabbage
BroT08.C06g32910.1	826568	11	43071300.0	43073594.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	brussels sprouts
BroT10.C06g32140.1	826568	10	41163745.0	41166026.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	wild cabbage
BroT24.C06g31250.1	826568	7	37965936.0	37968230.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	broccoli
BroT06.C06g31270.1	826568	6	39679153.0	39681447.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	round cabbage
BroT07.C06g32480.1	826568	4	38225076.0	38227369.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	kohlrabi
BroT02.C06g32100.1	826568	3	40332870.0	40335164.0	AT1G65480.2	81.609	FLOWERING LOCUS T	BroT22.C06g31900.1	98.857	YES	YES	flat cabbage
