Sequences,4_1_BroT21.C03g04510.1,2_1_caul3G00449.1,3_1_BroT25.C03g04360.1,1_1_BolK_3g05260.2
4_1_BroT21.C03g04510.1,100,100.00,99.66,100.00
2_1_caul3G00449.1,100.00,100,99.66,100.00
3_1_BroT25.C03g04360.1,99.66,99.66,100,99.66
1_1_BolK_3g05260.2,100.00,100.00,99.66,100
