Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit
BroT24.C09g48230.1	821437	7	AT5G16320.1	62.185	None	BroT22.C09g48380.1	95.595
rna-XM_013755388.1	821437	1	AT5G16320.1	62.185	None	BroT22.C09g48380.1	95.595
BroT12.C09g33230.1	819279	9	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT19.C09g33050.1	819279	8	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT22.C09g48380.1	821437	15	AT5G16320.1	62.292	None	BroT22.C09g48380.1	100.000
BroT07.C03g17240.1	848940	4	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784
BroT17.C09g52230.1	821437	12	AT5G16320.1	63.333	None	BroT22.C09g48380.1	98.899
BroT07.C09g50040.1	821437	4	AT5G16320.1	62.708	None	BroT22.C09g48380.1	98.899
BroT12.C09g50890.1	821437	9	AT5G16320.1	62.917	None	BroT22.C09g48380.1	98.458
bro9G03933.1	819279	2	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.316
rna-XM_013750865.1	819279	1	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT21.C09g31910.1	819279	13	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT10.C09g33190.1	819279	10	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.145
rna-XM_013774045.1	848940	1	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000
BroT06.C09g04320.1	815249	6	AT5G48385.1	80.072	None	BroT22.C09g03990.1	98.874
BroT24.C09g04370.1	815249	7	AT5G48385.1	80.396	None	BroT22.C09g03990.1	99.058
BroT13.C09g04440.1	856928	5	AT5G48385.1	76.160	None	BroT22.C09g03990.1	90.562
BolO_9g59730.1	821437	14	AT5G16320.1	62.917	None	BroT22.C09g48380.1	97.588
BroT24.C03g16830.1	848940	7	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000
BroT12.C03g17180.1	848940	9	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784
rna-XM_013757216.1	815249	1	AT5G48385.1	80.851	None	BroT22.C09g03990.1	98.684
BroT24.C09g31370.1	819279	7	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.316
BroT08.C09g33140.1	819279	11	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.145
BroT17.C09g34240.1	819279	12	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT02.C09g33330.1	819279	3	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT21.C03g16730.1	848940	13	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000
bro9G05852.1	821437	2	AT5G16320.1	62.917	None	BroT22.C09g48380.1	97.588
BroT08.C03g16670.1	848940	11	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784
BroT06.C03g16530.1	848940	6	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	94.604
BroT19.C09g49570.1	821437	8	AT5G16320.1	62.917	None	BroT22.C09g48380.1	97.588
BroT13.C03g17220.1	848940	5	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	96.121
BroT02.C03g16790.1	848940	3	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	94.604
BroT21.C09g04510.1	815249	13	AT5G48385.1	80.216	None	BroT22.C09g03990.1	99.060
BroT17.C09g04550.1	815249	12	AT5G48385.1	80.851	None	BroT22.C09g03990.1	99.060
BroT10.C09g50750.1	821437	10	AT5G16320.1	62.292	None	BroT22.C09g48380.1	100.000
BroT13.C09g04400.1	815249	5	AT5G48385.1	80.708	None	BroT22.C09g03990.1	98.874
bro9G00456.1	815249	2	AT5G48385.1	80.396	None	BroT22.C09g03990.1	99.058
BroT13.C09g50200.1	821437	5	AT5G16320.1	66.237	None	BroT22.C09g48380.1	98.930
bro9G00461.1	856928	2	AT5G48385.1	71.730	None	BroT22.C09g03990.1	85.618
BroT08.C09g50350.1	821437	11	AT5G16320.1	62.708	None	BroT22.C09g48380.1	97.807
BroT22.C09g31650.1	819279	15	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000
BroT17.C03g17000.1	848940	12	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784
BroT02.C09g04460.1	815249	3	AT5G48385.1	80.072	None	BroT22.C09g03990.1	98.874
BroT06.C09g32100.1	819279	6	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.145
bro5G07985.1	848940	2	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000
BroT19.C03g17270.1	848940	8	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784
BroT10.C03g17490.1	848940	10	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784
BroT07.C09g04370.1	856928	4	AT5G48385.1	72.414	None	BroT22.C09g03990.1	85.776
BroT06.C09g48930.1	821437	6	AT5G16320.1	63.125	None	BroT22.C09g48380.1	98.899
