Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
7_1_BroT13.C09g55490.1,18,13,12,14,16,12,12,9,17,15,11,18,17,13,18,17,9,16,17,13,4,16,5,18,17,13,18,17,13,10,17
7_1_BroT13.C09g55450.1,13,18,16,11,13,12,13,6,14,10,14,13,14,18,13,14,4,13,14,18,5,13,10,13,14,18,13,14,18,5,14
15_1_BroT21.C09g54420.1,12,16,18,10,12,12,13,5,13,9,12,12,13,16,12,13,3,12,13,16,5,12,8,12,13,16,12,13,16,4,13
7_1_BroT13.C09g55480.1,14,11,10,18,14,10,10,10,15,13,11,14,15,11,14,15,10,14,15,11,5,14,6,14,15,11,14,15,11,9,15
8_1_BroT06.C09g54360.1,16,13,12,14,18,13,12,9,17,13,11,16,17,13,16,17,7,18,17,13,4,18,5,16,17,13,16,17,13,8,17
2_1_AT5G10140.1,12,12,12,10,13,18,14,5,13,9,10,12,13,12,12,13,3,13,13,12,6,13,4,12,13,12,12,13,12,4,13
12_1_BroT10.C09g56240.1,12,13,13,10,12,14,18,5,13,9,11,12,13,13,12,13,3,12,13,13,10,12,5,12,13,13,12,13,13,4,13
12_1_BroT10.C09g56260.1,9,6,5,10,9,5,5,18,10,8,6,9,10,6,9,10,14,9,10,6,7,9,8,9,10,6,9,10,6,12,10
15_1_BroT21.C09g54460.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
15_1_BroT21.C09g54450.1,15,10,9,13,13,9,9,8,14,18,10,15,14,10,15,14,9,13,14,10,3,13,4,15,14,10,15,14,10,10,14
