Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
7_1_BroT13.C09g55490.1,100,42.05,41.41,42.27,42.05,41.84,42.05,24.62,42.05,42.49,31.91,42.49,42.05,42.05,42.49,42.05,38.68,42.05,42.05,42.05,25.47,42.05,25.79,42.49,42.05,42.05,42.49,42.05,42.05,40.80,42.05
7_1_BroT13.C09g55450.1,42.05,100,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
15_1_BroT21.C09g54420.1,41.41,41.41,100,41.21,41.41,41.21,41.41,24.40,41.41,41.41,31.54,41.41,41.41,41.41,41.41,41.41,37.79,41.41,41.41,41.41,25.23,41.41,25.55,41.41,41.41,41.41,41.41,41.41,41.41,39.81,41.41
7_1_BroT13.C09g55480.1,42.27,41.84,41.21,100,41.84,41.62,41.84,24.55,41.84,42.27,31.91,42.27,41.84,41.84,42.27,41.84,38.50,41.84,41.84,41.84,25.47,41.84,25.79,42.27,41.84,41.84,42.27,41.84,41.84,40.59,41.84
8_1_BroT06.C09g54360.1,42.05,42.05,41.41,41.84,100,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
2_1_AT5G10140.1,41.84,41.84,41.21,41.62,41.84,100,41.84,24.55,41.84,41.84,31.78,41.84,41.84,41.84,41.84,41.84,38.14,41.84,41.84,41.84,25.39,41.84,25.71,41.84,41.84,41.84,41.84,41.84,41.84,40.20,41.84
12_1_BroT10.C09g56240.1,42.05,42.05,41.41,41.84,42.05,41.84,100,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
12_1_BroT10.C09g56260.1,24.62,24.62,24.40,24.55,24.62,24.55,24.62,100,24.62,24.62,23.23,24.62,24.62,24.62,24.62,24.62,24.55,24.62,24.62,24.62,22.34,24.62,22.71,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.62
15_1_BroT21.C09g54460.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,100,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
15_1_BroT21.C09g54450.1,42.49,42.05,41.41,42.27,42.05,41.84,42.05,24.62,42.05,100,31.91,42.49,42.05,42.05,42.49,42.05,38.68,42.05,42.05,42.05,25.47,42.05,25.79,42.49,42.05,42.05,42.49,42.05,42.05,40.80,42.05
16_1_BolO_9g65570.2,31.91,31.91,31.54,31.91,31.91,31.78,31.91,23.23,31.91,31.91,100,31.91,31.91,31.91,31.91,31.91,29.71,31.91,31.91,31.91,25.15,31.91,25.79,31.91,31.91,31.91,31.91,31.91,31.91,30.94,31.91
16_1_BolO_9g65590.1,42.49,42.05,41.41,42.27,42.05,41.84,42.05,24.62,42.05,42.49,31.91,100,42.05,42.05,42.49,42.05,38.68,42.05,42.05,42.05,25.47,42.05,25.79,42.49,42.05,42.05,42.49,42.05,42.05,40.80,42.05
16_1_BolO_9g65600.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,100,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
11_1_BroT12.C09g56450.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,100,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
