#BLASTP
#Strictness for accepting hits was >= 65% sequence identity with >= 65% alignment length of input sequence length
#highest in genome	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>NP_001078563.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 167 length
1	NP_001078563.1	BolK_9g63770.2_genome_1	87.195	164	21	0	1	164	1	164	1.53e-82	248	PASS	PASS	1	8	C09	60528481	60533205	4725	327	BolK_9g63770.2	-	33029900	35407829	BolK_9g63770	-	33029899
2	NP_001078563.1	caul9G05235.1_genome_2	87.805	164	20	0	1	164	1	164	3.69e-85	250	PASS	PASS	2	9	GWHBKKZ00000009	59085293	59089448	4156	197	caul9G05235.1	-	33641723	35407828	caul9G05235	-	33641722
3	NP_001078563.1	BroT25.C09g53110.1_genome_3	87.805	164	20	0	1	164	1	164	5.78e-83	250	PASS	PASS	3	9	GWHDTYM00000009	59481643	59488680	7038	353	BroT25.C09g53110.1	-	34225234	35407830	BroT25.C09g53110	-	34225233
4	NP_001078563.1	BroT21.C09g54450.1_genome_4	87.805	164	20	0	1	164	1	164	7.87e-84	250	PASS	PASS	4	9	GWHDUBS00000009	59522045	59529084	7040	283	BroT21.C09g54450.1	-	34834061	35407830	BroT21.C09g54450	-	34834060

##sequence 2,>NP_001154703.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 186 length
1	NP_001154703.1	BolK_9g63770.2_genome_1	87.195	164	21	0	1	164	1	164	2.05e-82	248	PASS	PASS	1	8	C09	60528481	60533205	4725	327	BolK_9g63770.2	-	33029900	35407829	BolK_9g63770	-	33029899
2	NP_001154703.1	caul9G05234.1_genome_2	87.805	164	20	0	1	164	1	164	3.69e-85	251	PASS	PASS	2	9	GWHBKKZ00000009	59072267	59077776	5510	195	caul9G05234.1	-	33641707	35407830	caul9G05234	-	33641706
3	NP_001154703.1	BroT25.C09g53110.1_genome_3	87.805	164	20	0	1	164	1	164	6.93e-83	251	PASS	PASS	3	9	GWHDTYM00000009	59481643	59488680	7038	353	BroT25.C09g53110.1	-	34225234	35407830	BroT25.C09g53110	-	34225233
4	NP_001154703.1	BroT21.C09g54450.1_genome_4	87.805	164	20	0	1	164	1	164	8.18e-84	251	PASS	PASS	4	9	GWHDUBS00000009	59522045	59529084	7040	283	BroT21.C09g54450.1	-	34834061	35407830	BroT21.C09g54450	-	34834060

##sequence 3,>NP_001190272.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 182 length
1	NP_001190272.1	BolK_9g63770.2_genome_1	76.042	192	29	4	1	176	1	191	1.64e-84	254	PASS	PASS	1	8	C09	60528481	60533205	4725	327	BolK_9g63770.2	-	33029900	35407829	BolK_9g63770	-	33029899
2	NP_001190272.1	caul9G05234.1_genome_2	76.650	197	29	4	1	182	1	195	1.55e-89	261	PASS	PASS	2	9	GWHBKKZ00000009	59072267	59077776	5510	195	caul9G05234.1	-	33641707	35407830	caul9G05234	-	33641706
3	NP_001190272.1	BroT25.C09g53110.1_genome_3	76.344	186	28	3	1	172	1	184	1.14e-82	250	PASS	PASS	3	9	GWHDTYM00000009	59481643	59488680	7038	353	BroT25.C09g53110.1	-	34225234	35407830	BroT25.C09g53110	-	34225233
4	NP_001190272.1	BroT21.C09g54450.1_genome_4	76.344	186	28	3	1	172	1	184	3.02e-83	249	PASS	PASS	4	9	GWHDUBS00000009	59522045	59529084	7040	283	BroT21.C09g54450.1	-	34834061	35407830	BroT21.C09g54450	-	34834060

##sequence 4,>NP_196576.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 196 length
1	NP_196576.1	BolK_9g63770.2_genome_1	83.333	192	29	3	1	190	1	191	3.23e-89	266	PASS	PASS	1	8	C09	60528481	60533205	4725	327	BolK_9g63770.2	-	33029900	35407829	BolK_9g63770	-	33029899
2	NP_196576.1	caul9G05234.1_genome_2	83.756	197	29	3	1	196	1	195	3.04e-94	274	PASS	PASS	2	9	GWHBKKZ00000009	59072267	59077776	5510	195	caul9G05234.1	-	33641707	35407830	caul9G05234	-	33641706
3	NP_196576.1	BroT25.C09g53110.1_genome_3	83.871	186	28	2	1	186	1	184	1.39e-87	263	PASS	PASS	3	9	GWHDTYM00000009	59481643	59488680	7038	353	BroT25.C09g53110.1	-	34225234	35407830	BroT25.C09g53110	-	34225233
4	NP_196576.1	BroT21.C02g03840.1_genome_4	74.242	198	43	4	1	196	1	192	2.70e-82	249	PASS	PASS	4	2	GWHDUBS00000002	2382295	2389134	6840	360	BroT21.C02g03840.1	-	34302615	35409978	BroT21.C02g03840	-	34302614

