Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit
BroT13.C02g20150.1	829644	5	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT02.C08g12910.1	799107	3	AT4G16845.1	73.474	None	BroT22.C08g12670.1	92.958
bro2G02163.1	829644	2	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT17.C09g34470.1	832934	12	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000
BroT21.C01g23080.1	840201	13	AT4G16845.1	51.887	None	BroT22.C01g23400.1	85.031
BolO_9g39540.1	832934	14	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.367
BroT17.C04g11540.1	843738	12	AT4G16845.1	36.842	None	BroT22.C04g10710.1	100.000
BroT07.C04g10710.1	843738	4	AT4G16845.1	37.105	None	BroT22.C04g10710.1	98.010
BroT10.C04g11630.1	843823	10	AT4G16845.1	37.632	None	BroT22.C04g11390.1	99.024
rna-XM_013758460.1	832934	1	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000
BroT07.C01g23990.1	840201	4	AT4G16845.1	50.000	None	BroT22.C01g23400.1	91.485
BroT08.C01g23620.1	840201	11	AT4G16845.1	51.887	None	BroT22.C01g23400.1	85.031
BroT13.C09g33260.1	832934	5	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000
BroT22.C08g12670.1	946290	15	AT4G16845.1	68.846	None	BroT22.C08g12670.1	100.000
BroT19.C04g11980.1	843823	8	AT4G16845.1	37.831	None	BroT22.C04g11390.1	98.086
rna-XM_013736964.1	840201	1	AT4G16845.1	45.519	None	BroT22.C01g23400.1	85.590
BroT02.C01g23420.1	840201	3	AT4G16845.1	51.887	None	BroT22.C01g23400.1	88.147
BroT17.C01g23370.1	840201	12	AT4G16845.1	49.299	None	BroT22.C01g23400.1	88.095
BroT12.C02g19650.1	829644	9	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT12.C04g11660.1	843823	9	AT4G16845.1	37.368	None	BroT22.C04g11390.1	98.537
rna-XM_013779392.1	843738	1	AT4G16845.1	36.842	None	BroT22.C04g10710.1	97.512
BroT08.C04g11010.1	843738	11	AT4G16845.1	36.316	None	BroT22.C04g10710.1	91.414
bro4G01182.1	843823	2	AT2G35670.1	46.818	FERTILIZATION INDEPENDENT SEED 2	BroT22.C04g11390.1	99.024
BroT08.C04g11660.1	843823	11	AT4G16845.1	37.368	None	BroT22.C04g11390.1	96.585
BroT07.C09g33200.1	832934	4	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000
BroT24.C01g22740.1	840201	7	AT4G16845.1	49.533	None	BroT22.C01g23400.1	88.312
BolO_8g14700.1	799107	14	AT4G16845.1	76.904	None	BroT22.C08g12670.1	94.014
