#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_001320342.1 FT [organism=Arabidopsis thaliana] [GeneID=842859], 219 length
NP_001320342.1	BroT08.C02g20750.1_genome_11	86.782	174	23	0	45	218	1	174	2.47e-111	319	PASS	PASS	11	8	GWHDUBL00000008	17121073	17123288	2216	175	BroT08.C02g20750.1	-	83530345	0	BroT08.C02g20750	-	83530344
NP_001320342.1	BroT10.C02g20280.1_genome_10	86.782	174	23	0	45	218	1	174	2.47e-111	319	PASS	PASS	10	7	GWHDUBI00000007	16836517	16838734	2218	175	BroT10.C02g20280.1	-	82800342	0	BroT10.C02g20280	-	82800341
NP_001320342.1	BroT19.C02g20520.1_genome_8	86.782	174	23	0	45	218	1	174	2.47e-111	319	PASS	PASS	8	2	GWHDTYL00000002	16771473	16773688	2216	175	BroT19.C02g20520.1	-	81225728	0	BroT19.C02g20520	-	81225727
NP_001320342.1	BroT13.C02g20890.1_genome_5	86.782	174	23	0	45	218	1	174	2.47e-111	319	PASS	PASS	5	8	GWHDTYE00000008	17628926	17631141	2216	175	BroT13.C02g20890.1	-	79778025	0	BroT13.C02g20890	-	79778024
NP_001320342.1	BroT22.C02g20180.1_genome_15	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	15	2	C02	16922083	16923839	1757	175	BroT22.C02g20180.1	-	85681580	0	BroT22.C02g20180	-	85681579
NP_001320342.1	BolO_2g23260.1_genome_14	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	14	2	C02	17304491	17307030	2540	175	BolO_2g23260.1	-	84999794	0	BolO_2g23260	-	84999793
NP_001320342.1	BroT21.C02g20050.1_genome_13	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	13	2	GWHDUBS00000002	16371877	16373633	1757	175	BroT21.C02g20050.1	-	84356031	0	BroT21.C02g20050	-	84356030
NP_001320342.1	BroT17.C02g21030.1_genome_12	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	12	23	GWHDUBP00000023	18455372	18457128	1757	175	BroT17.C02g21030.1	-	84158252	0	BroT17.C02g21030	-	84158251
NP_001320342.1	BroT12.C02g20470.1_genome_9	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	9	4	GWHDUBH00000004	16578260	16580498	2239	175	BroT12.C02g20470.1	-	82013149	0	BroT12.C02g20470	-	82013148
NP_001320342.1	BroT24.C02g20460.1_genome_7	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	7	2	GWHDTYK00000002	16683795	16685551	1757	175	BroT24.C02g20460.1	-	80628135	0	BroT24.C02g20460	-	80628134
NP_001320342.1	BroT06.C02g20130.1_genome_6	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	6	2	GWHDTYJ00000002	17273542	17275789	2248	175	BroT06.C02g20130.1	-	80039146	0	BroT06.C02g20130	-	80039145
