Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT07.C04g28760.1	845289	4	2219793.0	2222914.0	AT3G57390.1	74.903	AGAMOUS-like 18	BroT22.C04g29330.1	99.624	NO	NO	kohlrabi
BolO_2g27460.1	794205	14	2272929.0	2276050.0	AT1G69120.1	92.268	APETALA1	BroT22.C06g35070.1	74.227	NO	NO	wild cabbage
BroT19.C03g30680.1	814349	8	2537023.0	2540144.0	AT4G09960.4	80.000	SEEDSTICK	BroT22.C03g30900.1	100.000	NO	NO	chinese kale
bro5G06530.1	814349	2	2560302.0	2563423.0	AT4G09960.4	80.972	SEEDSTICK	BroT22.C03g30900.1	98.286	NO	NO	broccoli
BroT13.C03g30940.1	814349	5	76829979.0	76833100.0	AT4G09960.4	81.959	SEEDSTICK	BroT22.C03g30900.1	98.286	NO	NO	tree kale
BroT22.C06g35070.1	794028	15	2204760.0	2208071.0	AT1G69120.1	80.078	APETALA1	BroT22.C06g35070.1	100.000	NO	NO	cauliflower
BroT07.C06g30970.1	794028	4	2463355.0	2466666.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	kohlrabi
BroT21.C06g30340.1	794028	13	2336851.0	2340140.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	cauliflower
BroT24.C06g34360.1	794028	7	2318879.0	2322190.0	AT1G69120.1	61.328	APETALA1	BroT22.C06g30480.1	95.722	NO	NO	broccoli
BroT24.C06g29850.1	794028	7	2126418.0	2130146.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	broccoli
BroT02.C06g30650.1	794028	3	2600664.0	2603799.0	AT5G60910.1	93.443	AGAMOUS-like 8	BroT22.C07g38030.1	93.548	NO	NO	flat cabbage
BroT02.C06g35300.1	794028	3	2320269.0	2323405.0	AT1G69120.1	98.361	APETALA1	BroT22.C07g38030.1	93.548	NO	NO	flat cabbage
BroT22.C06g30480.1	794028	15	2231703.0	2234803.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	cauliflower
BroT10.C06g30590.1	794028	10	2232000.0	2235300.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	wild cabbage
BroT19.C06g30810.1	794028	8	62538681.0	62544526.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	chinese kale
BroT06.C06g29880.1	794028	6	63842668.0	63848173.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	round cabbage
BroT12.C06g31640.1	794028	9	58952656.0	58958166.0	AT1G69120.1	61.719	APETALA1	BroT22.C06g30480.1	100.000	NO	NO	lacinato kale
BroT06.C06g34300.1	794028	6	61239350.0	61243557.0	AT1G69120.1	80.078	APETALA1	BroT22.C06g35070.1	100.000	NO	NO	round cabbage
BroT24.C09g07120.1	815696	7	60559275.0	60563431.0	AT5G23260.4	75.502	TRANSPARENT TESTA16	BroT22.C09g06890.1	100.000	NO	NO	broccoli
bro9G00761.1	815696	2	59535071.0	59539226.0	AT5G23260.4	75.099	TRANSPARENT TESTA16	BroT22.C09g06890.1	98.367	NO	NO	broccoli
