Sequences,4_1_bro3G02264.1,16_1_BolO_2g65840.1,6_1_BroT07.C03g54050.1,5_1_BroT02.C03g53540.1,15_1_BroT21.C03g52340.1,16_1_BolO_3g58390.1,2_1_AT1G77080.8,13_1_BroT08.C03g53320.1,2_1_AT5G65060.1,2_1_AT5G65050.3,11_1_BroT12.C03g54800.1,16_1_BolO_2g65950.1,8_1_BroT06.C02g52820.1,2_1_AT5G65080.2,14_1_BroT17.C02g58870.1,2_1_AT5G65070.3,12_1_BroT10.C03g54200.1,4_1_bro2G06238.1,7_1_BroT13.C03g53240.1,8_1_BroT06.C03g52000.1,14_1_BroT17.C02g58920.1,9_1_BroT24.C03g51980.1,12_1_BroT10.C02g54960.1
4_1_bro3G02264.1,20,14,15,16,16,13,11,16,9,11,18,10,15,10,14,11,18,10,16,15,14,16,10
16_1_BolO_2g65840.1,14,20,14,13,13,11,12,13,10,11,15,8,19,8,20,9,15,8,13,14,20,13,8
6_1_BroT07.C03g54050.1,15,14,20,19,19,13,10,19,7,11,17,10,13,10,14,11,17,10,19,20,14,19,10
5_1_BroT02.C03g53540.1,16,13,19,20,20,13,10,20,8,12,16,10,14,10,13,11,16,10,20,19,13,20,10
15_1_BroT21.C03g52340.1,16,13,19,20,20,13,10,20,8,12,16,10,14,10,13,11,16,10,20,19,13,20,10
16_1_BolO_3g58390.1,13,11,13,13,13,20,9,13,8,9,14,14,11,15,11,14,14,14,13,13,11,13,14
2_1_AT1G77080.8,11,12,10,10,10,9,20,10,12,11,11,8,12,8,12,10,11,8,10,10,12,10,8
13_1_BroT08.C03g53320.1,16,13,19,20,20,13,10,20,8,12,16,10,14,10,13,11,16,10,20,19,13,20,10
2_1_AT5G65060.1,9,10,7,8,8,8,12,8,20,15,8,5,11,7,10,8,8,5,8,7,10,8,5
2_1_AT5G65050.3,11,11,11,12,12,9,11,12,15,20,10,6,12,7,11,8,10,6,12,11,11,12,6
11_1_BroT12.C03g54800.1,18,15,17,16,16,14,11,16,8,10,20,11,14,11,15,12,20,11,16,17,15,16,11
16_1_BolO_2g65950.1,10,8,10,10,10,14,8,10,5,6,11,20,8,13,8,14,11,20,10,10,8,10,20
8_1_BroT06.C02g52820.1,15,19,13,14,14,11,12,14,11,12,14,8,20,8,19,9,14,8,14,13,19,14,8
2_1_AT5G65080.2,10,8,10,10,10,15,8,10,7,7,11,13,8,20,8,16,11,13,10,10,8,10,13
14_1_BroT17.C02g58870.1,14,20,14,13,13,11,12,13,10,11,15,8,19,8,20,9,15,8,13,14,20,13,8
2_1_AT5G65070.3,11,9,11,11,11,14,10,11,8,8,12,14,9,16,9,20,12,14,11,11,9,11,14
12_1_BroT10.C03g54200.1,18,15,17,16,16,14,11,16,8,10,20,11,14,11,15,12,20,11,16,17,15,16,11
4_1_bro2G06238.1,10,8,10,10,10,14,8,10,5,6,11,20,8,13,8,14,11,20,10,10,8,10,20
7_1_BroT13.C03g53240.1,16,13,19,20,20,13,10,20,8,12,16,10,14,10,13,11,16,10,20,19,13,20,10
8_1_BroT06.C03g52000.1,15,14,20,19,19,13,10,19,7,11,17,10,13,10,14,11,17,10,19,20,14,19,10
14_1_BroT17.C02g58920.1,14,20,14,13,13,11,12,13,10,11,15,8,19,8,20,9,15,8,13,14,20,13,8
9_1_BroT24.C03g51980.1,16,13,19,20,20,13,10,20,8,12,16,10,14,10,13,11,16,10,20,19,13,20,10
12_1_BroT10.C02g54960.1,10,8,10,10,10,14,8,10,5,6,11,20,8,13,8,14,11,20,10,10,8,10,20
