Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT24.C03g13560.1	848698	7	7078494.0	7089824.0	AT5G57380.1	68.821	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	97.292	YES	YES	broccoli
BroT19.C03g13770.1	848698	8	7247870.0	7260408.0	AT5G57380.1	68.982	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	99.819	YES	YES	chinese kale
BroT12.C03g13590.1	848698	9	7181494.0	7191084.0	AT5G57380.1	69.144	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	96.751	YES	YES	lacinato kale
BroT13.C03g13730.1	848698	5	7450043.0	7461366.0	AT5G57380.1	68.659	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	96.931	YES	YES	tree kale
BroT08.C03g13230.1	848698	11	6892917.0	6905333.0	AT5G57380.1	68.821	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	99.639	YES	YES	brussels sprouts
BroT22.C02g14370.1	862706	15	10552860.0	10555367.0	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000	YES	NO	cauliflower
BroT21.C02g14680.1	862706	13	10209728.0	10212235.0	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000	YES	NO	cauliflower
BroT24.C02g15060.1	862706	7	10481941.0	10484448.0	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000	YES	NO	broccoli
BroT06.C02g14560.1	862706	6	10722038.0	10724569.0	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000	YES	NO	round cabbage
BroT07.C02g15310.1	862706	4	10818884.0	10821384.0	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000	YES	NO	kohlrabi
BroT02.C02g14530.1	862706	3	10229322.0	10231856.0	AT5G57380.1	66.455	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	100.000	YES	NO	flat cabbage
BroT19.C02g14300.1	862706	8	10415677.0	10418176.0	AT5G57380.1	66.296	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	99.463	YES	NO	chinese kale
BroT22.C03g13840.1	848698	15	7332083.0	7334583.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	cauliflower
BolO_3g14650.1	848698	14	6703877.0	6706682.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	wild cabbage
BroT21.C03g13330.1	848698	13	7092644.0	7095143.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	cauliflower
BroT17.C03g13430.1	848698	12	6857033.0	6859596.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	collard greens
BroT10.C03g14080.1	848698	10	7338017.0	7340580.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	wild cabbage
BroT06.C03g13260.1	848698	6	7022390.0	7024953.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	round cabbage
BroT07.C03g13920.1	848698	4	7235988.0	7238551.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	kohlrabi
BroT02.C03g13330.1	848698	3	7051522.0	7054085.0	AT5G57380.1	68.910	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	100.000	YES	NO	flat cabbage
rna-XM_013773617.1	848698	1	6594914.0	6597535.0	AT5G57380.1	68.498	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	97.292	YES	NO	wild cabbage
bro5G08343.1	848698	2	71899450.0	71902349.0	AT5G57380.1	64.902	VERNALIZATION INSENSITIVE 3	BroT22.C03g13840.1	91.275	YES	NO	broccoli
BroT17.C02g14440.1	862706	12	10789785.0	10792295.0	AT5G57380.1	77.809	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.569	YES	NO	collard greens
BroT10.C02g14700.1	862706	10	10446710.0	10449220.0	AT5G57380.1	77.809	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.569	YES	NO	wild cabbage
bro2G01568.1	862706	2	11734082.0	11736592.0	AT5G57380.1	77.809	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.569	YES	NO	broccoli
BolO_2g16520.1	862706	14	10583975.0	10586334.0	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556	YES	NO	wild cabbage
BroT08.C02g14910.1	862706	11	10455861.0	10458047.0	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556	YES	NO	brussels sprouts
BroT12.C02g14570.1	862706	9	10257867.0	10260053.0	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556	YES	NO	lacinato kale
BroT13.C02g14940.1	862706	5	11054778.0	11056964.0	AT5G57380.1	57.945	VERNALIZATION INSENSITIVE 3	BroT22.C02g14370.1	98.556	YES	NO	tree kale
BolO_7g59420.1	837383	14	55852285.0	55855455.0	AT4G30200.2	69.916	vernalization5/VIN3-like 1	BroT22.C07g49720.1	98.128	YES	NO	wild cabbage
BroT10.C07g50480.1	837383	10	58617960.0	58620714.0	AT4G30200.2	69.916	vernalization5/VIN3-like 1	BroT22.C07g49720.1	98.128	YES	NO	wild cabbage
BroT19.C07g50480.1	837383	8	58214102.0	58216856.0	AT4G30200.2	69.916	vernalization5/VIN3-like 1	BroT22.C07g49720.1	98.128	YES	NO	chinese kale
BroT06.C07g48170.1	837383	6	52498710.0	52501464.0	AT4G30200.2	69.916	vernalization5/VIN3-like 1	BroT22.C07g49720.1	98.128	YES	NO	round cabbage
BroT07.C07g50220.1	837383	4	55404549.0	55407313.0	AT4G30200.2	69.916	vernalization5/VIN3-like 1	BroT22.C07g49720.1	98.908	YES	NO	kohlrabi
BroT17.C07g52670.1	837383	12	57272669.0	57275428.0	AT4G30200.2	70.056	vernalization5/VIN3-like 1	BroT22.C07g49720.1	99.376	YES	NO	collard greens
BroT13.C07g50320.1	837383	5	56788962.0	56791720.0	AT4G30200.2	69.359	vernalization5/VIN3-like 1	BroT22.C07g49720.1	98.284	YES	NO	tree kale
BroT24.C07g48190.1	837383	7	52095158.0	52097921.0	AT4G30200.2	69.916	vernalization5/VIN3-like 1	BroT22.C07g49720.1	99.220	YES	NO	broccoli
BroT21.C07g48360.1	837383	13	51456373.0	51459132.0	AT4G30200.2	69.499	vernalization5/VIN3-like 1	BroT22.C07g49720.1	99.220	YES	NO	cauliflower
bro7G05589.1	837383	2	54731361.0	54734504.0	AT4G30200.2	69.777	vernalization5/VIN3-like 1	BroT22.C07g49720.1	99.064	YES	NO	broccoli
BroT08.C07g50150.1	837383	11	56287982.0	56290744.0	AT4G30200.2	69.499	vernalization5/VIN3-like 1	BroT22.C07g49720.1	99.376	YES	NO	brussels sprouts
