Sequences,1_1_BolK_9g63790.1,2_1_caul9G05235.1,4_1_BroT21.C09g54460.1,3_1_BroT25.C09g53120.1
1_1_BolK_9g63790.1,100,100.00,100.00,100.00
2_1_caul9G05235.1,100.00,100,100.00,100.00
4_1_BroT21.C09g54460.1,100.00,100.00,100,100.00
3_1_BroT25.C09g53120.1,100.00,100.00,100.00,100
