#BLASTP
#Strictness for accepting hits was >= 65% sequence identity with >= 65% alignment length of input sequence length
#highest in sequence	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>NP_001078563.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 167 length
1_2	NP_001078563.1	BolK_2g63150.1_genome_1	67.683	164	53	0	1	164	1	164	5.25e-72	216	PASS	PASS	1	2	C02	62689329	62693533	4205	194	BolK_2g63150.1	-	32471358	35366271	BolK_2g63150	-	32471357
1_3	NP_001078563.1	BolK_3g05260.2_genome_1	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	1	3	C03	2600444	2603957	3514	197	BolK_3g05260.2	-	32479481	35366972	BolK_3g05260	-	32479480
2_2	NP_001078563.1	caul2G05905.1_genome_2	67.683	164	53	0	1	164	1	164	1.60e-71	215	PASS	PASS	2	2	GWHBKKZ00000002	60352684	60364751	12068	192	caul2G05905.1	-	33165737	35366275	caul2G05905	-	33165736
2_3	NP_001078563.1	caul3G00449.1_genome_2	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	2	3	GWHBKKZ00000003	2304788	2307924	3137	197	caul3G00449.1	-	33172329	35366972	caul3G00449	-	33172328
3_2	NP_001078563.1	BroT25.C02g53820.1_genome_3	66.463	164	55	0	1	164	1	164	1.63e-70	213	PASS	PASS	3	2	GWHDTYM00000002	62219920	62223818	3899	192	BroT25.C02g53820.1	-	33767286	35366272	BroT25.C02g53820	-	33767285
3_3	NP_001078563.1	BroT25.C03g04360.1_genome_3	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	3	3	GWHDTYM00000003	2227699	2230772	3074	197	BroT25.C03g04360.1	-	33773782	35366972	BroT25.C03g04360	-	33773781
4_2	NP_001078563.1	BroT21.C02g03840.1_genome_4	77.439	164	32	1	1	164	1	159	5.25e-72	222	PASS	PASS	4	2	GWHDUBS00000002	2382295	2389134	6840	360	BroT21.C02g03840.1	-	34302615	35409978	BroT21.C02g03840	-	34302614
4_3	NP_001078563.1	BroT21.C03g04510.1_genome_4	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	4	3	GWHDUBS00000003	2320269	2323405	3137	197	BroT21.C03g04510.1	-	34366317	35366972	BroT21.C03g04510	-	34366316
1_8	NP_001078563.1	BolK_9g63780.1_genome_1	87.805	164	20	0	1	164	1	164	3.52e-85	250	PASS	PASS	1	8	C09	60546110	60551965	5856	195	BolK_9g63780.1	-	33029920	35407831	BolK_9g63780	-	33029919
NP_001078563.1	BolK_9g63790.1_genome_1	87.805	164	20	0	1	164	1	164	3.69e-85	250	PASS	PASS	1	8	C09	60559142	60563605	4464	197	BolK_9g63790.1	-	33029938	35407828	BolK_9g63790	-	33029937
2_9	NP_001078563.1	caul9G05234.1_genome_2	87.805	164	20	0	1	164	1	164	3.52e-85	250	PASS	PASS	2	9	GWHBKKZ00000009	59072267	59077776	5510	195	caul9G05234.1	-	33641707	35407830	caul9G05234	-	33641706
NP_001078563.1	caul9G05235.1_genome_2	87.805	164	20	0	1	164	1	164	3.69e-85	250	PASS	PASS	2	9	GWHBKKZ00000009	59085293	59089448	4156	197	caul9G05235.1	-	33641723	35407828	caul9G05235	-	33641722
4_7	NP_001078563.1	BroT21.C07g45480.1_genome_4	83.230	161	26	1	4	164	141	300	2.27e-76	235	PASS	PASS	4	7	GWHDUBS00000007	49750154	49760640	10487	407	BroT21.C07g45480.1	-	34693525	35431849	BroT21.C07g45480	-	34693524
3_9	NP_001078563.1	BroT25.C09g53120.1_genome_3	87.805	164	20	0	1	164	1	164	3.69e-85	250	PASS	PASS	3	9	GWHDTYM00000009	59494663	59498818	4156	197	BroT25.C09g53120.1	-	34225254	35407828	BroT25.C09g53120	-	34225253
NP_001078563.1	BroT25.C09g53110.1_genome_3	87.805	164	20	0	1	164	1	164	5.78e-83	250	PASS	PASS	3	9	GWHDTYM00000009	59481643	59488680	7038	353	BroT25.C09g53110.1	-	34225234	35407830	BroT25.C09g53110	-	34225233
4_9	NP_001078563.1	BroT21.C09g54460.1_genome_4	87.805	164	20	0	1	164	1	164	3.69e-85	250	PASS	PASS	4	9	GWHDUBS00000009	59535071	59539226	4156	197	BroT21.C09g54460.1	-	34834079	35407828	BroT21.C09g54460	-	34834078
NP_001078563.1	BroT21.C09g54450.1_genome_4	87.805	164	20	0	1	164	1	164	7.87e-84	250	PASS	PASS	4	9	GWHDUBS00000009	59522045	59529084	7040	283	BroT21.C09g54450.1	-	34834061	35407830	BroT21.C09g54450	-	34834060

##sequence 2,>NP_001154703.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 186 length
1_2	NP_001078563.1	BolK_2g63150.1_genome_1	67.683	164	53	0	1	164	1	164	5.25e-72	216	PASS	PASS	1	2	C02	62689329	62693533	4205	194	BolK_2g63150.1	-	32471358	35366271	BolK_2g63150	-	32471357
1_3	NP_001078563.1	BolK_3g05260.2_genome_1	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	1	3	C03	2600444	2603957	3514	197	BolK_3g05260.2	-	32479481	35366972	BolK_3g05260	-	32479480
NP_001154703.1	BolK_3g05260.2_genome_1	85.276	163	24	0	1	163	1	163	2.78e-85	251	PASS	PASS	1	3	C03	2600444	2603957	3514	197	BolK_3g05260.2	-	32479481	35366972	BolK_3g05260	-	32479480
2_2	NP_001078563.1	caul2G05905.1_genome_2	67.683	164	53	0	1	164	1	164	1.60e-71	215	PASS	PASS	2	2	GWHBKKZ00000002	60352684	60364751	12068	192	caul2G05905.1	-	33165737	35366275	caul2G05905	-	33165736
2_3	NP_001078563.1	caul3G00449.1_genome_2	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	2	3	GWHBKKZ00000003	2304788	2307924	3137	197	caul3G00449.1	-	33172329	35366972	caul3G00449	-	33172328
NP_001154703.1	caul3G00449.1_genome_2	85.276	163	24	0	1	163	1	163	2.78e-85	251	PASS	PASS	2	3	GWHBKKZ00000003	2304788	2307924	3137	197	caul3G00449.1	-	33172329	35366972	caul3G00449	-	33172328
3_2	NP_001078563.1	BroT25.C02g53820.1_genome_3	66.463	164	55	0	1	164	1	164	1.63e-70	213	PASS	PASS	3	2	GWHDTYM00000002	62219920	62223818	3899	192	BroT25.C02g53820.1	-	33767286	35366272	BroT25.C02g53820	-	33767285
3_3	NP_001078563.1	BroT25.C03g04360.1_genome_3	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	3	3	GWHDTYM00000003	2227699	2230772	3074	197	BroT25.C03g04360.1	-	33773782	35366972	BroT25.C03g04360	-	33773781
NP_001154703.1	BroT25.C03g04360.1_genome_3	85.276	163	24	0	1	163	1	163	2.78e-85	251	PASS	PASS	3	3	GWHDTYM00000003	2227699	2230772	3074	197	BroT25.C03g04360.1	-	33773782	35366972	BroT25.C03g04360	-	33773781
4_2	NP_001078563.1	BroT21.C02g03840.1_genome_4	77.439	164	32	1	1	164	1	159	5.25e-72	222	PASS	PASS	4	2	GWHDUBS00000002	2382295	2389134	6840	360	BroT21.C02g03840.1	-	34302615	35409978	BroT21.C02g03840	-	34302614
NP_001154703.1	BroT21.C02g03840.1_genome_4	77.439	164	32	1	1	164	1	159	9.51e-72	222	PASS	PASS	4	2	GWHDUBS00000002	2382295	2389134	6840	360	BroT21.C02g03840.1	-	34302615	35409978	BroT21.C02g03840	-	34302614
4_3	NP_001078563.1	BroT21.C03g04510.1_genome_4	85.276	163	24	0	1	163	1	163	2.28e-85	251	PASS	PASS	4	3	GWHDUBS00000003	2320269	2323405	3137	197	BroT21.C03g04510.1	-	34366317	35366972	BroT21.C03g04510	-	34366316
NP_001154703.1	BroT21.C03g04510.1_genome_4	85.276	163	24	0	1	163	1	163	2.78e-85	251	PASS	PASS	4	3	GWHDUBS00000003	2320269	2323405	3137	197	BroT21.C03g04510.1	-	34366317	35366972	BroT21.C03g04510	-	34366316
1_8	NP_001154703.1	BolK_9g63790.1_genome_1	81.667	180	29	1	1	176	1	180	3.11e-85	251	PASS	PASS	1	8	C09	60559142	60563605	4464	197	BolK_9g63790.1	-	33029938	35407828	BolK_9g63790	-	33029937
NP_001154703.1	BolK_9g63780.1_genome_1	87.805	164	20	0	1	164	1	164	3.69e-85	251	PASS	PASS	1	8	C09	60546110	60551965	5856	195	BolK_9g63780.1	-	33029920	35407831	BolK_9g63780	-	33029919
2_9	NP_001154703.1	caul9G05235.1_genome_2	81.667	180	29	1	1	176	1	180	3.11e-85	251	PASS	PASS	2	9	GWHBKKZ00000009	59085293	59089448	4156	197	caul9G05235.1	-	33641723	35407828	caul9G05235	-	33641722
NP_001154703.1	caul9G05234.1_genome_2	87.805	164	20	0	1	164	1	164	3.69e-85	251	PASS	PASS	2	9	GWHBKKZ00000009	59072267	59077776	5510	195	caul9G05234.1	-	33641707	35407830	caul9G05234	-	33641706
4_7	NP_001078563.1	BroT21.C07g45480.1_genome_4	83.230	161	26	1	4	164	141	300	2.27e-76	235	PASS	PASS	4	7	GWHDUBS00000007	49750154	49760640	10487	407	BroT21.C07g45480.1	-	34693525	35431849	BroT21.C07g45480	-	34693524
