#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#highest in sequence	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>NP_567517.1 VRN2 [organism=Arabidopsis thaliana] [GeneID=827392], 440 length
10_7	NP_567517.1	BroT10.C02g19510.1_genome_10	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	10	7	GWHDUBI00000007	16134745	16139270	4526	630	BroT10.C02g19510.1	-	82799308	0	BroT10.C02g19510	-	82799307
14_2	NP_567517.1	BolO_2g22340.1_genome_14	46.701	394	182	7	5	393	253	623	4.35e-90	289	PASS	PASS	14	2	C02	16587106	16592198	5093	630	BolO_2g22340.1	-	84998573	0	BolO_2g22340	-	84998572
10_6	NP_567517.1	BroT10.C04g11630.1_genome_10	37.895	380	209	9	20	389	13	375	2.30e-76	249	PASS	PASS	10	6	GWHDUBI00000006	9964967	9967647	2681	467	BroT10.C04g11630.1	-	82719630	0	BroT10.C04g11630	-	82719629
14_1	NP_567517.1	BolO_1g25200.1_genome_14	44.043	470	189	11	1	420	1	446	9.80e-93	292	PASS	PASS	14	1	C01	16521732	16524557	2826	515	BolO_1g25200.1	-	84934833	0	BolO_1g25200	-	84934832
12_3	NP_567517.1	BroT17.C09g34470.1_genome_12	48.082	391	180	7	10	393	258	632	1.60e-92	295	PASS	PASS	12	3	GWHDUBP00000003	40028544	40033047	4504	632	BroT17.C09g34470.1	-	83665482	0	BroT17.C09g34470	-	83665481
10_4	NP_567517.1	BroT10.C08g12360.1_genome_10	72.685	432	108	6	1	427	1	427	0.0	574	PASS	PASS	10	4	GWHDUBI00000004	23620872	23623355	2484	427	BroT10.C08g12360.1	-	82602522	0	BroT10.C08g12360	-	82602521
10_3	NP_567517.1	BroT10.C01g23730.1_genome_10	50.588	425	173	9	1	420	1	393	7.84e-113	342	PASS	PASS	10	3	GWHDUBI00000003	17417630	17420455	2826	462	BroT10.C01g23730.1	-	82555790	0	BroT10.C01g23730	-	82555789
10_1	NP_567517.1	BroT10.C09g33360.1_genome_10	48.082	391	180	7	10	393	258	632	7.57e-93	296	PASS	PASS	10	1	GWHDUBI00000001	42088229	42092730	4502	632	BroT10.C09g33360.1	-	82422928	0	BroT10.C09g33360	-	82422927
14_8	NP_567517.1	BolO_9g39540.1_genome_14	48.082	391	180	7	10	393	258	632	7.57e-93	296	PASS	PASS	14	8	C09	40605630	40610631	5002	632	BolO_9g39540.1	-	85559421	0	BolO_9g39540	-	85559420
14_7	NP_567517.1	BolO_8g14700.1_genome_14	72.685	432	108	6	1	427	1	427	0.0	574	PASS	PASS	14	7	C08	22480913	22483896	2984	427	BolO_8g14700.1	-	85456634	0	BolO_8g14700	-	85456633
14_4	NP_567517.1	BolO_4g12420.1_genome_14	37.598	383	212	9	20	392	49	414	8.94e-76	248	PASS	PASS	14	4	C04	9514774	9517860	3087	503	BolO_4g12420.1	-	85170854	0	BolO_4g12420	-	85170853
4_11	NP_567517.1	BroT07.C08g12730.1_genome_4	73.023	430	108	5	1	427	1	425	0.0	559	PASS	PASS	4	11	GWHDTYA00000011	21529884	21532361	2478	425	BroT07.C08g12730.1	-	79288620	0	BroT07.C08g12730	-	79288619
4_10	NP_567517.1	BroT07.C09g33200.1_genome_4	48.082	391	180	7	10	393	258	632	1.60e-92	295	PASS	PASS	4	10	GWHDTYA00000010	38376439	38380942	4504	632	BroT07.C09g33200.1	-	79239510	0	BroT07.C09g33200	-	79239509
1_1	NP_567517.1	rna-XM_013736964.1_genome_1	46.793	421	163	9	1	420	1	361	3.21e-108	329	PASS	PASS	1	1	NC_027748.1	15207035	15210082	3048	430	rna-XM_013736964.1	XM_013736964.1	76726918	0	gene-LOC106300754	LOC106300754	76726917
1_2	NP_567517.1	rna-XM_013759561.1_genome_1	47.089	395	179	8	5	393	253	623	1.19e-90	290	PASS	PASS	1	2	NC_027749.1	14155310	14160023	4714	630	rna-XM_013759561.1	XM_013759561.1	76785260	0	gene-LOC106321256	LOC106321256	76785259
3_1	NP_567517.1	BroT02.C02g19620.1_genome_3	46.701	394	182	7	5	393	253	623	9.45e-90	288	PASS	PASS	3	1	GWHDTWX00000001	15925342	15929957	4616	630	BroT02.C02g19620.1	-	78122169	0	BroT02.C02g19620	-	78122168
