Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT24.C03g04420.1	848160	7	2219793.0	2222914.0	AT5G10140.1	82.323	FLOWERING LOCUS C	BroT22.C03g04930.1	99.492	YES	YES	broccoli
BroT06.C03g04460.1	848160	6	2272929.0	2276050.0	AT5G10140.1	82.323	FLOWERING LOCUS C	BroT22.C03g04930.1	99.492	YES	YES	round cabbage
BroT13.C03g04740.1	848160	5	2537023.0	2540144.0	AT5G10140.1	82.323	FLOWERING LOCUS C	BroT22.C03g04930.1	99.492	YES	YES	tree kale
BroT07.C03g04790.1	848160	4	2560302.0	2563423.0	AT5G10140.1	82.323	FLOWERING LOCUS C	BroT22.C03g04930.1	99.492	YES	YES	kohlrabi
bro5G09296.1	848160	2	76829979.0	76833100.0	AT5G10140.1	82.323	FLOWERING LOCUS C	BroT22.C03g04930.1	99.492	YES	YES	broccoli
BroT08.C03g04480.1	848160	11	2204760.0	2208071.0	AT5G10140.1	83.333	FLOWERING LOCUS C	BroT22.C03g04930.1	98.985	YES	YES	brussels sprouts
BroT10.C03g04930.1	848160	10	2463355.0	2466666.0	AT5G10140.1	83.333	FLOWERING LOCUS C	BroT22.C03g04930.1	98.985	YES	YES	wild cabbage
BroT19.C03g04560.1	848160	8	2336851.0	2340140.0	AT5G10140.1	83.333	FLOWERING LOCUS C	BroT22.C03g04930.1	98.985	YES	YES	chinese kale
BroT02.C03g04620.1	848160	3	2318879.0	2322190.0	AT5G10140.1	83.333	FLOWERING LOCUS C	BroT22.C03g04930.1	98.985	YES	YES	flat cabbage
rna-XM_013773027.1	848160	1	2126418.0	2130146.0	AT5G10140.1	83.333	FLOWERING LOCUS C	BroT22.C03g04930.1	98.985	YES	YES	wild cabbage
BroT22.C03g04930.1	848160	15	2600664.0	2603799.0	AT5G10140.1	82.828	FLOWERING LOCUS C	BroT22.C03g04930.1	100.000	YES	YES	cauliflower
BroT21.C03g04510.1	848160	13	2320269.0	2323405.0	AT5G10140.1	82.828	FLOWERING LOCUS C	BroT22.C03g04930.1	100.000	YES	YES	cauliflower
BroT17.C03g04650.1	848160	12	2231703.0	2234803.0	AT5G10140.1	82.828	FLOWERING LOCUS C	BroT22.C03g04930.1	100.000	YES	YES	collard greens
BroT12.C03g04620.1	848160	9	2232000.0	2235300.0	AT5G10140.1	82.828	FLOWERING LOCUS C	BroT22.C03g04930.1	100.000	YES	YES	lacinato kale
BolO_9g65590.1	822204	14	62538681.0	62544526.0	AT5G10140.1	83.756	FLOWERING LOCUS C	BroT22.C09g53770.1	98.477	YES	YES	wild cabbage
BroT08.C09g55740.1	822204	11	63842668.0	63848173.0	AT5G10140.1	83.756	FLOWERING LOCUS C	BroT22.C09g53770.1	98.477	YES	YES	brussels sprouts
BroT12.C09g56470.1	822204	9	58952656.0	58958166.0	AT5G10140.1	83.756	FLOWERING LOCUS C	BroT22.C09g53770.1	98.477	YES	YES	lacinato kale
BroT13.C09g55490.1	822204	5	61239350.0	61243557.0	AT5G10140.1	83.756	FLOWERING LOCUS C	BroT22.C09g53770.1	98.477	YES	YES	tree kale
BroT22.C09g53770.1	822204	15	60559275.0	60563431.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	100.000	YES	YES	cauliflower
BroT21.C09g54460.1	822204	13	59535071.0	59539226.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	100.000	YES	YES	cauliflower
BroT08.C09g55760.1	822204	11	63855664.0	63859819.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	100.000	YES	YES	brussels sprouts
BroT12.C09g56490.1	822204	9	58965673.0	58969828.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	100.000	YES	YES	lacinato kale
BroT24.C09g53630.1	822204	7	59258759.0	59262915.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	100.000	YES	YES	broccoli
BroT10.C09g56270.1	822204	10	64665288.0	64673426.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	99.492	YES	YES	wild cabbage
BroT06.C09g54360.1	822204	6	61757541.0	61761817.0	AT5G10140.1	84.848	FLOWERING LOCUS C	BroT22.C09g53770.1	99.492	YES	YES	round cabbage
