Sequences,1_1_BolK_5g45170.1,3_1_BroT25.C05g39260.1,4_1_BroT21.C05g37950.1,2_1_caul5G04204.1
1_1_BolK_5g45170.1,100,100.00,100.00,100.00
3_1_BroT25.C05g39260.1,100.00,100,100.00,100.00
4_1_BroT21.C05g37950.1,100.00,100.00,100,100.00
2_1_caul5G04204.1,100.00,100.00,100.00,100
