Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT22.C09g31650.1	35135190	4	38247676.0	38249803.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	cauliflower
BroT21.C09g31910.1	35135190	3	37433382.0	37435509.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	cauliflower
BroT25.C09g31690.1	35135190	2	37557804.0	37559931.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	cauliflower
caul9G03437.1	35135190	1	36983404.0	36985531.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	cauliflower
BroT22.C03g17150.1	35135190	4	9522538.0	9524710.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	cauliflower
BroT21.C03g16730.1	35135190	3	9455463.0	9457635.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	cauliflower
BroT25.C03g16660.1	35135190	2	9342356.0	9344528.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	cauliflower
caul3G01744.1	35135190	1	9414865.0	9417037.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	cauliflower
BroT22.C07g32920.1	35125764	4	45117782.0	45120015.0	AT5G48385.1	84.079	FRIGIDA-like protein	BroT22.C07g32920.1	100.000	NO	YES	cauliflower
BroT21.C07g31540.1	35125764	3	40480164.0	40482397.0	AT5G48385.1	84.079	FRIGIDA-like protein	BroT22.C07g32920.1	100.000	NO	YES	cauliflower
BroT25.C07g31350.1	35125764	2	43223055.0	43225288.0	AT5G48385.1	84.079	FRIGIDA-like protein	BroT22.C07g32920.1	100.000	NO	YES	cauliflower
caul7G03293.1	35125764	1	41966903.0	41969136.0	AT5G48385.1	84.079	FRIGIDA-like protein	BroT22.C07g32920.1	100.000	NO	YES	cauliflower
BroT22.C05g26060.1	35138729	4	22252203.0	22253600.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	YES	cauliflower
BroT22.C01g36040.1	35131947	4	39438295.0	39440131.0	AT3G22440.1	90.354	FRIGIDA-like protein	BroT22.C01g36040.1	100.000	NO	YES	cauliflower
BroT25.C01g34960.1	35131947	2	37038080.0	37039916.0	AT3G22440.1	90.354	FRIGIDA-like protein	BroT22.C01g36040.1	100.000	NO	YES	cauliflower
