#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#highest in sequence	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>BroT22.C04g45760.1, 635 length
1_1	BroT22.C04g45760.1	caul1G04374.1_genome_1	42.521	468	224	10	170	616	626	1069	1.49e-103	340	PASS	PASS	1	1	GWHBKKZ00000001	43343737	43353064	9328	1072	caul1G04374.1	-	32371904	34794186	caul1G04374	-	32371903
3_1	BroT22.C04g45760.1	BroT21.C01g40490.1_genome_3	42.521	468	224	10	170	616	320	763	8.08e-106	339	PASS	PASS	3	1	GWHDUBS00000001	47635986	47640058	4073	766	BroT21.C01g40490.1	-	33566137	34850886	BroT21.C01g40490	-	33566136
1_4	BroT22.C04g45760.1	caul4G04776.1_genome_1	100.000	635	0	0	1	635	1	635	0.0	1315	PASS	PASS	1	4	GWHBKKZ00000004	53271422	53274145	2724	635	caul4G04776.1	-	32599608	34818211	caul4G04776	-	32599607
3_2	BroT22.C04g45760.1	BroT21.C02g54330.1_genome_3	39.761	503	276	10	145	630	68	560	4.04e-109	342	PASS	PASS	3	2	GWHDUBS00000002	60124101	60127481	3381	587	BroT21.C02g54330.1	-	33641379	34845705	BroT21.C02g54330	-	33641378
2_4	BroT22.C04g45760.1	BroT25.C04g43900.1_genome_2	100.000	635	0	0	1	635	1	635	0.0	1315	PASS	PASS	2	4	GWHDTYM00000004	53147605	53160376	12772	635	BroT25.C04g43900.1	-	33190788	34818211	BroT25.C04g43900	-	33190787
3_4	BroT22.C04g45760.1	BroT21.C04g40890.1_genome_3	100.000	635	0	0	1	635	1	635	0.0	1315	PASS	PASS	3	4	GWHDUBS00000004	49843418	49846141	2724	635	BroT21.C04g40890.1	-	33784247	34818211	BroT21.C04g40890	-	33784246
4_4	BroT22.C04g45760.1	BroT22.C04g45760.1_genome_4	100.000	635	0	0	1	635	1	635	0.0	1315	PASS	PASS	4	4	C04	56864402	56867125	2724	635	BroT22.C04g45760.1	-	34387790	34818211	BroT22.C04g45760	-	34387789
3_6	BroT22.C04g45760.1	BroT21.C06g31820.1_genome_3	43.508	439	162	8	164	596	41	399	2.10e-107	332	PASS	PASS	3	6	GWHDUBS00000006	37224715	37227202	2488	405	BroT21.C06g31820.1	-	33902519	34854477	BroT21.C06g31820	-	33902518
4_9	BroT22.C04g45760.1	BroT22.S01g04000.1_genome_4	39.364	503	278	10	145	630	70	562	8.56e-108	339	PASS	PASS	4	9	Scaffold01	3011546	3014918	3373	589	BroT22.S01g04000.1	-	34701972	34845705	BroT22.S01g04000	-	34701971

