Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT12.C01g37340.1	841198	9	38247676.0	38249803.0	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	lacinato kale
BroT02.C01g36220.1	841198	3	37433382.0	37435509.0	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	flat cabbage
BroT21.C01g35800.1	841198	13	39804100.0	39806227.0	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	cauliflower
BroT07.C01g36730.1	841198	4	35816207.0	35818334.0	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	kohlrabi
BroT10.C01g36370.1	841198	10	41948982.0	41951109.0	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	wild cabbage
BroT17.C05g35880.1	881515	12	38233755.0	38235882.0	AT3G22440.1	81.377	FRIGIDA-like protein	BroT22.C05g33920.1	91.000	NO	NO	collard greens
BroT02.C05g28470.1	810037	3	38152109.0	38154236.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	flat cabbage
BroT24.C05g27600.1	810037	7	38789989.0	38792116.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	broccoli
bro5G02984.1	810037	2	32677201.0	32679509.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	broccoli
BroT07.C05g28140.1	810037	4	40395465.0	40397795.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	kohlrabi
BroT19.C05g28010.1	810037	8	36753032.0	36755160.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	chinese kale
BroT10.C05g27930.1	810037	10	40235164.0	40237434.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	wild cabbage
BroT21.C05g27790.1	810037	13	41388337.0	41390465.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	cauliflower
BroT08.C05g28320.1	810037	11	41881203.0	41883331.0	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	brussels sprouts
