Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT25.C05g34950.1	35131947	2	AT3G22440.1	78.801	FRIGIDA-like protein	BroT22.C05g33920.1	100.000	NO	NO	cauliflower
BroT21.C05g32410.1	35131947	3	AT3G22440.1	78.801	FRIGIDA-like protein	BroT22.C05g33920.1	100.000	NO	NO	cauliflower
caul5G03719.1	35131947	1	AT3G22440.1	78.801	FRIGIDA-like protein	BroT22.C05g33920.1	100.000	NO	NO	cauliflower
BroT22.C05g33920.1	35131947	4	AT3G22440.1	78.801	FRIGIDA-like protein	BroT22.C05g33920.1	100.000	NO	NO	cauliflower
caul1G03846.1	35131947	1	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	cauliflower
BroT21.C01g35800.1	35131947	3	AT3G22440.1	89.961	FRIGIDA-like protein	BroT22.C01g36040.1	99.624	NO	NO	cauliflower
BroT22.C09g48380.1	35138729	4	AT5G16320.1	62.292	FRIGIDA like 1	BroT22.C09g48380.1	100.000	YES	NO	cauliflower
BroT25.C09g36420.1	35138729	2	AT5G16320.1	52.821	FRIGIDA like 1	BroT22.C09g36480.1	99.355	NO	NO	cauliflower
BroT25.C09g47930.1	35138729	2	AT5G16320.1	62.292	FRIGIDA like 1	BroT22.C09g48380.1	100.000	YES	NO	cauliflower
BroT22.C09g36480.1	35138729	4	AT5G16320.1	52.308	FRIGIDA like 1	BroT22.C09g36480.1	100.000	NO	NO	cauliflower
caul5G02834.1	35138729	1	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	cauliflower
BroT21.C09g36680.1	35138729	3	AT5G16320.1	54.737	FRIGIDA like 1	BroT22.C09g36480.1	94.340	NO	NO	cauliflower
BroT21.C05g27790.1	35138729	3	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	cauliflower
BroT21.C09g36700.1	35138729	3	AT5G16320.1	54.737	FRIGIDA like 1	BroT22.C09g36480.1	92.453	NO	NO	cauliflower
BroT22.C09g36510.1	35138729	4	AT5G16320.1	52.308	FRIGIDA like 1	BroT22.C09g36510.1	100.000	NO	NO	cauliflower
caul9G03942.1	35138729	1	AT5G16320.1	54.737	FRIGIDA like 1	BroT22.C09g36480.1	92.453	NO	NO	cauliflower
caul9G04796.1	35138729	1	AT5G16320.1	62.292	FRIGIDA like 1	BroT22.C09g48380.1	100.000	YES	NO	cauliflower
BroT25.C05g27740.1	35138729	2	AT1G31814.1	63.283	FRIGIDA like 2	BroT22.C05g26060.1	100.000	NO	NO	cauliflower
BroT21.C09g49120.1	35138729	3	AT5G16320.1	62.292	FRIGIDA like 1	BroT22.C09g48380.1	100.000	YES	NO	cauliflower
caul9G03941.1	35138729	1	AT5G16320.1	54.737	FRIGIDA like 1	BroT22.C09g36480.1	94.340	NO	NO	cauliflower
caul9G00393.1	35125764	1	AT5G48385.1	79.386	FRIGIDA-like protein	BroT22.C09g04030.1	99.526	NO	NO	cauliflower
caul2G05177.1	35125764	1	AT5G48385.1	79.570	FRIGIDA-like protein	BroT22.C02g47670.1	100.000	NO	NO	cauliflower
BroT25.C02g47760.1	35125764	2	AT5G48385.1	79.570	FRIGIDA-like protein	BroT22.C02g47670.1	100.000	NO	NO	cauliflower
BroT22.C09g03990.1	35125764	4	AT5G48385.1	80.319	FRIGIDA-like protein	BroT22.C09g03990.1	100.000	NO	NO	cauliflower
caul9G00389.1	35125764	1	AT5G48385.1	80.216	FRIGIDA-like protein	BroT22.C09g03990.1	99.060	YES	NO	cauliflower
BroT21.C02g47020.1	35125764	3	AT5G48385.1	79.570	FRIGIDA-like protein	BroT22.C02g47670.1	100.000	NO	NO	cauliflower
BroT22.C02g47670.1	35125764	4	AT5G48385.1	79.570	FRIGIDA-like protein	BroT22.C02g47670.1	100.000	NO	NO	cauliflower
BroT25.C09g04250.1	35125764	2	AT5G48385.1	80.072	FRIGIDA-like protein	BroT22.C09g03990.1	99.060	YES	NO	cauliflower
BroT21.C09g04510.1	35125764	3	AT5G48385.1	80.216	FRIGIDA-like protein	BroT22.C09g03990.1	99.060	YES	NO	cauliflower
