# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Missing
2at3699	Complete	BroT22.C07g37760.1	8787.9	4198	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	BroT22.C07g36440.1	5322.1	2870	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	BroT22.C03g58630.1	5096.7	2572	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	BroT22.C01g00570.1	4982.3	2557	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	BroT22.C01g26830.1	5104.4	2657	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	BroT22.C01g31640.1	4752.3	2269	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	BroT22.C04g20480.1	4726.8	2227	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	BroT22.C03g29040.1	4422.5	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Complete	BroT22.C02g32650.1	4634.6	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	BroT22.C05g38090.1	3982.8	2341	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Complete	BroT22.C04g42620.1	4457.0	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Complete	BroT22.C04g01590.1	4217.4	2188	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	BroT22.C03g15820.1	4403.9	1964	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Complete	BroT22.C07g36820.1	4022.2	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Complete	BroT22.C02g51720.1	4007.8	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Complete	BroT22.C04g45570.1	3597.4	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Complete	BroT22.C07g31700.1	3487.4	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Complete	BroT22.C08g44430.1	3710.3	1901	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Complete	BroT22.C06g32840.1	3609.2	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Complete	BroT22.C05g43090.1	3930.5	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Complete	BroT22.C09g10770.1	3809.3	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	BroT22.C07g45080.1	3144.1	1824	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	BroT22.C01g16390.1	3192.3	1822	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Complete	BroT22.C04g10350.1	3872.7	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Complete	BroT22.C05g40520.1	3069.4	1665	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Complete	BroT22.C08g31310.1	3554.0	1715	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
