Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT22.C08g39200.1	35196463	4	44619672.0	44622375.0	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000	YES	YES	cauliflower
BroT21.C08g41890.1	35196463	3	47704983.0	47707686.0	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000	YES	YES	cauliflower
BroT25.C08g38180.1	35196463	2	41201738.0	41204441.0	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000	YES	YES	cauliflower
caul8G04351.1	35196463	1	42004422.0	42007125.0	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000	YES	YES	cauliflower
caul3G04815.1	35172181	1	31838225.0	31839389.0	AT3G21320.1	75.529	None	BroT22.C03g46310.1	100.000	NO	YES	cauliflower
BroT22.C03g46310.1	35172181	4	31992441.0	31994347.0	AT3G21320.1	65.872	None	BroT22.C03g46310.1	100.000	NO	YES	cauliflower
BroT21.C03g45030.1	35172181	3	32022333.0	32024239.0	AT3G21320.1	65.872	None	BroT22.C03g46310.1	100.000	NO	YES	cauliflower
BroT25.C03g44510.1	35172181	2	31648642.0	31650548.0	AT3G21320.1	65.872	None	BroT22.C03g46310.1	100.000	NO	YES	cauliflower
caul3G04814.1	35172181	1	31830216.0	31832122.0	AT3G21320.1	65.872	None	BroT22.C03g46310.1	100.000	NO	YES	cauliflower
BroT21.C03g45040.1	35172182	3	32030342.0	32032248.0	AT3G21320.1	67.031	None	BroT22.C03g46310.1	95.155	NO	YES	cauliflower
BroT22.C05g34960.1	35185811	4	40919074.0	40921190.0	AT3G21320.1	71.634	None	BroT22.C05g34960.1	100.000	NO	YES	cauliflower
BroT21.C05g34800.1	35185811	3	40919074.0	40921190.0	AT3G21320.1	71.634	None	BroT22.C05g34960.1	100.000	NO	YES	cauliflower
BroT25.C05g36030.1	35185811	2	33932257.0	33934373.0	AT3G21320.1	71.634	None	BroT22.C05g34960.1	100.000	NO	YES	cauliflower
caul5G03852.1	35185811	1	33932257.0	33934373.0	AT3G21320.1	71.634	None	BroT22.C05g34960.1	100.000	NO	YES	cauliflower
BroT21.C01g36630.1	35153983	3	38484167.0	38486283.0	AT3G21320.1	69.189	None	BroT22.C01g37020.1	98.456	NO	YES	cauliflower
caul1G03945.1	35153983	1	38484167.0	38486283.0	AT3G21320.1	69.189	None	BroT22.C01g37020.1	98.456	NO	YES	cauliflower
BroT22.C01g37020.1	35153983	4	38184762.0	38186878.0	AT3G21320.1	69.120	None	BroT22.C01g37020.1	100.000	NO	YES	cauliflower
BroT25.C01g35860.1	35153983	2	38184762.0	38186878.0	AT3G21320.1	69.120	None	BroT22.C01g37020.1	100.000	NO	YES	cauliflower
