Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT22.C09g31650.1	819279	15	38247676.0	38249803.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	cauliflower
BroT21.C09g31910.1	819279	13	37433382.0	37435509.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	cauliflower
BroT17.C09g34240.1	819279	12	39804100.0	39806227.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	collard greens
BroT12.C09g33230.1	819279	9	35816207.0	35818334.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	lacinato kale
BroT19.C09g33050.1	819279	8	41948982.0	41951109.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	chinese kale
BroT13.C09g33070.1	819279	5	38233755.0	38235882.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	tree kale
BroT07.C09g32990.1	819279	4	38152109.0	38154236.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	kohlrabi
BroT02.C09g33330.1	819279	3	38789989.0	38792116.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	flat cabbage
rna-XM_013750865.1	819279	1	32677201.0	32679509.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	100.000	YES	YES	wild cabbage
BolO_9g39330.1	819279	14	40395465.0	40397795.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.316	YES	YES	wild cabbage
BroT24.C09g31370.1	819279	7	36753032.0	36755160.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.316	YES	YES	broccoli
bro9G03933.1	819279	2	40235164.0	40237434.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.316	YES	YES	broccoli
BroT08.C09g33140.1	819279	11	41388337.0	41390465.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.145	YES	YES	brussels sprouts
BroT10.C09g33190.1	819279	10	41881203.0	41883331.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.145	YES	YES	wild cabbage
BroT06.C09g32100.1	819279	6	38957679.0	38959807.0	AT4G00650.1	59.011	FRIGIDA	BroT22.C09g31650.1	99.145	YES	YES	round cabbage
BroT22.C03g17150.1	848940	15	9522538.0	9524710.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	cauliflower
BroT21.C03g16730.1	848940	13	9455463.0	9457635.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	cauliflower
BroT24.C03g16830.1	848940	7	9335571.0	9337743.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	broccoli
bro5G07985.1	848940	2	69629304.0	69631476.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	broccoli
rna-XM_013774045.1	848940	1	8751311.0	8753696.0	AT4G00650.1	57.241	FRIGIDA	BroT22.C03g17150.1	100.000	YES	YES	wild cabbage
BroT13.C03g17220.1	848940	5	9782402.0	9784559.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	96.121	YES	YES	tree kale
BroT17.C03g17000.1	848940	12	9203085.0	9205231.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784	YES	YES	collard greens
BroT08.C03g16670.1	848940	11	9094575.0	9096721.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784	YES	YES	brussels sprouts
BroT10.C03g17490.1	848940	10	9516499.0	9518645.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784	YES	YES	wild cabbage
BroT12.C03g17180.1	848940	9	9576876.0	9579022.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784	YES	YES	lacinato kale
BroT19.C03g17270.1	848940	8	9503257.0	9505403.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784	YES	YES	chinese kale
BroT07.C03g17240.1	848940	4	9428801.0	9430947.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	95.784	YES	YES	kohlrabi
BolO_3g18740.1	848940	14	9020201.0	9022754.0	AT4G00650.1	56.794	FRIGIDA	BroT22.C03g17150.1	94.604	YES	YES	wild cabbage
