Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
35104660,core & single copy orthologous,1,1,1,1
35174971,core & single copy orthologous,1,1,1,1
35284514,core & single copy orthologous,1,1,1,1
35284515,core & single copy orthologous,1,1,1,1
35347978,core & single copy orthologous,1,1,1,1
35347983,core & single copy orthologous,1,1,1,1
35347985,core & single copy orthologous,1,1,1,1
35347986,core & single copy orthologous,1,1,1,1
35347989,core & single copy orthologous,1,1,1,1
35347992,core & single copy orthologous,1,1,1,1
35347993,core & single copy orthologous,1,1,1,1
35347999,core & single copy orthologous,1,1,1,1
35348000,core & single copy orthologous,1,1,1,1
35348007,core,2,1,2,2
35348008,core & single copy orthologous,1,1,1,1
35348010,core,4,4,4,4
35348011,core & single copy orthologous,1,1,1,1
35348015,core & single copy orthologous,1,1,1,1
35348017,core & single copy orthologous,1,1,1,1
35348022,core & single copy orthologous,1,1,1,1
35348025,core,2,1,2,2
35348026,core & single copy orthologous,1,1,1,1
35348027,core & single copy orthologous,1,1,1,1
35348035,core & single copy orthologous,1,1,1,1
35348052,core & single copy orthologous,1,1,1,1
35348054,core & single copy orthologous,1,1,1,1
35348057,core & single copy orthologous,1,1,1,1
35348060,core & single copy orthologous,1,1,1,1
35348063,core & single copy orthologous,1,1,1,1
35348064,core & single copy orthologous,1,1,1,1
35348068,core,2,1,2,2
35348069,core & single copy orthologous,1,1,1,1
35348072,core & single copy orthologous,1,1,1,1
35348074,core & single copy orthologous,1,1,1,1
35348077,core & single copy orthologous,1,1,1,1
35348083,core & single copy orthologous,1,1,1,1
35348086,core,1,1,2,1
35348089,core,2,1,2,2
35348090,core & single copy orthologous,1,1,1,1
35348091,core & single copy orthologous,1,1,1,1
35348095,core,2,2,3,3
35348096,core,3,1,1,1
35348097,core & single copy orthologous,1,1,1,1
35348104,core & single copy orthologous,1,1,1,1
35348105,core & single copy orthologous,1,1,1,1
35348109,core & single copy orthologous,1,1,1,1
35348113,core & single copy orthologous,1,1,1,1
35348114,core & single copy orthologous,1,1,1,1
35348120,core & single copy orthologous,1,1,1,1
35348122,core & single copy orthologous,1,1,1,1
35348123,core & single copy orthologous,1,1,1,1
35348136,core & single copy orthologous,1,1,1,1
35348141,core,3,2,3,3
35348156,core,2,1,2,2
35348157,core & single copy orthologous,1,1,1,1
35348158,core & single copy orthologous,1,1,1,1
35348160,core & single copy orthologous,1,1,1,1
35348162,core & single copy orthologous,1,1,1,1
35348166,core & single copy orthologous,1,1,1,1
35348168,core & single copy orthologous,1,1,1,1
35348177,core,2,1,2,1
35348179,core,3,2,3,3
35348181,core & single copy orthologous,1,1,1,1
35348183,core,3,5,6,6
35348184,core,2,1,2,2
35348185,core & single copy orthologous,1,1,1,1
35348189,core & single copy orthologous,1,1,1,1
35348192,core & single copy orthologous,1,1,1,1
35348196,core,3,1,3,1
35348201,core & single copy orthologous,1,1,1,1
35348215,core & single copy orthologous,1,1,1,1
35348221,core,1,1,1,2
35348233,core & single copy orthologous,1,1,1,1
35348236,core & single copy orthologous,1,1,1,1
35348239,core & single copy orthologous,1,1,1,1
35348245,core & single copy orthologous,1,1,1,1
35348251,core,2,1,2,2
35348253,core & single copy orthologous,1,1,1,1
35348254,core & single copy orthologous,1,1,1,1
35348261,core & single copy orthologous,1,1,1,1
35348273,core & single copy orthologous,1,1,1,1
35348281,core & single copy orthologous,1,1,1,1
35348284,core & single copy orthologous,1,1,1,1
35348287,core & single copy orthologous,1,1,1,1
35348292,core & single copy orthologous,1,1,1,1
35348294,core & single copy orthologous,1,1,1,1
35348297,core,2,1,1,2
35348298,core & single copy orthologous,1,1,1,1
35348308,core & single copy orthologous,1,1,1,1
35348314,core & single copy orthologous,1,1,1,1
35348316,core,2,3,3,3
35348317,core,2,2,2,2
35348318,core,1,2,2,2
35348319,core & single copy orthologous,1,1,1,1
35348336,core & single copy orthologous,1,1,1,1
35348359,core & single copy orthologous,1,1,1,1
35348360,core & single copy orthologous,1,1,1,1
35348364,core & single copy orthologous,1,1,1,1
35348375,core & single copy orthologous,1,1,1,1
35348385,core,2,2,3,3
35348392,core & single copy orthologous,1,1,1,1
35348397,core & single copy orthologous,1,1,1,1
35348400,core & single copy orthologous,1,1,1,1
35348440,core & single copy orthologous,1,1,1,1
35348441,core & single copy orthologous,1,1,1,1
35348442,core & single copy orthologous,1,1,1,1
35348444,core & single copy orthologous,1,1,1,1
35348445,core & single copy orthologous,1,1,1,1
35348446,core & single copy orthologous,1,1,1,1
35348447,core & single copy orthologous,1,1,1,1
35348448,core & single copy orthologous,1,1,1,1
35348449,core & single copy orthologous,1,1,1,1
35348450,core & single copy orthologous,1,1,1,1
35348451,core & single copy orthologous,1,1,1,1
35348452,core & single copy orthologous,1,1,1,1
35348453,core & single copy orthologous,1,1,1,1
35348454,core & single copy orthologous,1,1,1,1
35348455,core & single copy orthologous,1,1,1,1
35348456,core & single copy orthologous,1,1,1,1
35348480,core & single copy orthologous,1,1,1,1
35348491,core & single copy orthologous,1,1,1,1
35348517,core & single copy orthologous,1,1,1,1
35348519,core,1,1,2,2
35348520,core & single copy orthologous,1,1,1,1
35348522,core & single copy orthologous,1,1,1,1
35348526,core & single copy orthologous,1,1,1,1
35348527,core & single copy orthologous,1,1,1,1
35348528,core & single copy orthologous,1,1,1,1
35348532,core & single copy orthologous,1,1,1,1
35348534,core & single copy orthologous,1,1,1,1
35348536,core & single copy orthologous,1,1,1,1
35348541,core & single copy orthologous,1,1,1,1
35348543,core & single copy orthologous,1,1,1,1
35348545,core & single copy orthologous,1,1,1,1
35348546,core & single copy orthologous,1,1,1,1
35348547,core & single copy orthologous,1,1,1,1
35348549,core & single copy orthologous,1,1,1,1
35348554,core & single copy orthologous,1,1,1,1
35348557,core & single copy orthologous,1,1,1,1
35348558,core & single copy orthologous,1,1,1,1
35348567,core & single copy orthologous,1,1,1,1
35348569,core,2,1,2,2
35348570,core & single copy orthologous,1,1,1,1
35348574,core,2,1,1,1
35348581,core,3,2,1,2
35348582,core & single copy orthologous,1,1,1,1
35348583,core & single copy orthologous,1,1,1,1
35348585,core & single copy orthologous,1,1,1,1
35348588,core & single copy orthologous,1,1,1,1
