Sequences,4_1_bro3G02264.1,16_1_BolO_2g65840.1,6_1_BroT07.C03g54050.1,5_1_BroT02.C03g53540.1,15_1_BroT21.C03g52340.1,16_1_BolO_3g58390.1,2_1_AT1G77080.8,13_1_BroT08.C03g53320.1,2_1_AT5G65060.1,2_1_AT5G65050.3,11_1_BroT12.C03g54800.1,16_1_BolO_2g65950.1,8_1_BroT06.C02g52820.1,2_1_AT5G65080.2,14_1_BroT17.C02g58870.1,2_1_AT5G65070.3,12_1_BroT10.C03g54200.1,4_1_bro2G06238.1,7_1_BroT13.C03g53240.1,8_1_BroT06.C03g52000.1,14_1_BroT17.C02g58920.1,9_1_BroT24.C03g51980.1,12_1_BroT10.C02g54960.1
4_1_bro3G02264.1,25,19,20,21,21,17,16,21,14,16,23,15,20,14,19,13,23,15,21,20,19,21,15
16_1_BolO_2g65840.1,19,25,19,18,18,15,17,18,15,16,20,13,24,12,25,11,20,13,18,19,25,18,13
6_1_BroT07.C03g54050.1,20,19,25,24,24,17,15,24,12,16,22,15,18,14,19,13,22,15,24,25,19,24,15
5_1_BroT02.C03g53540.1,21,18,24,25,25,17,15,25,13,17,21,15,19,14,18,13,21,15,25,24,18,25,15
15_1_BroT21.C03g52340.1,21,18,24,25,25,17,15,25,13,17,21,15,19,14,18,13,21,15,25,24,18,25,15
16_1_BolO_3g58390.1,17,15,17,17,17,25,13,17,12,13,18,18,15,18,15,15,18,18,17,17,15,17,18
2_1_AT1G77080.8,16,17,15,15,15,13,25,15,17,16,16,13,17,12,17,12,16,13,15,15,17,15,13
13_1_BroT08.C03g53320.1,21,18,24,25,25,17,15,25,13,17,21,15,19,14,18,13,21,15,25,24,18,25,15
2_1_AT5G65060.1,14,15,12,13,13,12,17,13,25,20,13,10,16,11,15,10,13,10,13,12,15,13,10
2_1_AT5G65050.3,16,16,16,17,17,13,16,17,20,25,15,11,17,11,16,10,15,11,17,16,16,17,11
11_1_BroT12.C03g54800.1,23,20,22,21,21,18,16,21,13,15,25,16,19,15,20,14,25,16,21,22,20,21,16
16_1_BolO_2g65950.1,15,13,15,15,15,18,13,15,10,11,16,25,13,17,13,16,16,25,15,15,13,15,25
8_1_BroT06.C02g52820.1,20,24,18,19,19,15,17,19,16,17,19,13,25,12,24,11,19,13,19,18,24,19,13
2_1_AT5G65080.2,14,12,14,14,14,18,12,14,11,11,15,17,12,25,12,17,15,17,14,14,12,14,17
14_1_BroT17.C02g58870.1,19,25,19,18,18,15,17,18,15,16,20,13,24,12,25,11,20,13,18,19,25,18,13
2_1_AT5G65070.3,13,11,13,13,13,15,12,13,10,10,14,16,11,17,11,25,14,16,13,13,11,13,16
12_1_BroT10.C03g54200.1,23,20,22,21,21,18,16,21,13,15,25,16,19,15,20,14,25,16,21,22,20,21,16
4_1_bro2G06238.1,15,13,15,15,15,18,13,15,10,11,16,25,13,17,13,16,16,25,15,15,13,15,25
7_1_BroT13.C03g53240.1,21,18,24,25,25,17,15,25,13,17,21,15,19,14,18,13,21,15,25,24,18,25,15
8_1_BroT06.C03g52000.1,20,19,25,24,24,17,15,24,12,16,22,15,18,14,19,13,22,15,24,25,19,24,15
14_1_BroT17.C02g58920.1,19,25,19,18,18,15,17,18,15,16,20,13,24,12,25,11,20,13,18,19,25,18,13
9_1_BroT24.C03g51980.1,21,18,24,25,25,17,15,25,13,17,21,15,19,14,18,13,21,15,25,24,18,25,15
12_1_BroT10.C02g54960.1,15,13,15,15,15,18,13,15,10,11,16,25,13,17,13,16,16,25,15,15,13,15,25
