Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT21.C06g34840.1	35090639	3	39938855.0	39942545.0	AT1G69120.1	94.531	APETALA1	BroT22.C06g35070.1	84.375	YES	YES	cauliflower
caul6G03563.1	35090639	1	41680163.0	41683853.0	AT1G69120.1	94.531	APETALA1	BroT22.C06g35070.1	84.375	YES	YES	cauliflower
caul3G06707.1	35090639	1	58284744.0	58288337.0	AT1G26310.1	79.297	CAULIFLOWER	BroT22.C06g35070.1	62.698	YES	YES	cauliflower
BroT22.C06g35070.1	35090639	4	44055474.0	44059164.0	AT1G69120.1	80.078	APETALA1	BroT22.C06g35070.1	100.000	YES	YES	cauliflower
BroT25.C06g33830.1	35090639	2	40370333.0	40374023.0	AT1G69120.1	80.078	APETALA1	BroT22.C06g35070.1	100.000	YES	YES	cauliflower
BroT21.C02g23050.1	35124352	3	20507689.0	20513705.0	AT5G45570.1	51.323	transposable element gene	BroT22.C06g35070.1	73.750	YES	YES	cauliflower
BroT21.C07g36770.1	35090639	3	43991334.0	43997100.0	AT5G60910.1	92.469	AGAMOUS-like 8	BroT22.C02g51590.1	90.871	YES	YES	cauliflower
BroT25.C07g36500.1	35090639	2	46705047.0	46710815.0	AT5G60910.1	92.469	AGAMOUS-like 8	BroT22.C02g51590.1	90.871	YES	YES	cauliflower
caul7G03831.1	35090639	1	45478073.0	45483839.0	AT5G60910.1	92.469	AGAMOUS-like 8	BroT22.C02g51590.1	90.871	YES	YES	cauliflower
BroT25.C02g51510.1	35090639	2	60419455.0	60423416.0	AT5G60910.1	92.887	AGAMOUS-like 8	BroT22.C02g51590.1	99.585	YES	YES	cauliflower
caul2G05651.1	35090639	1	58467956.0	58471924.0	AT5G60910.1	92.887	AGAMOUS-like 8	BroT22.C02g51590.1	99.585	YES	YES	cauliflower
BroT22.C02g51590.1	35090639	4	60818226.0	60822843.0	AT5G60910.1	93.305	AGAMOUS-like 8	BroT22.C02g51590.1	100.000	YES	YES	cauliflower
