Sequences,1_1_BolK_3g14990.1,4_1_BroT21.C03g13330.1,2_1_caul3G01386.1,3_1_BroT25.C03g13190.1
1_1_BolK_3g14990.1,100,100.00,100.00,100.00
4_1_BroT21.C03g13330.1,100.00,100,100.00,100.00
2_1_caul3G01386.1,100.00,100.00,100,100.00
3_1_BroT25.C03g13190.1,100.00,100.00,100.00,100
