#BLASTP
#Strictness for accepting hits was >= 65% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_001078563.1 FLC [organism=Arabidopsis thaliana] [GeneID=830878], 167 length
NP_001078563.1	BroT24.C03g04420.1_genome_7	84.663	163	25	0	1	163	1	163	4.96e-93	271	PASS	PASS	7	3	GWHDTYK00000003	2219793	2222914	3122	197	BroT24.C03g04420.1	-	80670801	0	BroT24.C03g04420	-	80670800
NP_001078563.1	BroT06.C03g04460.1_genome_6	84.663	163	25	0	1	163	1	163	4.96e-93	271	PASS	PASS	6	3	GWHDTYJ00000003	2272929	2276050	3122	197	BroT06.C03g04460.1	-	80080880	0	BroT06.C03g04460	-	80080879
NP_001078563.1	BroT13.C03g04740.1_genome_5	84.663	163	25	0	1	163	1	163	4.96e-93	271	PASS	PASS	5	7	GWHDTYE00000007	2537023	2540144	3122	197	BroT13.C03g04740.1	-	79662617	0	BroT13.C03g04740	-	79662616
NP_001078563.1	BroT07.C03g04790.1_genome_4	84.663	163	25	0	1	163	1	163	4.96e-93	271	PASS	PASS	4	7	GWHDTYA00000007	2560302	2563423	3122	197	BroT07.C03g04790.1	-	79045504	0	BroT07.C03g04790	-	79045503
NP_001078563.1	bro5G09296.1_genome_2	84.663	163	25	0	1	163	1	163	4.96e-93	271	PASS	PASS	2	1	GWHBKLA00000001	76829979	76833100	3122	197	bro5G09296.1	-	77482816	0	bro5G09296	-	77482815
NP_001078563.1	BroT08.C03g04480.1_genome_11	85.890	163	23	0	1	163	1	163	1.14e-85	253	PASS	PASS	11	1	GWHDUBL00000001	2204760	2208071	3312	197	BroT08.C03g04480.1	-	83007837	0	BroT08.C03g04480	-	83007836
NP_001078563.1	BroT10.C03g04930.1_genome_10	85.890	163	23	0	1	163	1	163	1.14e-85	253	PASS	PASS	10	9	GWHDUBI00000009	2463355	2466666	3312	197	BroT10.C03g04930.1	-	82911034	0	BroT10.C03g04930	-	82911033
NP_001078563.1	BroT19.C03g04560.1_genome_8	85.890	163	23	0	1	163	1	163	1.14e-85	253	PASS	PASS	8	6	GWHDTYL00000006	2336851	2340140	3290	197	BroT19.C03g04560.1	-	81476966	0	BroT19.C03g04560	-	81476965
NP_001078563.1	BroT02.C03g04620.1_genome_3	85.890	163	23	0	1	163	1	163	1.14e-85	253	PASS	PASS	3	8	GWHDTWX00000008	2318879	2322190	3312	197	BroT02.C03g04620.1	-	78562605	0	BroT02.C03g04620	-	78562604
NP_001078563.1	rna-XM_013773027.1_genome_1	85.890	163	23	0	1	163	1	163	1.14e-85	253	PASS	PASS	1	3	NC_027750.1	2126418	2130146	3729	197	rna-XM_013773027.1	XM_013773027.1	76831022	0	gene-LOC106334698	LOC106334698	76831021
NP_001078563.1	BroT22.C03g04930.1_genome_15	85.276	163	24	0	1	163	1	163	8.53e-85	251	PASS	PASS	15	3	C03	2600664	2603799	3136	197	BroT22.C03g04930.1	-	85723798	0	BroT22.C03g04930	-	85723797
NP_001078563.1	BroT21.C03g04510.1_genome_13	85.276	163	24	0	1	163	1	163	8.53e-85	251	PASS	PASS	13	3	GWHDUBS00000003	2320269	2323405	3137	197	BroT21.C03g04510.1	-	84400603	0	BroT21.C03g04510	-	84400602
NP_001078563.1	BroT17.C03g04650.1_genome_12	85.276	163	24	0	1	163	1	163	8.53e-85	251	PASS	PASS	12	22	GWHDUBP00000022	2231703	2234803	3101	197	BroT17.C03g04650.1	-	84040146	0	BroT17.C03g04650	-	84040145
NP_001078563.1	BroT12.C03g04620.1_genome_9	85.276	163	24	0	1	163	1	163	8.53e-85	251	PASS	PASS	9	3	GWHDUBH00000003	2232000	2235300	3301	197	BroT12.C03g04620.1	-	81896459	0	BroT12.C03g04620	-	81896458
NP_001078563.1	BolO_9g65590.1_genome_14	87.805	164	20	0	1	164	1	164	1.32e-84	250	PASS	PASS	14	8	C09	62538681	62544526	5846	195	BolO_9g65590.1	-	85589803	0	BolO_9g65590	-	85589802
NP_001078563.1	BroT08.C09g55740.1_genome_11	87.805	164	20	0	1	164	1	164	1.32e-84	250	PASS	PASS	11	7	GWHDUBL00000007	63842668	63848173	5506	195	BroT08.C09g55740.1	-	83496435	0	BroT08.C09g55740	-	83496434
NP_001078563.1	BroT12.C09g56470.1_genome_9	87.805	164	20	0	1	164	1	164	1.32e-84	250	PASS	PASS	9	5	GWHDUBH00000005	58952656	58958166	5511	195	BroT12.C09g56470.1	-	82119065	0	BroT12.C09g56470	-	82119064
NP_001078563.1	BroT13.C09g55490.1_genome_5	87.805	164	20	0	1	164	1	164	1.32e-84	250	PASS	PASS	5	10	GWHDTYE00000010	61239350	61243557	4208	195	BroT13.C09g55490.1	-	79881995	0	BroT13.C09g55490	-	79881994
NP_001078563.1	BroT22.C09g53770.1_genome_15	87.805	164	20	0	1	164	1	164	1.38e-84	250	PASS	PASS	15	8	C09	60559275	60563431	4157	197	BroT22.C09g53770.1	-	86161892	0	BroT22.C09g53770	-	86161891
NP_001078563.1	BroT21.C09g54460.1_genome_13	87.805	164	20	0	1	164	1	164	1.38e-84	250	PASS	PASS	13	9	GWHDUBS00000009	59535071	59539226	4156	197	BroT21.C09g54460.1	-	84868365	0	BroT21.C09g54460	-	84868364
NP_001078563.1	BroT08.C09g55760.1_genome_11	87.805	164	20	0	1	164	1	164	1.38e-84	250	PASS	PASS	11	7	GWHDUBL00000007	63855664	63859819	4156	197	BroT08.C09g55760.1	-	83496457	0	BroT08.C09g55760	-	83496456
NP_001078563.1	BroT12.C09g56490.1_genome_9	87.805	164	20	0	1	164	1	164	1.38e-84	250	PASS	PASS	9	5	GWHDUBH00000005	58965673	58969828	4156	197	BroT12.C09g56490.1	-	82119087	0	BroT12.C09g56490	-	82119086
NP_001078563.1	BroT24.C09g53630.1_genome_7	87.805	164	20	0	1	164	1	164	1.38e-84	250	PASS	PASS	7	9	GWHDTYK00000009	59258759	59262915	4157	197	BroT24.C09g53630.1	-	81125041	0	BroT24.C09g53630	-	81125040
NP_001078563.1	BroT10.C09g56270.1_genome_10	87.805	164	20	0	1	164	1	164	1.48e-84	250	PASS	PASS	10	1	GWHDUBI00000001	64665288	64673426	8139	197	BroT10.C09g56270.1	-	82449676	0	BroT10.C09g56270	-	82449675
NP_001078563.1	BroT06.C09g54360.1_genome_6	87.805	164	20	0	1	164	1	164	1.48e-84	250	PASS	PASS	6	9	GWHDTYJ00000009	61757541	61761817	4277	197	BroT06.C09g54360.1	-	80533292	0	BroT06.C09g54360	-	80533291
NP_001078563.1	rna-XM_013756817.1_genome_1	87.805	164	20	0	1	164	1	164	1.48e-84	250	PASS	PASS	1	9	NC_027756.1	51033814	51062348	28535	197	rna-XM_013756817.1	XM_013756817.1	77336388	0	gene-LOC106318713	LOC106318713	77336387
NP_001078563.1	BroT10.C09g56240.1_genome_10	87.805	164	20	0	1	164	1	164	1.66e-84	250	PASS	PASS	10	1	GWHDUBI00000001	64629709	64633718	4010	197	BroT10.C09g56240.1	-	82449630	0	BroT10.C09g56240	-	82449629
NP_001078563.1	BroT13.C09g55480.1_genome_5	87.805	164	20	0	1	164	1	164	2.06e-84	250	PASS	PASS	5	10	GWHDTYE00000010	61217501	61225894	8394	208	BroT13.C09g55480.1	-	79881977	0	BroT13.C09g55480	-	79881976
NP_001078563.1	BolO_9g65600.1_genome_14	87.195	164	21	0	1	164	1	164	6.26e-84	248	PASS	PASS	14	8	C09	62551864	62556327	4464	197	BolO_9g65600.1	-	85589821	0	BolO_9g65600	-	85589820
NP_001078563.1	BroT22.C09g53740.1_genome_15	87.195	164	21	0	1	164	1	164	7.14e-84	248	PASS	PASS	15	8	C09	60528585	60532602	4018	197	BroT22.C09g53740.1	-	86161852	0	BroT22.C09g53740	-	86161851
NP_001078563.1	BroT08.C09g55720.1_genome_11	87.195	164	21	0	1	164	1	164	7.14e-84	248	PASS	PASS	11	7	GWHDUBL00000007	63825037	63829053	4017	197	BroT08.C09g55720.1	-	83496413	0	BroT08.C09g55720	-	83496412
NP_001078563.1	BroT12.C09g56450.1_genome_9	87.195	164	21	0	1	164	1	164	7.14e-84	248	PASS	PASS	9	5	GWHDUBH00000005	58935004	58939021	4018	197	BroT12.C09g56450.1	-	82119043	0	BroT12.C09g56450	-	82119042
NP_001078563.1	BroT24.C09g53600.1_genome_7	87.195	164	21	0	1	164	1	164	7.14e-84	248	PASS	PASS	7	9	GWHDTYK00000009	59228080	59232097	4018	197	BroT24.C09g53600.1	-	81124999	0	BroT24.C09g53600	-	81124998
NP_001078563.1	BroT13.C09g55450.1_genome_5	87.195	164	21	0	1	164	1	164	7.14e-84	248	PASS	PASS	5	10	GWHDTYE00000010	61182149	61186135	3987	197	BroT13.C09g55450.1	-	79881935	0	BroT13.C09g55450	-	79881934
NP_001078563.1	bro9G06414.1_genome_2	87.195	164	21	0	1	164	1	164	7.14e-84	248	PASS	PASS	2	2	GWHBKLA00000002	62869994	62874010	4017	197	bro9G06414.1	-	77567945	0	bro9G06414	-	77567944
NP_001078563.1	BroT02.C09g56170.1_genome_3	87.805	164	20	0	1	164	1	164	7.61e-84	251	PASS	PASS	3	7	GWHDTWX00000007	61808235	61822128	13894	269	BroT02.C09g56170.1	-	78547965	0	BroT02.C09g56170	-	78547964
NP_001078563.1	BroT22.C09g53760.1_genome_15	87.805	164	20	0	1	164	1	164	2.95e-83	250	PASS	PASS	15	8	C09	60546251	60553290	7040	283	BroT22.C09g53760.1	-	86161874	0	BroT22.C09g53760	-	86161873
NP_001078563.1	BroT21.C09g54450.1_genome_13	87.805	164	20	0	1	164	1	164	2.95e-83	250	PASS	PASS	13	9	GWHDUBS00000009	59522045	59529084	7040	283	BroT21.C09g54450.1	-	84868347	0	BroT21.C09g54450	-	84868346
NP_001078563.1	BroT24.C09g53620.1_genome_7	87.805	164	20	0	1	164	1	164	4.28e-83	250	PASS	PASS	7	9	GWHDTYK00000009	59245735	59252774	7040	310	BroT24.C09g53620.1	-	81125021	0	BroT24.C09g53620	-	81125020
NP_001078563.1	rna-XM_013756814.1_genome_1	87.805	164	20	0	1	164	1	164	5.84e-83	251	PASS	PASS	1	9	NC_027756.1	51011260	51016359	5100	331	rna-XM_013756814.1	XM_013756814.1	77336362	0	gene-LOC106318712	LOC106318712	77336361
NP_001078563.1	BroT19.C09g54900.1_genome_8	87.805	164	20	0	1	164	1	164	6.29e-83	251	PASS	PASS	8	5	GWHDTYL00000005	63873701	63881391	7691	332	BroT19.C09g54900.1	-	81462586	0	BroT19.C09g54900	-	81462585
NP_001078563.1	BroT06.C09g54350.1_genome_6	87.805	164	20	0	1	164	1	164	7.76e-83	251	PASS	PASS	6	9	GWHDTYJ00000009	61714164	61750522	36359	354	BroT06.C09g54350.1	-	80533266	0	BroT06.C09g54350	-	80533265
NP_001078563.1	BroT06.C09g54350.1_genome_6	79.518	83	17	0	82	164	167	249	2.21e-23	97.8	PASS	FAIL	6	
NP_001078563.1	BroT10.C09g56260.1_genome_10	87.805	164	20	0	1	164	1	164	9.36e-83	253	PASS	PASS	10	1	GWHDUBI00000001	64653332	64659625	6294	414	BroT10.C09g56260.1	-	82449652	0	BroT10.C09g56260	-	82449651
NP_001078563.1	BroT02.C09g56120.1_genome_3	87.805	164	20	0	1	164	1	164	9.98e-83	251	PASS	PASS	3	7	GWHDTWX00000007	61785700	61793774	8075	376	BroT02.C09g56120.1	-	78547919	0	BroT02.C09g56120	-	78547918
NP_001078563.1	bro9G06417.1_genome_2	87.805	164	20	0	1	164	1	164	1.10e-82	250	PASS	PASS	2	2	GWHBKLA00000002	62900697	62908924	8228	336	bro9G06417.1	-	77567973	0	bro9G06417	-	77567972
NP_001078563.1	BroT13.C09g55470.1_genome_5	87.805	164	20	0	1	164	1	164	1.92e-82	252	PASS	PASS	5	10	GWHDTYE00000010	61205611	61211881	6271	403	BroT13.C09g55470.1	-	79881957	0	BroT13.C09g55470	-	79881956
NP_001078563.1	BroT17.C09g58400.1_genome_12	78.659	164	21	1	1	164	1	150	2.81e-82	244	PASS	PASS	12	3	GWHDUBP00000003	64214827	64219017	4191	183	BroT17.C09g58400.1	-	83693608	0	BroT17.C09g58400	-	83693607
NP_001078563.1	BolO_9g65570.2_genome_14	86.585	164	22	0	1	164	1	164	2.88e-82	246	PASS	PASS	14	8	C09	62521495	62526260	4766	257	BolO_9g65570.2	-	85589775	0	BolO_9g65570	-	85589774
NP_001078563.1	BroT17.C09g58390.1_genome_12	87.805	164	20	0	1	164	136	299	6.78e-82	251	PASS	PASS	12	3	GWHDUBP00000003	64196671	64208844	12174	434	BroT17.C09g58390.1	-	83693580	0	BroT17.C09g58390	-	83693579
NP_001078563.1	BroT02.C02g03840.1_genome_3	84.756	164	24	1	1	164	1	163	1.01e-81	249	PASS	PASS	3	1	GWHDTWX00000001	2258945	2265808	6864	364	BroT02.C02g03840.1	-	78103593	0	BroT02.C02g03840	-	78103592
NP_001078563.1	BroT08.C02g04460.1_genome_11	84.756	164	24	1	1	164	1	163	1.10e-81	248	PASS	PASS	11	8	GWHDUBL00000008	2681963	2688814	6852	364	BroT08.C02g04460.1	-	83510799	0	BroT08.C02g04460	-	83510798
