#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_567181.2 FRI [organism=Arabidopsis thaliana] [GeneID=828044], 314 length
NP_567181.2	BroT22.C09g31650.1_genome_15	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	15	8	C09	38247676	38249803	2128	585	BroT22.C09g31650.1	-	86136652	0	BroT22.C09g31650	-	86136651
NP_567181.2	BroT21.C09g31910.1_genome_13	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	13	9	GWHDUBS00000009	37433382	37435509	2128	585	BroT21.C09g31910.1	-	84842195	0	BroT21.C09g31910	-	84842194
NP_567181.2	BroT17.C09g34240.1_genome_12	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	12	3	GWHDUBP00000003	39804100	39806227	2128	585	BroT17.C09g34240.1	-	83665216	0	BroT17.C09g34240	-	83665215
NP_567181.2	BroT12.C09g33230.1_genome_9	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	9	5	GWHDUBH00000005	35816207	35818334	2128	585	BroT12.C09g33230.1	-	82091675	0	BroT12.C09g33230	-	82091674
NP_567181.2	BroT19.C09g33050.1_genome_8	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	8	5	GWHDTYL00000005	41948982	41951109	2128	585	BroT19.C09g33050.1	-	81436628	0	BroT19.C09g33050	-	81436627
NP_567181.2	BroT13.C09g33070.1_genome_5	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	5	10	GWHDTYE00000010	38233755	38235882	2128	585	BroT13.C09g33070.1	-	79855799	0	BroT13.C09g33070	-	79855798
NP_567181.2	BroT07.C09g32990.1_genome_4	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	4	10	GWHDTYA00000010	38152109	38154236	2128	585	BroT07.C09g32990.1	-	79239290	0	BroT07.C09g32990	-	79239289
NP_567181.2	BroT02.C09g33330.1_genome_3	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	3	7	GWHDTWX00000007	38789989	38792116	2128	585	BroT02.C09g33330.1	-	78520761	0	BroT02.C09g33330	-	78520760
NP_567181.2	rna-XM_013750865.1_genome_1	58.657	283	104	3	38	314	30	305	8.37e-106	323	PASS	PASS	1	9	NC_027756.1	32677201	32679509	2309	585	rna-XM_013750865.1	XM_013750865.1	77308956	0	gene-LOC106313123	LOC106313123	77308955
NP_567181.2	BolO_9g39330.1_genome_14	58.657	283	104	3	38	314	30	305	1.38e-105	323	PASS	PASS	14	8	C09	40395465	40397795	2331	585	BolO_9g39330.1	-	85559205	0	BolO_9g39330	-	85559204
NP_567181.2	BroT24.C09g31370.1_genome_7	58.657	283	104	3	38	314	30	305	1.38e-105	323	PASS	PASS	7	9	GWHDTYK00000009	36753032	36755160	2129	585	BroT24.C09g31370.1	-	81099391	0	BroT24.C09g31370	-	81099390
NP_567181.2	bro9G03933.1_genome_2	58.657	283	104	3	38	314	30	305	1.38e-105	323	PASS	PASS	2	2	GWHBKLA00000002	40235164	40237434	2271	585	bro9G03933.1	-	77536733	0	bro9G03933	-	77536732
NP_567181.2	BroT08.C09g33140.1_genome_11	58.657	283	104	3	38	314	30	305	1.60e-105	323	PASS	PASS	11	7	GWHDUBL00000007	41388337	41390465	2129	585	BroT08.C09g33140.1	-	83469551	0	BroT08.C09g33140	-	83469550
NP_567181.2	BroT10.C09g33190.1_genome_10	58.657	283	104	3	38	314	30	305	1.60e-105	323	PASS	PASS	10	1	GWHDUBI00000001	41881203	41883331	2129	585	BroT10.C09g33190.1	-	82422728	0	BroT10.C09g33190	-	82422727
NP_567181.2	BroT06.C09g32100.1_genome_6	58.657	283	104	3	38	314	30	305	1.60e-105	323	PASS	PASS	6	9	GWHDTYJ00000009	38957679	38959807	2129	585	BroT06.C09g32100.1	-	80507532	0	BroT06.C09g32100	-	80507531
NP_567181.2	BroT22.C03g17150.1_genome_15	57.241	290	105	3	28	314	25	298	4.99e-104	319	PASS	PASS	15	3	C03	9522538	9524710	2173	593	BroT22.C03g17150.1	-	85738268	0	BroT22.C03g17150	-	85738267
NP_567181.2	BroT21.C03g16730.1_genome_13	57.241	290	105	3	28	314	25	298	4.99e-104	319	PASS	PASS	13	3	GWHDUBS00000003	9455463	9457635	2173	593	BroT21.C03g16730.1	-	84415705	0	BroT21.C03g16730	-	84415704
NP_567181.2	BroT24.C03g16830.1_genome_7	57.241	290	105	3	28	314	25	298	4.99e-104	319	PASS	PASS	7	3	GWHDTYK00000003	9335571	9337743	2173	593	BroT24.C03g16830.1	-	80685739	0	BroT24.C03g16830	-	80685738
NP_567181.2	bro5G07985.1_genome_2	57.241	290	105	3	28	314	25	298	4.99e-104	319	PASS	PASS	2	1	GWHBKLA00000001	69629304	69631476	2173	593	bro5G07985.1	-	77465362	0	bro5G07985	-	77465361
NP_567181.2	rna-XM_013774045.1_genome_1	57.241	290	105	3	28	314	25	298	4.99e-104	319	PASS	PASS	1	3	NC_027750.1	8751311	8753696	2386	593	rna-XM_013774045.1	XM_013774045.1	76848228	0	gene-LOC106335506	LOC106335506	76848227
NP_567181.2	BroT13.C03g17220.1_genome_5	56.794	287	101	4	28	314	25	288	1.19e-100	310	PASS	PASS	5	7	GWHDTYE00000007	9782402	9784559	2158	583	BroT13.C03g17220.1	-	79677853	0	BroT13.C03g17220	-	79677852
NP_567181.2	BroT17.C03g17000.1_genome_12	56.794	287	101	4	28	314	25	288	2.07e-100	310	PASS	PASS	12	22	GWHDUBP00000022	9203085	9205231	2147	583	BroT17.C03g17000.1	-	84055216	0	BroT17.C03g17000	-	84055215
NP_567181.2	BroT08.C03g16670.1_genome_11	56.794	287	101	4	28	314	25	288	2.07e-100	310	PASS	PASS	11	1	GWHDUBL00000001	9094575	9096721	2147	583	BroT08.C03g16670.1	-	83022771	0	BroT08.C03g16670	-	83022770
NP_567181.2	BroT10.C03g17490.1_genome_10	56.794	287	101	4	28	314	25	288	2.07e-100	310	PASS	PASS	10	9	GWHDUBI00000009	9516499	9518645	2147	583	BroT10.C03g17490.1	-	82926374	0	BroT10.C03g17490	-	82926373
NP_567181.2	BroT12.C03g17180.1_genome_9	56.794	287	101	4	28	314	25	288	2.07e-100	310	PASS	PASS	9	3	GWHDUBH00000003	9576876	9579022	2147	583	BroT12.C03g17180.1	-	81911801	0	BroT12.C03g17180	-	81911800
NP_567181.2	BroT19.C03g17270.1_genome_8	56.794	287	101	4	28	314	25	288	2.07e-100	310	PASS	PASS	8	6	GWHDTYL00000006	9503257	9505403	2147	583	BroT19.C03g17270.1	-	81492672	0	BroT19.C03g17270	-	81492671
NP_567181.2	BroT07.C03g17240.1_genome_4	56.794	287	101	4	28	314	25	288	2.07e-100	310	PASS	PASS	4	7	GWHDTYA00000007	9428801	9430947	2147	583	BroT07.C03g17240.1	-	79060500	0	BroT07.C03g17240	-	79060499
NP_567181.2	BolO_3g18740.1_genome_14	56.794	287	101	4	28	314	25	288	2.27e-100	309	PASS	PASS	14	3	C03	9020201	9022754	2554	576	BolO_3g18740.1	-	85069690	0	BolO_3g18740	-	85069689
NP_567181.2	BroT06.C03g16530.1_genome_6	56.794	287	101	4	28	314	25	288	2.27e-100	309	PASS	PASS	6	3	GWHDTYJ00000003	9347565	9349701	2137	576	BroT06.C03g16530.1	-	80095332	0	BroT06.C03g16530	-	80095331
NP_567181.2	BroT02.C03g16790.1_genome_3	56.794	287	101	4	28	314	25	288	2.27e-100	309	PASS	PASS	3	8	GWHDTWX00000008	9298783	9300919	2137	576	BroT02.C03g16790.1	-	78577489	0	BroT02.C03g16790	-	78577488
NP_567181.2	BroT22.C02g47670.1_genome_15	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	15	
NP_567181.2	BolO_2g58340.1_genome_14	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	14	
NP_567181.2	BroT21.C02g47020.1_genome_13	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	13	
NP_567181.2	BroT17.C02g51200.1_genome_12	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	12	
NP_567181.2	BroT08.C02g48920.1_genome_11	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	11	
NP_567181.2	BroT10.C02g48490.1_genome_10	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	10	
NP_567181.2	BroT12.C02g48980.1_genome_9	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	9	
NP_567181.2	BroT19.C02g48630.1_genome_8	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	8	
NP_567181.2	BroT24.C02g48430.1_genome_7	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	7	
NP_567181.2	BroT06.C02g46440.1_genome_6	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	6	
NP_567181.2	BroT07.C02g49530.1_genome_4	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	4	
NP_567181.2	bro2G05549.1_genome_2	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	2	
NP_567181.2	rna-XM_013765635.1_genome_1	32.558	172	111	4	143	310	152	322	7.87e-13	72.8	PASS	FAIL	1	
NP_567181.2	BroT02.C02g48230.1_genome_3	32.558	172	111	4	143	310	152	322	7.94e-13	72.8	PASS	FAIL	3	
NP_567181.2	BroT13.C02g49260.1_genome_5	32.558	172	111	4	143	310	152	322	1.10e-12	72.4	PASS	FAIL	5	
NP_567181.2	BroT13.C09g04400.1_genome_5	28.571	252	143	8	73	310	93	321	4.45e-12	70.5	PASS	PASS	5	10	GWHDTYE00000010	2948355	2950380	2026	533	BroT13.C09g04400.1	-	79822637	0	BroT13.C09g04400	-	79822636
NP_567181.2	BroT21.C09g04510.1_genome_13	28.571	252	143	8	73	310	92	320	4.57e-12	70.5	PASS	PASS	13	9	GWHDUBS00000009	2850618	2852640	2023	532	BroT21.C09g04510.1	-	84810329	0	BroT21.C09g04510	-	84810328
NP_567181.2	BroT06.C09g04320.1_genome_6	28.571	252	143	8	73	310	93	321	4.97e-12	70.1	PASS	PASS	6	9	GWHDTYJ00000009	2943668	2945693	2026	533	BroT06.C09g04320.1	-	80475648	0	BroT06.C09g04320	-	80475647
NP_567181.2	BroT02.C09g04460.1_genome_3	28.571	252	143	8	73	310	93	321	4.97e-12	70.1	PASS	PASS	3	7	GWHDTWX00000007	2860788	2862813	2026	533	BroT02.C09g04460.1	-	78487443	0	BroT02.C09g04460	-	78487442
NP_567181.2	BroT08.C09g04390.1_genome_11	29.744	195	117	5	130	310	133	321	5.69e-12	70.1	PASS	FAIL	11	
NP_567181.2	BroT19.C09g04370.1_genome_8	29.744	195	117	5	130	310	133	321	5.69e-12	70.1	PASS	FAIL	8	
NP_567181.2	rna-XM_013757216.1_genome_1	28.571	252	143	8	73	310	92	320	1.02e-11	69.3	PASS	PASS	1	9	NC_027756.1	2535219	2538019	2801	532	rna-XM_013757216.1	XM_013757216.1	77273214	0	gene-LOC106319017	LOC106319017	77273213
NP_567181.2	BroT17.C09g04550.1_genome_12	28.571	252	143	8	73	310	92	320	1.21e-11	68.9	PASS	PASS	12	3	GWHDUBP00000003	3101048	3103070	2023	532	BroT17.C09g04550.1	-	83630658	0	BroT17.C09g04550	-	83630657
NP_567181.2	BroT22.C09g03990.1_genome_15	29.744	195	117	5	130	310	132	320	1.22e-11	68.9	PASS	FAIL	15	
NP_567181.2	BroT10.C09g04590.1_genome_10	29.744	195	117	5	130	310	132	320	1.27e-11	68.9	PASS	FAIL	10	
NP_567181.2	BroT12.C09g04510.1_genome_9	29.744	195	117	5	130	310	132	320	1.27e-11	68.9	PASS	FAIL	9	
NP_567181.2	BroT24.C09g04370.1_genome_7	28.571	252	143	8	73	310	92	320	1.37e-11	68.9	PASS	PASS	7	9	GWHDTYK00000009	2780472	2782495	2024	532	BroT24.C09g04370.1	-	81068485	0	BroT24.C09g04370	-	81068484
NP_567181.2	bro9G00456.1_genome_2	28.571	252	143	8	73	310	92	320	1.37e-11	68.9	PASS	PASS	2	2	GWHBKLA00000002	2866389	2869280	2892	532	bro9G00456.1	-	77494876	0	bro9G00456	-	77494875
NP_567181.2	BolO_9g04700.1_genome_14	29.744	195	117	5	130	310	132	320	1.43e-11	68.9	PASS	FAIL	14	
NP_567181.2	BroT17.C09g52230.1_genome_12	26.809	235	138	7	70	297	19	226	1.17e-10	65.9	PASS	PASS	12	3	GWHDUBP00000003	60172323	60173687	1365	454	BroT17.C09g52230.1	-	83685596	0	BroT17.C09g52230	-	83685595
NP_567181.2	BroT13.C09g04440.1_genome_5	26.446	242	149	7	83	310	98	324	1.20e-10	65.9	PASS	PASS	5	10	GWHDTYE00000010	2982378	2985845	3468	451	BroT13.C09g04440.1	-	79822677	0	BroT13.C09g04440	-	79822676
NP_567181.2	bro9G00461.1_genome_2	26.446	242	149	7	83	310	97	323	1.40e-10	65.5	PASS	PASS	2	2	GWHBKLA00000002	2902295	2905891	3597	425	bro9G00461.1	-	77494944	0	bro9G00461	-	77494943
NP_567181.2	BroT07.C09g04370.1_genome_4	26.446	242	149	7	83	310	143	369	1.84e-10	65.5	PASS	PASS	4	10	GWHDTYA00000010	2826028	2829991	3964	515	BroT07.C09g04370.1	-	79206376	0	BroT07.C09g04370	-	79206375
NP_567181.2	BroT12.C09g50890.1_genome_9	26.383	235	139	7	70	297	19	226	3.57e-10	64.3	PASS	PASS	9	5	GWHDUBH00000005	55421178	55422542	1365	454	BroT12.C09g50890.1	-	82112055	0	BroT12.C09g50890	-	82112054
NP_567181.2	BroT08.C09g50350.1_genome_11	26.809	235	140	6	70	297	19	228	3.85e-10	64.3	PASS	PASS	11	7	GWHDUBL00000007	60393557	60394927	1371	456	BroT08.C09g50350.1	-	83489483	0	BroT08.C09g50350	-	83489482
NP_567181.2	BolO_9g59730.1_genome_14	26.809	235	140	6	70	297	19	228	3.96e-10	64.3	PASS	PASS	14	8	C09	59045103	59046602	1500	456	BolO_9g59730.1	-	85582017	0	BolO_9g59730	-	85582016
NP_567181.2	BroT19.C09g49570.1_genome_8	26.809	235	140	6	70	297	19	228	3.96e-10	64.3	PASS	PASS	8	5	GWHDTYL00000005	60434742	60436112	1371	456	BroT19.C09g49570.1	-	81455862	0	BroT19.C09g49570	-	81455861
NP_567181.2	bro9G05852.1_genome_2	26.809	235	140	6	70	297	19	228	3.96e-10	64.3	PASS	PASS	2	2	GWHBKLA00000002	59337558	59338928	1371	456	bro9G05852.1	-	77560182	0	bro9G05852	-	77560181
NP_567181.2	BroT22.C09g48380.1_genome_15	26.383	235	139	7	70	297	19	226	5.09e-10	63.9	PASS	PASS	15	8	C09	57124093	57125457	1365	454	BroT22.C09g48380.1	-	86155216	0	BroT22.C09g48380	-	86155215
NP_567181.2	BroT21.C09g49120.1_genome_13	26.383	235	139	7	70	297	19	226	5.09e-10	63.9	PASS	PASS	13	9	GWHDUBS00000009	56153575	56154939	1365	454	BroT21.C09g49120.1	-	84861557	0	BroT21.C09g49120	-	84861556
NP_567181.2	BroT10.C09g50750.1_genome_10	26.383	235	139	7	70	297	19	226	5.09e-10	63.9	PASS	PASS	10	1	GWHDUBI00000001	61147503	61148867	1365	454	BroT10.C09g50750.1	-	82442796	0	BroT10.C09g50750	-	82442795
NP_567181.2	BroT06.C09g48930.1_genome_6	26.383	235	139	7	70	297	19	226	6.94e-10	63.5	PASS	PASS	6	9	GWHDTYJ00000009	58013517	58014881	1365	454	BroT06.C09g48930.1	-	80526400	0	BroT06.C09g48930	-	80526399
NP_567181.2	BroT02.C09g50740.1_genome_3	26.383	235	139	7	70	297	19	226	7.07e-10	63.5	PASS	PASS	3	7	GWHDTWX00000007	57999317	58000681	1365	454	BroT02.C09g50740.1	-	78540919	0	BroT02.C09g50740	-	78540918
NP_567181.2	BroT13.C09g50200.1_genome_5	26.809	235	138	7	70	297	19	226	1.04e-09	62.8	PASS	PASS	5	10	GWHDTYE00000010	57710448	57712382	1935	391	BroT13.C09g50200.1	-	79875207	0	BroT13.C09g50200	-	79875206
NP_567181.2	BroT22.C07g32920.1_genome_15	33.511	188	109	6	134	310	151	333	2.22e-09	62.4	PASS	FAIL	15	
NP_567181.2	BroT21.C07g31540.1_genome_13	33.511	188	109	6	134	310	151	333	2.22e-09	62.4	PASS	FAIL	13	
NP_567181.2	BroT08.C07g32620.1_genome_11	33.511	188	109	6	134	310	151	333	2.52e-09	62.0	PASS	FAIL	11	
NP_567181.2	BroT19.C07g33380.1_genome_8	33.511	188	109	6	134	310	151	333	2.52e-09	62.0	PASS	FAIL	8	
NP_567181.2	BroT24.C07g31320.1_genome_7	33.511	188	109	6	134	310	151	333	2.52e-09	62.0	PASS	FAIL	7	
NP_567181.2	rna-XM_013742814.1_genome_1	33.511	188	109	6	134	310	151	333	2.52e-09	62.0	PASS	FAIL	1	
NP_567181.2	bro7G03827.1_genome_2	33.511	188	109	6	134	310	238	420	3.83e-09	62.0	PASS	FAIL	2	
NP_567181.2	BroT24.C09g48230.1_genome_7	27.404	208	124	6	90	297	46	226	2.02e-08	59.3	PASS	PASS	7	9	GWHDTYK00000009	55530104	55531441	1338	445	BroT24.C09g48230.1	-	81118247	0	BroT24.C09g48230	-	81118246
NP_567181.2	rna-XM_013755388.1_genome_1	27.404	208	124	6	90	297	46	226	2.02e-08	59.3	PASS	PASS	1	9	NC_027756.1	47978252	47980019	1768	445	rna-XM_013755388.1	XM_013755388.1	77328800	0	gene-LOC106317601	LOC106317601	77328799
NP_567181.2	BroT22.C05g26060.1_genome_15	23.381	278	161	8	22	295	4	233	2.41e-08	58.9	FAIL	PASS	15	
NP_567181.2	BolO_5g31660.1_genome_14	23.381	278	161	8	22	295	4	233	2.41e-08	58.9	FAIL	PASS	14	
NP_567181.2	BroT17.C05g28400.1_genome_12	23.381	278	161	8	22	295	4	233	2.41e-08	58.9	FAIL	PASS	12	
NP_567181.2	BroT12.C05g28600.1_genome_9	23.381	278	161	8	22	295	4	233	2.41e-08	58.9	FAIL	PASS	9	
NP_567181.2	BroT06.C05g27740.1_genome_6	23.381	278	161	8	22	295	4	233	2.41e-08	58.9	FAIL	PASS	6	
