#Seq	Start	Stop	Strand	Feature	mRNA
1_3	7331916	7334672	+	mRNA	1_1_BolK_3g14990.1
1_3	7332855	7333398	+	exon	1_1_BolK_3g14990.1
1_3	7333841	7334583	+	CDS	1_1_BolK_3g14990.1
1_3	7332855	7333398	+	CDS	1_1_BolK_3g14990.1
1_3	7333466	7333773	+	CDS	1_1_BolK_3g14990.1
1_3	7332083	7332097	+	CDS	1_1_BolK_3g14990.1
1_3	7333841	7334672	+	exon	1_1_BolK_3g14990.1
1_3	7332543	7332612	+	exon	1_1_BolK_3g14990.1
1_3	7333466	7333773	+	exon	1_1_BolK_3g14990.1
1_3	7332543	7332612	+	CDS	1_1_BolK_3g14990.1
1_3	7331916	7332097	+	exon	1_1_BolK_3g14990.1
4_3	7092644	7095143	+	mRNA	4_1_BroT21.C03g13330.1
4_3	7094026	7094333	+	exon	4_1_BroT21.C03g13330.1
4_3	7092644	7092658	+	exon	4_1_BroT21.C03g13330.1
4_3	7093415	7093958	+	CDS	4_1_BroT21.C03g13330.1
4_3	7092644	7092658	+	CDS	4_1_BroT21.C03g13330.1
4_3	7094401	7095143	+	exon	4_1_BroT21.C03g13330.1
4_3	7093103	7093172	+	exon	4_1_BroT21.C03g13330.1
4_3	7094026	7094333	+	CDS	4_1_BroT21.C03g13330.1
4_3	7093103	7093172	+	CDS	4_1_BroT21.C03g13330.1
4_3	7094401	7095143	+	CDS	4_1_BroT21.C03g13330.1
4_3	7093415	7093958	+	exon	4_1_BroT21.C03g13330.1
2_3	7052046	7054545	+	mRNA	2_1_caul3G01386.1
2_3	7053428	7053735	+	CDS	2_1_caul3G01386.1
2_3	7052505	7052574	+	CDS	2_1_caul3G01386.1
2_3	7052817	7053360	+	exon	2_1_caul3G01386.1
2_3	7052817	7053360	+	CDS	2_1_caul3G01386.1
2_3	7053803	7054545	+	CDS	2_1_caul3G01386.1
2_3	7052046	7052060	+	CDS	2_1_caul3G01386.1
2_3	7053803	7054545	+	exon	2_1_caul3G01386.1
2_3	7053428	7053735	+	exon	2_1_caul3G01386.1
2_3	7052046	7052060	+	exon	2_1_caul3G01386.1
2_3	7052505	7052574	+	exon	2_1_caul3G01386.1
3_3	6944515	6947078	+	mRNA	3_1_BroT25.C03g13190.1
3_3	6946336	6947078	+	CDS	3_1_BroT25.C03g13190.1
3_3	6945350	6945893	+	exon	3_1_BroT25.C03g13190.1
3_3	6946336	6947078	+	exon	3_1_BroT25.C03g13190.1
3_3	6944975	6945044	+	CDS	3_1_BroT25.C03g13190.1
3_3	6944975	6945044	+	exon	3_1_BroT25.C03g13190.1
3_3	6945350	6945893	+	CDS	3_1_BroT25.C03g13190.1
3_3	6945961	6946268	+	exon	3_1_BroT25.C03g13190.1
3_3	6945961	6946268	+	CDS	3_1_BroT25.C03g13190.1
3_3	6944515	6944529	+	CDS	3_1_BroT25.C03g13190.1
3_3	6944515	6944529	+	exon	3_1_BroT25.C03g13190.1
