Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
7_1_BroT13.C09g55490.1,0.0000,0.2778,0.3333,0.2222,0.1111,0.3333,0.3333,0.5000,0.0556,0.1667,0.3889,0.0000,0.0556,0.2778,0.0000,0.0556,0.5000,0.1111,0.0556,0.2778,0.7778,0.1111,0.7222,0.0000,0.0556,0.2778,0.0000,0.0556,0.2778,0.4444,0.0556
7_1_BroT13.C09g55450.1,0.2778,0.0000,0.1111,0.3889,0.2778,0.3333,0.2778,0.6667,0.2222,0.4444,0.2222,0.2778,0.2222,0.0000,0.2778,0.2222,0.7778,0.2778,0.2222,0.0000,0.7222,0.2778,0.4444,0.2778,0.2222,0.0000,0.2778,0.2222,0.0000,0.7222,0.2222
15_1_BroT21.C09g54420.1,0.3333,0.1111,0.0000,0.4444,0.3333,0.3333,0.2778,0.7222,0.2778,0.5000,0.3333,0.3333,0.2778,0.1111,0.3333,0.2778,0.8333,0.3333,0.2778,0.1111,0.7222,0.3333,0.5556,0.3333,0.2778,0.1111,0.3333,0.2778,0.1111,0.7778,0.2778
7_1_BroT13.C09g55480.1,0.2222,0.3889,0.4444,0.0000,0.2222,0.4444,0.4444,0.4444,0.1667,0.2778,0.3889,0.2222,0.1667,0.3889,0.2222,0.1667,0.4444,0.2222,0.1667,0.3889,0.7222,0.2222,0.6667,0.2222,0.1667,0.3889,0.2222,0.1667,0.3889,0.5000,0.1667
8_1_BroT06.C09g54360.1,0.1111,0.2778,0.3333,0.2222,0.0000,0.2778,0.3333,0.5000,0.0556,0.2778,0.3889,0.1111,0.0556,0.2778,0.1111,0.0556,0.6111,0.0000,0.0556,0.2778,0.7778,0.0000,0.7222,0.1111,0.0556,0.2778,0.1111,0.0556,0.2778,0.5556,0.0556
2_1_AT5G10140.1,0.3333,0.3333,0.3333,0.4444,0.2778,0.0000,0.2222,0.7222,0.2778,0.5000,0.4444,0.3333,0.2778,0.3333,0.3333,0.2778,0.8333,0.2778,0.2778,0.3333,0.6667,0.2778,0.7778,0.3333,0.2778,0.3333,0.3333,0.2778,0.3333,0.7778,0.2778
12_1_BroT10.C09g56240.1,0.3333,0.2778,0.2778,0.4444,0.3333,0.2222,0.0000,0.7222,0.2778,0.5000,0.3889,0.3333,0.2778,0.2778,0.3333,0.2778,0.8333,0.3333,0.2778,0.2778,0.4444,0.3333,0.7222,0.3333,0.2778,0.2778,0.3333,0.2778,0.2778,0.7778,0.2778
12_1_BroT10.C09g56260.1,0.5000,0.6667,0.7222,0.4444,0.5000,0.7222,0.7222,0.0000,0.4444,0.5556,0.6667,0.5000,0.4444,0.6667,0.5000,0.4444,0.2222,0.5000,0.4444,0.6667,0.6111,0.5000,0.5556,0.5000,0.4444,0.6667,0.5000,0.4444,0.6667,0.3333,0.4444
15_1_BroT21.C09g54460.1,0.0556,0.2222,0.2778,0.1667,0.0556,0.2778,0.2778,0.4444,0.0000,0.2222,0.3333,0.0556,0.0000,0.2222,0.0556,0.0000,0.5556,0.0556,0.0000,0.2222,0.7222,0.0556,0.6667,0.0556,0.0000,0.2222,0.0556,0.0000,0.2222,0.5000,0.0000
15_1_BroT21.C09g54450.1,0.1667,0.4444,0.5000,0.2778,0.2778,0.5000,0.5000,0.5556,0.2222,0.0000,0.4444,0.1667,0.2222,0.4444,0.1667,0.2222,0.5000,0.2778,0.2222,0.4444,0.8333,0.2778,0.7778,0.1667,0.2222,0.4444,0.1667,0.2222,0.4444,0.4444,0.2222
