Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit
bro8G04566.1	804591	2	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454
BroT24.C04g44060.1	846438	7	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.587
BolO_4g49770.1	846437	14	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
BroT08.C08g39450.1	804591	11	AT2G25930.1	57.043	EARLY FLOWERING 3	BroT22.C08g39200.1	99.658
BroT17.C04g48680.1	846437	12	AT2G25930.1	58.879	EARLY FLOWERING 3	BroT22.C08g39200.1	58.909
BroT24.C08g38240.1	804591	7	AT2G25930.1	57.441	EARLY FLOWERING 3	BroT22.C08g39200.1	93.823
BroT17.C08g42200.1	804591	12	AT2G25930.1	58.345	EARLY FLOWERING 3	BroT22.C08g39200.1	97.109
BroT12.C08g39740.1	804591	9	AT2G25930.1	57.004	EARLY FLOWERING 3	BroT22.C08g39200.1	93.012
BroT22.C08g39200.1	804591	15	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000
BroT10.C04g46400.1	846437	10	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
BroT19.C04g45990.1	846438	8	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
bro4G05338.1	846437	2	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
BolO_8g45670.1	804591	14	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454
BroT07.C04g45770.1	846438	4	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
BroT06.C08g38190.1	804591	6	AT2G25930.1	57.242	EARLY FLOWERING 3	BroT22.C08g39200.1	93.813
BroT02.C04g45210.1	846437	3	AT2G25930.1	58.692	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
rna-XM_013749374.1	804591	1	AT2G25930.1	57.242	EARLY FLOWERING 3	BroT22.C08g39200.1	93.813
BroT10.C08g39290.1	804591	10	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454
BroT02.C08g40110.1	804591	3	AT2G25930.1	57.163	EARLY FLOWERING 3	BroT22.C08g39200.1	94.631
BroT13.C08g39640.1	804591	5	AT2G25930.1	57.865	EARLY FLOWERING 3	BroT22.C08g39200.1	97.265
BroT08.C04g45600.1	846437	11	AT2G25930.1	60.256	EARLY FLOWERING 3	BroT22.C08g39200.1	57.075
BroT19.C08g40660.1	804591	8	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454
BroT07.C08g40260.1	804591	4	AT2G25930.1	57.762	EARLY FLOWERING 3	BroT22.C08g39200.1	94.454
rna-XM_013781351.1	846438	1	AT2G25930.1	59.777	EARLY FLOWERING 3	BroT22.C08g39200.1	58.748
BroT13.C04g45650.1	846437	5	AT2G25930.1	62.372	EARLY FLOWERING 3	BroT22.C08g39200.1	59.247
BroT21.C08g41890.1	804591	13	AT2G25930.1	57.263	EARLY FLOWERING 3	BroT22.C08g39200.1	100.000
BroT13.C04g45680.1	846437	5	AT2G25930.1	53.510	EARLY FLOWERING 3	BroT22.C08g39200.1	54.797
