Gen-id	Homology_group	Genome_numbers	start coordinate	end coordinate	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT22.C04g06520.1	35090639	4	6183524.0	6185978.0	AT2G45660.1	95.327	AGAMOUS-like 20	BroT22.C04g06520.1	100.000	YES	YES	cauliflower
BroT21.C06g46040.1	35090639	3	47613802.0	47616255.0	AT2G45660.1	95.327	AGAMOUS-like 20	BroT22.C04g06520.1	100.000	YES	YES	cauliflower
BroT25.C04g06090.1	35090639	2	5082600.0	5085055.0	AT2G45660.1	95.327	AGAMOUS-like 20	BroT22.C04g06520.1	100.000	YES	YES	cauliflower
caul4G00619.1	35090639	1	5101933.0	5104386.0	AT2G45660.1	95.327	AGAMOUS-like 20	BroT22.C04g06520.1	100.000	YES	YES	cauliflower
BroT22.C03g26850.1	35090639	4	16459810.0	16462247.0	AT2G45660.1	93.458	AGAMOUS-like 20	BroT22.C03g26850.1	100.000	YES	YES	cauliflower
BroT21.C03g26550.1	35090639	3	16560153.0	16562589.0	AT2G45660.1	93.458	AGAMOUS-like 20	BroT22.C03g26850.1	100.000	YES	YES	cauliflower
BroT25.C03g26060.1	35090639	2	16378141.0	16380578.0	AT2G45660.1	93.458	AGAMOUS-like 20	BroT22.C03g26850.1	100.000	YES	YES	cauliflower
caul3G02733.1	35090639	1	16432715.0	16435151.0	AT2G45660.1	93.458	AGAMOUS-like 20	BroT22.C03g26850.1	100.000	YES	YES	cauliflower
BroT21.C04g54840.1	35090639	3	60686701.0	60689117.0	AT2G45660.1	92.056	AGAMOUS-like 20	BroT22.C04g59970.1	98.122	YES	YES	cauliflower
caul4G06242.1	35090639	1	64114705.0	64117121.0	AT2G45660.1	92.056	AGAMOUS-like 20	BroT22.C04g59970.1	98.122	YES	YES	cauliflower
BroT22.C04g59970.1	35090639	4	67754335.0	67756752.0	AT2G45660.1	92.056	AGAMOUS-like 20	BroT22.C04g59970.1	100.000	YES	YES	cauliflower
BroT25.C04g57220.1	35090639	2	63934474.0	63936891.0	AT2G45660.1	92.056	AGAMOUS-like 20	BroT22.C04g59970.1	100.000	YES	YES	cauliflower
BroT22.C02g52270.1	35090639	4	61434744.0	61438782.0	AT5G62165.1	87.143	AGAMOUS-like 42	BroT22.C02g52270.1	100.000	YES	YES	cauliflower
BroT21.C02g51810.1	35090639	3	58237261.0	58241290.0	AT5G62165.1	87.143	AGAMOUS-like 42	BroT22.C02g52270.1	100.000	YES	YES	cauliflower
BroT25.C02g52230.1	35090639	2	60974238.0	60978279.0	AT5G62165.1	87.143	AGAMOUS-like 42	BroT22.C02g52270.1	100.000	YES	YES	cauliflower
caul2G05732.1	35090639	1	59075391.0	59079420.0	AT5G62165.1	87.143	AGAMOUS-like 42	BroT22.C02g52270.1	100.000	YES	YES	cauliflower
BroT22.C09g07420.1	35090639	4	4860349.0	4865692.0	AT5G62165.1	83.590	AGAMOUS-like 42	BroT22.C09g07420.1	100.000	YES	YES	cauliflower
BroT21.C09g07780.1	35090639	3	5034662.0	5040005.0	AT5G62165.1	83.590	AGAMOUS-like 42	BroT22.C09g07420.1	100.000	YES	YES	cauliflower
BroT25.C09g07660.1	35090639	2	5024034.0	5029384.0	AT5G62165.1	83.590	AGAMOUS-like 42	BroT22.C09g07420.1	100.000	YES	YES	cauliflower
caul9G00725.1	35090639	1	4633325.0	4638668.0	AT5G62165.1	83.590	AGAMOUS-like 42	BroT22.C09g07420.1	100.000	YES	YES	cauliflower
BroT22.C09g27820.1	35090639	4	28194027.0	28197871.0	AT4G11880.1	80.090	AGAMOUS-like 14	BroT22.C09g27820.1	100.000	YES	YES	cauliflower
BroT21.C09g27910.1	35090639	3	28075629.0	28079473.0	AT4G11880.1	80.090	AGAMOUS-like 14	BroT22.C09g27820.1	100.000	YES	YES	cauliflower
caul9G02995.1	35090639	1	27580413.0	27584257.0	AT4G11880.1	80.090	AGAMOUS-like 14	BroT22.C09g27820.1	100.000	YES	YES	cauliflower
BroT25.C03g70070.1	35090639	2	65879176.0	65887931.0	AT4G22950.1	82.353	AGAMOUS-like 19	BroT22.C03g74170.1	99.548	YES	YES	cauliflower
BroT22.C03g74170.1	35090639	4	70861652.0	70870099.0	AT4G22950.1	81.900	AGAMOUS-like 19	BroT22.C03g74170.1	100.000	YES	YES	cauliflower
BroT21.C03g70940.1	35090639	3	66969575.0	66978014.0	AT4G22950.1	81.900	AGAMOUS-like 19	BroT22.C03g74170.1	100.000	YES	YES	cauliflower
caul3G07729.1	35090639	1	67767443.0	67775882.0	AT4G22950.1	81.900	AGAMOUS-like 19	BroT22.C03g74170.1	100.000	YES	YES	cauliflower
BroT22.C01g16360.1	35090639	4	11402062.0	11405219.0	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	YES	YES	cauliflower
BroT21.C01g16010.1	35090639	3	16332350.0	16335507.0	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	YES	YES	cauliflower
BroT25.C01g16290.1	35090639	2	11411543.0	11414695.0	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	YES	YES	cauliflower
caul1G01636.1	35090639	1	10941809.0	10944966.0	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	YES	YES	cauliflower
BroT22.C07g45070.1	35090639	4	53072390.0	53080084.0	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	YES	YES	cauliflower
BroT21.C07g43720.1	35090639	3	48547719.0	48555412.0	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	YES	YES	cauliflower
BroT25.C07g43470.1	35090639	2	51321955.0	51329649.0	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	YES	YES	cauliflower
caul7G04553.1	35090639	1	50034458.0	50042151.0	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	YES	YES	cauliflower
BroT22.C03g16740.1	35090639	4	9304822.0	9308845.0	AT5G51870.3	74.429	AGAMOUS-like 71	BroT22.C03g16740.1	100.000	YES	YES	cauliflower
BroT21.C03g16320.1	35090639	3	9242126.0	9246143.0	AT5G51870.3	74.429	AGAMOUS-like 71	BroT22.C03g16740.1	100.000	YES	YES	cauliflower
BroT25.C03g16310.1	35090639	2	9128714.0	9132988.0	AT5G51870.3	73.333	AGAMOUS-like 71	BroT22.C03g16740.1	100.000	YES	YES	cauliflower
caul3G01706.1	35090639	1	9201309.0	9205545.0	AT5G51870.3	73.333	AGAMOUS-like 71	BroT22.C03g16740.1	100.000	YES	YES	cauliflower
BroT22.C09g32810.1	35090639	4	39938488.0	39940971.0	AT5G51860.1	80.569	AGAMOUS-like 72	BroT22.C09g32810.1	100.000	YES	YES	cauliflower
BroT21.C09g32900.1	35090639	3	39093139.0	39095625.0	AT5G51860.1	80.569	AGAMOUS-like 72	BroT22.C09g32810.1	100.000	YES	YES	cauliflower
BroT25.C09g32700.1	35090639	2	39217983.0	39220466.0	AT5G51860.1	80.569	AGAMOUS-like 72	BroT22.C09g32810.1	100.000	YES	YES	cauliflower
caul9G03554.1	35090639	1	38643161.0	38645647.0	AT5G51860.1	80.569	AGAMOUS-like 72	BroT22.C09g32810.1	100.000	YES	YES	cauliflower
BroT22.C03g16750.1	35090639	4	9313031.0	9315229.0	AT5G51860.1	80.952	AGAMOUS-like 72	BroT22.C03g16750.1	100.000	YES	YES	cauliflower
BroT21.C03g16330.1	35090639	3	9250322.0	9252520.0	AT5G51860.1	80.952	AGAMOUS-like 72	BroT22.C03g16750.1	100.000	YES	YES	cauliflower
BroT25.C03g16320.1	35090639	2	9137166.0	9139364.0	AT5G51860.1	80.952	AGAMOUS-like 72	BroT22.C03g16750.1	100.000	YES	YES	cauliflower
caul3G01707.1	35090639	1	9209724.0	9211922.0	AT5G51860.1	80.952	AGAMOUS-like 72	BroT22.C03g16750.1	100.000	YES	YES	cauliflower
BroT21.C06g20640.1	35090639	3	26752087.0	26755084.0	AT3G58780.4	82.562	SHATTERPROOF 1	BroT22.C06g20970.1	100.000	YES	YES	cauliflower
BroT25.C06g20070.1	35090639	2	27558815.0	27561812.0	AT3G58780.4	82.562	SHATTERPROOF 1	BroT22.C06g20970.1	100.000	YES	YES	cauliflower
caul6G02322.1	35090639	1	28493295.0	28496292.0	AT3G58780.4	82.562	SHATTERPROOF 1	BroT22.C06g20970.1	100.000	YES	YES	cauliflower
BroT21.C09g29540.1	35090639	3	30488280.0	30490703.0	AT4G09960.4	88.559	SEEDSTICK	BroT22.C07g22130.1	97.110	YES	YES	cauliflower
BroT25.C09g29390.1	35090639	2	30725886.0	30728303.0	AT4G09960.4	88.559	SEEDSTICK	BroT22.C07g22130.1	97.110	YES	YES	cauliflower
caul9G03176.1	35090639	1	29993064.0	29995487.0	AT4G09960.4	88.559	SEEDSTICK	BroT22.C07g22130.1	97.110	YES	YES	cauliflower
BroT22.C06g20970.1	35090639	4	31132865.0	31135898.0	AT3G58780.4	82.562	SHATTERPROOF 1	BroT22.C06g20970.1	100.000	YES	YES	cauliflower
BroT22.C04g28290.1	35090639	4	37208101.0	37213311.0	AT3G58780.4	80.783	SHATTERPROOF 1	BroT22.C04g28290.1	100.000	YES	YES	cauliflower
BroT21.C04g23970.1	35090639	3	30350255.0	30355468.0	AT3G58780.4	80.783	SHATTERPROOF 1	BroT22.C04g28290.1	100.000	YES	YES	cauliflower
BroT25.C04g26930.1	35090639	2	33772940.0	33778152.0	AT3G58780.4	80.783	SHATTERPROOF 1	BroT22.C04g28290.1	100.000	YES	YES	cauliflower
caul4G03075.1	35090639	1	33758713.0	33763926.0	AT3G58780.4	80.783	SHATTERPROOF 1	BroT22.C04g28290.1	100.000	YES	YES	cauliflower
BroT22.C08g35410.1	35090639	4	42424953.0	42429036.0	AT3G58780.4	81.915	SHATTERPROOF 1	BroT22.C08g35410.1	100.000	YES	YES	cauliflower
BroT21.C08g37990.1	35090639	3	45422600.0	45426685.0	AT3G58780.4	81.915	SHATTERPROOF 1	BroT22.C08g35410.1	100.000	YES	YES	cauliflower
BroT25.C08g34500.1	35090639	2	38988998.0	38993083.0	AT3G58780.4	81.915	SHATTERPROOF 1	BroT22.C08g35410.1	100.000	YES	YES	cauliflower
caul8G03944.1	35090639	1	39744260.0	39748345.0	AT3G58780.4	81.915	SHATTERPROOF 1	BroT22.C08g35410.1	100.000	YES	YES	cauliflower
BroT22.C07g46880.1	35090639	4	54252324.0	54254612.0	AT5G51860.1	55.708	AGAMOUS-like 72	BroT22.C07g46880.1	100.000	YES	YES	cauliflower
BroT22.C04g06510.1	35090639	4	6171833.0	6173663.0	AT2G45650.1	88.095	AGAMOUS-like 6	BroT22.C04g06510.1	100.000	YES	YES	cauliflower
BroT21.C06g46030.1	35090639	3	47602118.0	47603948.0	AT2G45650.1	88.095	AGAMOUS-like 6	BroT22.C04g06510.1	100.000	YES	YES	cauliflower
