#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#highest in genome	#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier
##sequence 1,>BroT13.C08g39640.1, 580 length
11	BroT13.C08g39640.1	BroT08.C08g39450.1_genome_11	97.265	585	11	2	1	580	2	586	0.0	1167	PASS	PASS	11	6	GWHDUBL00000006	44553971	44556680	2710	586	BroT08.C08g39450.1	-	83412343	86229419	BroT08.C08g39450	-	83412342
12	BroT13.C08g39640.1	BroT17.C08g42200.1_genome_12	98.459	584	5	2	1	580	1	584	0.0	1186	PASS	PASS	12	29	GWHDUBP00000029	44921231	44923936	2706	584	BroT17.C08g42200.1	-	84249148	86229419	BroT17.C08g42200	-	84249147
13	BroT13.C08g39640.1	BroT21.C08g41890.1_genome_13	97.265	585	10	3	1	580	1	584	0.0	1162	PASS	PASS	13	8	GWHDUBS00000008	47704983	47707686	2704	584	BroT21.C08g41890.1	-	84786791	86229419	BroT21.C08g41890	-	84786790
14	BroT13.C08g39640.1	BolO_8g45670.1_genome_14	96.108	591	11	5	1	580	2	591	0.0	1155	PASS	PASS	14	7	C08	43576915	43580516	3602	591	BolO_8g45670.1	-	85493416	86229419	BolO_8g45670	-	85493415
15	BroT13.C08g39640.1	BroT22.C08g39200.1_genome_15	97.265	585	10	3	1	580	1	584	0.0	1162	PASS	PASS	15	7	C08	44619672	44622375	2704	584	BroT22.C08g39200.1	-	86083314	86229419	BroT22.C08g39200	-	86083313
1	BroT13.C08g39640.1	rna-XM_013749374.1_genome_1	94.790	595	14	7	1	580	1	593	0.0	1140	PASS	PASS	1	8	NC_027755.1	33966154	33969334	3181	593	rna-XM_013749374.1	XM_013749374.1	77246919	86229419	gene-LOC106312009	LOC106312009	77246918
2	BroT13.C08g39640.1	bro8G04566.1_genome_2	96.108	591	11	5	1	580	2	591	0.0	1155	PASS	PASS	2	8	GWHBKLA00000008	44990193	44993457	3265	591	bro8G04566.1	-	78009053	86229419	bro8G04566	-	78009052
3	BroT13.C08g39640.1	BroT02.C08g40110.1_genome_3	95.608	592	13	6	1	580	1	591	0.0	1148	PASS	PASS	3	2	GWHDTWX00000002	43893331	43896054	2724	591	BroT02.C08g40110.1	-	78209547	86229419	BroT02.C08g40110	-	78209546
4	BroT13.C08g39640.1	BroT07.C08g40260.1_genome_4	96.108	591	11	5	1	580	2	591	0.0	1155	PASS	PASS	4	11	GWHDTYA00000011	43527935	43530661	2727	591	BroT07.C08g40260.1	-	79320886	86229419	BroT07.C08g40260	-	79320885
5	BroT13.C08g39640.1	BroT13.C08g39640.1_genome_5	100.000	580	0	0	1	580	1	580	0.0	1208	PASS	PASS	5	11	GWHDTYE00000011	45533866	45536556	2691	580	BroT13.C08g39640.1	-	79936835	86229419	BroT13.C08g39640	-	79936834
6	BroT13.C08g39640.1	BroT06.C08g38190.1_genome_6	94.790	595	14	7	1	580	1	593	0.0	1140	PASS	PASS	6	8	GWHDTYJ00000008	43877902	43880635	2734	593	BroT06.C08g38190.1	-	80453526	86229419	BroT06.C08g38190	-	80453525
7	BroT13.C08g39640.1	BroT24.C08g38240.1_genome_7	95.126	595	13	6	1	580	1	594	0.0	1149	PASS	PASS	7	8	GWHDTYK00000008	42900867	42903609	2743	594	BroT24.C08g38240.1	-	81045519	86229419	BroT24.C08g38240	-	81045518
8	BroT13.C08g39640.1	BroT19.C08g40660.1_genome_8	96.108	591	11	5	1	580	2	591	0.0	1155	PASS	PASS	8	9	GWHDTYL00000009	45788790	45791516	2727	591	BroT19.C08g40660.1	-	81740004	86229419	BroT19.C08g40660	-	81740003
9	BroT13.C08g39640.1	BroT12.C08g39740.1_genome_9	93.970	597	18	6	1	580	1	596	0.0	1135	PASS	PASS	9	2	GWHDUBH00000002	44201401	44204141	2741	596	BroT12.C08g39740.1	-	81872347	86229419	BroT12.C08g39740	-	81872346
10	BroT13.C08g39640.1	BroT10.C08g39290.1_genome_10	96.108	591	11	5	1	580	2	591	0.0	1155	PASS	PASS	10	4	GWHDUBI00000004	45211203	45213929	2727	591	BroT10.C08g39290.1	-	82634166	86229419	BroT10.C08g39290	-	82634165

