# Busco id	GWHBKKZ00000000	GWHDTYM00000000	GWHDUBS00000000	T22	In 1 Hom. group?
7090at3699	692265	692265	692265	692265	True
4293at3699	697656	697656	697656	697656	True
7107at3699	690761	690761	690761	690761	True
1187at3699	682056	682056	682056	682056	True
6018at3699	698169	698169	698169	698169	True
1251at3699	699155	699155	699155	699155	True
5950at3699	688796	688796	688796	688796	True
5915at3699	683666	683666	683666	683666	True
14127at3699	675012	675012	675012	675012	True
3129at3699	677558	677558	677558	677558	True
17663at3699	691624	691624	691624	691624	True
20800at3699	664978	664978	664978	664978	True
18557at3699	664736	664736	664736	664736	True
13921at3699	677009	677009	677009	677009	True
22872at3699	704247	704247	704247	704247	True
1200at3699	652630	652630	652630	652630	True
15974at3699	699675	699675	699675	699675	True
13871at3699	688139	688139	688139	660069	True
7262at3699	668776	668776	668776	668776	True
17883at3699	651230	651230	651230	651230	True
21639at3699	683445	683445	683445	683445	True
24163at3699	683094	683094	683094	683094	True
22660at3699	697932	697932	697932	697932	True
1599at3699	700646	700646	700646	700646	True
23131at3699	680693	680693	680693	680693	True
4559at3699	681748	681748	681748	681748	True
15338at3699	704249	704249	704249	704249	True
18981at3699	669019	669019	669019	669019	True
24483at3699	677496	677496	677496	677496	True
10240at3699	703796	703796	703796	703796	True
8334at3699	701344	701344	701344	701344	True
22027at3699	677530	677530	677530	677530	True
6256at3699	674816	674816	674816	674816	True
12053at3699	686291	686291	686291	686291	True
2278at3699	685771	685771	685771	685771	True
10661at3699	675984	675984	675984	675984	True
960at3699	696189	696189	696189	696189	True
9783at3699	700947	700947	700947	700947	True
24208at3699	681863	681863	681863	681863	True
551at3699	700902	700902	non	non	True
8096at3699	696190	696190	696190	696190	True
9422at3699	663308	663308	663308	663308	True
8347at3699	677789	677789	677789	677789	True
43at3699	694909	694909	694909	694909	True
22700at3699	672943	672943	672943	672943	True
7608at3699	703100	703100	703100	703100	True
13449at3699	703925	703925	703925	703925	True
2246at3699	687217	687217	687217	687217	True
683at3699	671968	671968	671968	671968	True
411at3699	670395	670395	670395	670395	True
19595at3699	687440	687440	687440	687440	True
7224at3699	699679	699679	699679	699679	True
4734at3699	678303	678303	678303	678303	True
10045at3699	660856	660856	660856	660856	True
3244at3699	692425	692425	692425	692425	True
544at3699	659032	659032	659032	659032	True
9294at3699	686228	686228	686228	686228	True
1356at3699	673762	673762	673762	673762	True
26116at3699	667338	711159	711159	711159	True
3070at3699	692193	692193	692193	692193	True
11098at3699	681890	681890	681890	681890	True
9007at3699	651173	651173	651173	651173	True
16195at3699	651116	651116	651116	651116	True
2846at3699	689628	689628	689628	689628	True
1714at3699	663145	663145	663145	723028	True
898at3699	655519	655519	681550	681550	True
7758at3699	688052	688052	688052	non	True
2203at3699	673069	673069	673069	673069	True
1997at3699	698879	698879	698879	698879	True
8905at3699	662700	662700	662700	662700	True
19685at3699	non	non	680330	non	True
1409at3699	680762	680762	680762	680762	True
1385at3699	704635	713495	704635	704635	True
142at3699	651980	651980	651980	651980	True
3007at3699	686732	686732	686732	686732	True
17084at3699	681931	681931	681931	681931	True
17976at3699	702948	702948	702948	702948	True
19975at3699	655703	655703	655703	655703	True
25839at3699	704094	704094	704094	704094	True
7005at3699	691176	691176	691176	691176	True
11413at3699	659053	659053	659053	659053	True
15085at3699	662457	662457	662457	662457	True
5026at3699	656025	656025	656025	656025	True
17967at3699	661330	661330	661330	661330	True
15830at3699	682148	682148	682148	682148	True
21642at3699	687422	687422	687422	687422	True
19190at3699	683001	683001	683001	683001	True
16391at3699	665801	665801	665801	665801	True
1669at3699	676876	676876	676876	676876	True
4577at3699	690819	690819	690819	690819	True
11735at3699	693739	693739	693739	693739	True
7360at3699	non	non	719158	719158	True
15435at3699	669020	669020	669020	669020	True
2395at3699	701498	non	701498	non	True
3091at3699	non	710653	710653	710653	True
19228at3699	690370	690370	690370	690370	True
17317at3699	699062	699062	699062	699062	True
13225at3699	663593	663593	663593	663593	True
1083at3699	703622	703622	703622	703622	True
6071at3699	671947	671947	671947	671947	True
