#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
291955,accessory,2,1,1,,,,
291955,accessory,3,1,1,,,,
291955,accessory,4,1,1,,,,
291960,accessory,2,1,1,,1,,
291960,accessory,4,1,1,,1,,
366520,core,2,10,1,,,,
366520,core,3,10,1,,,,
366520,core,4,10,1,,,,
435927,core,4,2,1,1,1,,
435928,accessory,3,2,1,2,,1,
435931,core,2,6,3,,3,3,
435938,accessory,1,1,,,,1,
435938,accessory,2,1,,,,1,
435938,accessory,3,1,,,,1,
551929,core,4,2,1,1,1,,
551930,accessory,4,2,2,1,2,,
551931,accessory,1,1,,1,,1,
551931,accessory,3,1,,1,,1,
551938,core,1,2,,1,,1,
551938,core,3,2,,1,,1,
595407,accessory,1,1,,1,,1,
595407,accessory,3,1,,1,,1,
595408,core,3,3,1,2,,2,
595409,accessory,2,1,1,,1,,
595409,accessory,4,1,1,,1,,
595412,accessory,3,3,2,3,,2,
595413,accessory,1,1,,,,1,
595413,accessory,2,1,,,,1,
595413,accessory,3,1,,,,1,
595414,accessory,1,1,,1,,1,
595414,accessory,3,1,,1,,1,
595415,accessory,3,1,1,1,,,
595415,accessory,4,1,1,1,,,
595416,accessory,2,1,1,,1,,
595416,accessory,4,1,1,,1,,
628269,accessory,1,1,,,1,,
628269,accessory,2,1,,,1,,
628269,accessory,4,1,,,1,,
628271,accessory,4,2,1,2,1,,
628273,accessory,2,1,1,,,,
628273,accessory,3,1,1,,,,
628273,accessory,4,1,1,,,,
628274,accessory,2,1,1,,,1,
628274,accessory,3,1,1,,,1,
628275,accessory,2,1,1,,,1,
628275,accessory,3,1,1,,,1,
628276,accessory,2,1,1,,1,,
628276,accessory,4,1,1,,1,,
650460,core,2,2,1,,1,,
650460,core,4,2,1,,1,,
650471,accessory,1,1,,,1,,
650471,accessory,2,1,,,1,,
650471,accessory,4,1,,,1,,
650472,accessory,1,1,,,1,1,
650472,accessory,2,1,,,1,1,
650473,accessory,3,1,1,1,,,
650473,accessory,4,1,1,1,,,
650480,core,1,2,,1,1,1,
650481,accessory,1,1,,,1,,
650481,accessory,2,1,,,1,,
650481,accessory,4,1,,,1,,
650490,accessory,1,1,,,,1,
650490,accessory,2,1,,,,1,
650490,accessory,3,1,,,,1,
650491,accessory,1,1,,,,1,
650491,accessory,2,1,,,,1,
650491,accessory,3,1,,,,1,
650494,accessory,1,1,,,1,1,
650494,accessory,2,1,,,1,1,
650497,accessory,1,1,,,,1,
650497,accessory,2,1,,,,1,
650497,accessory,3,1,,,,1,
650499,accessory,1,1,,,,1,
650499,accessory,2,1,,,,1,
650499,accessory,3,1,,,,1,
650500,accessory,1,1,,,1,,
650500,accessory,2,1,,,1,,
650500,accessory,4,1,,,1,,
650501,accessory,1,1,,1,,1,
650501,accessory,3,1,,1,,1,
650503,accessory,1,1,,,,1,
650503,accessory,2,1,,,,1,
650503,accessory,3,1,,,,1,
650504,accessory,1,1,,1,,1,
650504,accessory,3,1,,1,,1,
650510,accessory,3,2,2,2,,,
650510,accessory,4,2,2,2,,,
650512,accessory,1,2,,1,2,2,
650515,accessory,1,1,,1,,1,
650515,accessory,3,1,,1,,1,
650517,accessory,1,1,,,1,1,
650517,accessory,2,1,,,1,1,
650518,accessory,3,1,1,1,,,
650518,accessory,4,1,1,1,,,
650525,accessory,1,1,,1,,,
650525,accessory,3,1,,1,,,
650525,accessory,4,1,,1,,,
650543,accessory,2,1,1,,1,,
650543,accessory,4,1,1,,1,,
650544,accessory,1,1,,1,,1,
650544,accessory,3,1,,1,,1,
650550,core,4,3,2,1,1,,
650552,accessory,2,2,2,,2,1,
650565,accessory,1,1,,1,,1,
650565,accessory,3,1,,1,,1,
650567,core,1,2,,1,,,
650567,core,3,2,,1,,,
650567,core,4,2,,1,,,
650568,accessory,1,1,,,1,,
650568,accessory,2,1,,,1,,
650568,accessory,4,1,,,1,,
650569,accessory,1,1,,1,,,
650569,accessory,3,1,,1,,,
650569,accessory,4,1,,1,,,
650575,core,1,5,,,,1,
650575,core,2,5,,,,1,
650575,core,3,5,,,,1,
650593,accessory,1,1,,1,,,
650593,accessory,3,1,,1,,,
650593,accessory,4,1,,1,,,
650594,accessory,1,1,,1,,1,
650594,accessory,3,1,,1,,1,
650607,accessory,1,1,,1,,,
650607,accessory,3,1,,1,,,
650607,accessory,4,1,,1,,,
650608,accessory,1,1,,1,,,
650608,accessory,3,1,,1,,,
650608,accessory,4,1,,1,,,
650615,core,4,2,1,1,1,,
650619,accessory,1,1,,1,,1,
650619,accessory,3,1,,1,,1,
650621,accessory,1,1,,1,,1,
650621,accessory,3,1,,1,,1,
650623,accessory,1,1,,1,,1,
650623,accessory,3,1,,1,,1,
650635,accessory,1,1,,,1,,
650635,accessory,2,1,,,1,,
650635,accessory,4,1,,,1,,
650636,accessory,1,1,,1,,1,
650636,accessory,3,1,,1,,1,
650637,accessory,2,1,1,,,,
650637,accessory,3,1,1,,,,
650637,accessory,4,1,1,,,,
650650,accessory,1,1,,,1,,
650650,accessory,2,1,,,1,,
650650,accessory,4,1,,,1,,
650651,accessory,1,1,,1,,1,
650651,accessory,3,1,,1,,1,
650660,accessory,1,1,,1,1,,
650660,accessory,4,1,,1,1,,
650661,accessory,1,1,,1,,1,
650661,accessory,3,1,,1,,1,
650662,accessory,1,1,,,1,1,
650662,accessory,2,1,,,1,1,
650670,accessory,1,1,,1,,1,
650670,accessory,3,1,,1,,1,
650671,accessory,3,1,1,1,,,
650671,accessory,4,1,1,1,,,
650672,accessory,1,1,,1,,,
650672,accessory,3,1,,1,,,
650672,accessory,4,1,,1,,,
650673,accessory,4,2,2,1,2,,
650680,accessory,1,1,,1,1,,
650680,accessory,4,1,,1,1,,
650681,accessory,1,1,,,,1,
650681,accessory,2,1,,,,1,
650681,accessory,3,1,,,,1,
650700,accessory,1,1,,1,,,
650700,accessory,3,1,,1,,,
650700,accessory,4,1,,1,,,
650701,accessory,2,1,1,,,1,
650701,accessory,3,1,1,,,1,
650702,accessory,1,1,,1,,1,
650702,accessory,3,1,,1,,1,
650706,core,3,2,1,1,,1,
650708,accessory,3,1,1,1,,,
650708,accessory,4,1,1,1,,,
650711,accessory,2,1,1,,,,
650711,accessory,3,1,1,,,,
650711,accessory,4,1,1,,,,
650712,accessory,1,1,,1,,1,
650712,accessory,3,1,,1,,1,
650713,accessory,1,2,,,1,2,
650713,accessory,2,2,,,1,2,
650715,accessory,1,1,,,1,1,
650715,accessory,2,1,,,1,1,
650716,accessory,1,1,,,1,1,
650716,accessory,2,1,,,1,1,
650718,accessory,1,1,,,,1,
650718,accessory,2,1,,,,1,
650718,accessory,3,1,,,,1,
650719,accessory,1,1,,,,1,
650719,accessory,2,1,,,,1,
650719,accessory,3,1,,,,1,
650729,accessory,1,1,,1,,1,
650729,accessory,3,1,,1,,1,
650730,accessory,1,1,,1,,1,
650730,accessory,3,1,,1,,1,
650734,accessory,1,1,,,1,,
650734,accessory,2,1,,,1,,
650734,accessory,4,1,,,1,,
650739,accessory,1,1,,,1,,
650739,accessory,2,1,,,1,,
650739,accessory,4,1,,,1,,
650740,accessory,1,1,,1,,1,
650740,accessory,3,1,,1,,1,
650756,accessory,1,1,,,1,,
650756,accessory,2,1,,,1,,
650756,accessory,4,1,,,1,,
650761,accessory,1,1,,1,,1,
650761,accessory,3,1,,1,,1,
650765,core,1,2,,1,1,1,
650771,accessory,1,1,,,1,,
650771,accessory,2,1,,,1,,
650771,accessory,4,1,,,1,,
650784,core,2,2,1,,1,,
650784,core,4,2,1,,1,,
650792,accessory,1,1,,1,,1,
650792,accessory,3,1,,1,,1,
650793,accessory,2,1,1,,1,,
650793,accessory,4,1,1,,1,,
650794,accessory,1,1,,1,1,,
650794,accessory,4,1,,1,1,,
650795,accessory,1,1,,,1,,
650795,accessory,2,1,,,1,,
650795,accessory,4,1,,,1,,
650803,core,2,2,1,,1,1,
650804,accessory,1,1,,,,1,
650804,accessory,2,1,,,,1,
650804,accessory,3,1,,,,1,
650805,accessory,1,1,,1,,,
650805,accessory,3,1,,1,,,
650805,accessory,4,1,,1,,,
650827,core,2,2,1,,1,1,
650828,core,4,3,2,2,2,,
650829,core,1,2,,,,1,
650829,core,2,2,,,,1,
650829,core,3,2,,,,1,
650830,core,2,2,1,,1,1,
650832,core,1,7,,,,1,
650832,core,2,7,,,,1,
650832,core,3,7,,,,1,
650836,accessory,1,1,,,1,,
650836,accessory,2,1,,,1,,
650836,accessory,4,1,,,1,,
650837,accessory,2,1,1,,,,
650837,accessory,3,1,1,,,,
650837,accessory,4,1,1,,,,
650844,accessory,1,1,,1,,1,
650844,accessory,3,1,,1,,1,
650847,accessory,2,1,1,,,,
650847,accessory,3,1,1,,,,
650847,accessory,4,1,1,,,,
650848,accessory,1,1,,1,,1,
650848,accessory,3,1,,1,,1,
650849,accessory,2,3,1,,3,3,
650854,accessory,4,8,7,8,8,,
650869,accessory,1,1,,1,,,
650869,accessory,3,1,,1,,,
650869,accessory,4,1,,1,,,
650870,accessory,1,1,,,1,,
650870,accessory,2,1,,,1,,
650870,accessory,4,1,,,1,,
650873,accessory,1,1,,1,,1,
650873,accessory,3,1,,1,,1,
650876,core,1,2,,1,,,
650876,core,3,2,,1,,,
650876,core,4,2,,1,,,
650877,core,2,2,1,,1,1,
650878,accessory,3,2,1,2,,1,
650879,accessory,1,1,,1,1,,
650879,accessory,4,1,,1,1,,
650886,accessory,1,1,,1,,,
650886,accessory,3,1,,1,,,
650886,accessory,4,1,,1,,,
650896,accessory,2,1,1,,1,,
650896,accessory,4,1,1,,1,,
650899,accessory,1,1,,,,1,
650899,accessory,2,1,,,,1,
650899,accessory,3,1,,,,1,
650904,core,1,2,,1,1,1,
